call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Entertainment_1588691,1,agent,channel1,1,0.0,15.0,Hello and welcome to the entertainment association.,positive,0.8276,False,False,False,False,False,15.0,0.015902,0.154449,-35.971,0.01435,291.565,360.709,83.471,0.467,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Entertainment_1588691:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,2,customer,channel2,1,0.0,26.0,"Hi, I'd like to purchase some VIP passes for Burning Man in 2026.",neutral,0.7885,False,False,False,False,False,26.0,0.053748,0.937103,-25.393,0.037725,519.632,303.784,132.247,0.5,high,low,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Entertainment_1588691:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,3,agent,channel1,2,15.0,26.0,My name is Julia. How can I help you?,neutral,0.8404,False,False,True,False,False,11.0,0.014777,0.151764,-36.608,0.019257,338.029,352.048,94.749,0.818,low,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Entertainment_1588691:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,4,agent,channel1,3,26.0,34.0,Absolutely. And what dates would you like that for?,neutral,0.6787,False,False,True,False,False,8.0,0.018291,0.209595,-34.755,0.040214,723.821,299.642,121.093,1.125,low,medium,medium,False,False,True,False,False,neutral,low,0,agent probing question detected,low,AGENT_PROBING,en_CA_Entertainment_1588691:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,5,customer,channel2,2,26.0,34.0,All three days.,neutral,0.7395,False,False,False,False,False,8.0,0.075489,1.0,-22.442,0.020936,381.52,347.05,108.785,0.375,high,low,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Entertainment_1588691:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,6,agent,channel1,4,34.0,38.0,"Well, three days.",neutral,0.7961,False,False,False,False,False,4.0,0.008701,0.092682,-41.209,0.062849,1201.54,255.029,138.241,0.75,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Entertainment_1588691:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,7,customer,channel2,3,34.0,48.0,It's Owen Sound.,neutral,0.8583,False,False,False,False,False,14.0,0.058831,0.905731,-24.608,0.020049,439.248,322.256,124.801,0.214,high,low,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Entertainment_1588691:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,8,agent,channel1,5,38.0,42.0,Okay.,neutral,0.5693,False,False,False,False,False,4.0,0.012217,0.123993,-38.261,0.030835,950.597,306.966,132.479,0.25,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Entertainment_1588691:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,9,agent,channel1,6,42.0,50.0,"And your name, please.",neutral,0.7623,False,False,False,False,False,8.0,0.016739,0.159363,-35.526,0.02037,420.288,352.909,96.966,0.5,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Entertainment_1588691:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Entertainment_1588691,10,customer,channel2,4,48.0,66.0,"No, I'll need three, actually. One for me, one for my best friend, and one for her boyfriend.",neutral,0.7078,False,False,False,False,False,18.0,0.069196,0.999969,-23.198,0.036728,534.813,298.96,136.11,1.0,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Entertainment_1588691:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
