call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Banking_1592237,1,agent,channel1,1,0.0,16.76,"Thank you for calling the Bank of Ottawa, my name is Joelle, customer support analyst.",positive,0.7158,False,False,False,False,False,16.76,0.033022,0.388733,-29.624,0.035098,701.031,292.276,126.692,0.895,medium,low,high
en_CA_Banking_1592237,2,customer,channel2,1,0.0,26.0,"Well, my name is Dorothy Brown and I currently have a credit card with your bank.",neutral,0.8733,False,False,False,False,False,26.0,0.014096,0.255798,-37.018,0.0272,905.767,321.607,115.501,0.615,low,low,high
en_CA_Banking_1592237,3,agent,channel1,2,16.76,18.76,How can I help you today?,neutral,0.7191,False,False,True,False,False,2.0,0.051452,0.437042,-25.772,0.052153,847.323,233.051,128.592,3.0,medium,high,medium
en_CA_Banking_1592237,4,customer,channel2,2,26.0,34.0,Would it be possible for me to open a checking account that I could link to this card?,neutral,0.9221,False,False,False,False,False,8.0,0.027337,0.288269,-31.265,0.099765,1195.818,253.465,89.85,2.25,low,medium,medium
en_CA_Banking_1592237,5,customer,channel2,3,34.0,40.0,Or I suppose you have to look up and see if my information is there at all.,neutral,0.8266,False,False,False,False,False,6.0,0.027698,0.322327,-31.151,0.10396,1139.323,227.514,91.288,2.833,medium,high,medium
en_CA_Banking_1592237,6,customer,channel2,4,40.0,54.0,So let's start with that.,neutral,0.8293,False,False,False,False,False,14.0,0.007494,0.164124,-42.506,0.012032,506.437,359.085,96.585,0.357,low,low,high
en_CA_Banking_1592237,7,agent,channel1,3,41.76,44.76,"Sure, I just need your date of birth.",neutral,0.8035,False,False,False,False,False,3.0,0.076267,0.438293,-22.353,0.113811,1181.836,199.862,69.378,2.667,high,medium,medium
en_CA_Banking_1592237,8,agent,channel1,4,46.76,53.76,Can I get your date of birth?,neutral,0.9326,False,False,True,False,False,7.0,0.028337,0.342865,-30.953,0.027941,710.705,300.526,132.215,1.0,medium,low,high
en_CA_Banking_1592237,9,customer,channel2,5,54.0,74.0,Here's my card number 760-132-598.,neutral,0.9365,False,False,False,False,False,20.0,0.015743,0.248169,-36.058,0.055179,942.617,298.955,120.244,0.25,low,low,high
en_CA_Banking_1592237,10,agent,channel1,5,67.76,72.76,"Okay, thank you very much. I also just need your date of birth to be able to confirm with our security, please.",positive,0.5816,False,False,False,False,False,5.0,0.064607,0.400146,-23.794,0.100928,992.801,185.348,64.504,4.4,medium,high,low
en_CA_Banking_1592237,11,customer,channel2,6,74.0,93.0,"Okay, 2856.",neutral,0.8064,False,False,False,False,False,19.0,0.008286,0.161438,-41.633,0.034282,888.211,327.094,120.232,0.105,low,low,high
en_CA_Banking_1592237,12,agent,channel1,6,76.76,88.76,"Okay, thank you very much. I see you have an account with us under the credit card and you're looking to open up a new checking account.",positive,0.6487,False,False,False,False,False,12.0,0.074829,0.671082,-22.519,0.073428,949.588,227.889,110.561,2.25,high,medium,medium
en_CA_Banking_1592237,13,agent,channel1,7,88.76,90.76,We can definitely help you with that today.,positive,0.7354,False,False,False,False,False,2.0,0.084056,0.586365,-21.509,0.092153,1008.08,188.628,58.975,4.0,high,high,low
en_CA_Banking_1592237,14,customer,channel2,7,93.0,98.0,"Well, first of all, how does that work?",neutral,0.5099,False,False,False,False,False,5.0,0.022639,0.214081,-32.903,0.084578,1102.055,260.607,92.596,1.6,low,medium,high
en_CA_Banking_1592237,15,customer,channel2,8,98.0,107.0,"If I use the credit card, could I make it go to the checking account?",neutral,0.9251,False,False,False,False,False,9.0,0.023534,0.255249,-32.566,0.081775,1190.352,272.742,96.649,1.667,low,medium,high
en_CA_Banking_1592237,16,agent,channel1,8,106.76,123.76,"Well, basically what we're going to do is that we're going to open up a new checking account, which that allows you to draw money from it.",neutral,0.7448,False,False,False,False,False,17.0,0.053825,0.606781,-25.38,0.05915,818.897,252.237,123.955,1.588,medium,medium,medium
en_CA_Banking_1592237,17,customer,channel2,9,107.0,112.0,Or do I have to have two cards or do I have to have a different number?,neutral,0.9275,False,False,False,False,False,5.0,0.031269,0.259735,-30.098,0.110075,1258.867,222.598,53.443,3.4,medium,high,medium
en_CA_Banking_1592237,18,customer,channel2,10,112.0,114.0,How does that work?,neutral,0.8123,False,False,False,False,False,2.0,0.028915,0.259216,-30.777,0.094796,1208.666,273.468,76.468,2.0,medium,medium,high
en_CA_Banking_1592237,19,customer,channel2,11,114.0,143.0,I'll just link it up.,neutral,0.8135,False,False,False,False,False,29.0,0.004216,0.161285,-47.502,0.010465,874.691,337.077,119.896,0.172,low,low,high
en_CA_Banking_1592237,20,agent,channel1,9,123.76,126.76,The card that you currently have is just a credit card.,neutral,0.8044,False,False,False,False,False,3.0,0.072697,0.495605,-22.77,0.095542,1052.218,185.333,79.499,3.667,high,high,low
en_CA_Banking_1592237,21,agent,channel1,10,126.76,135.76,"This new checking account will be able to be linked to the credit card, meaning that you're able to make payments from your checking account to your credit card.",neutral,0.6688,False,False,False,False,False,9.0,0.055291,0.413361,-25.147,0.097092,1035.51,189.327,68.893,3.222,medium,high,medium
en_CA_Banking_1592237,22,agent,channel1,11,135.76,142.76,But it will have another card itself because it's going to be a debit card.,neutral,0.844,False,False,False,False,False,7.0,0.074201,0.617218,-22.592,0.097239,1050.131,175.694,65.525,2.143,high,medium,low
en_CA_Banking_1592237,23,agent,channel1,12,142.76,144.76,So you're going to have two cards.,neutral,0.8922,False,False,False,False,False,2.0,0.058958,0.4888,-24.589,0.15711,1431.138,165.106,78.848,3.5,medium,high,low
en_CA_Banking_1592237,24,customer,channel2,12,144.0,161.0,"So can I use this new card,",neutral,0.9069,False,False,False,False,False,17.0,0.013453,0.234406,-37.424,0.028108,868.04,323.654,115.099,0.412,low,low,high
en_CA_Banking_1592237,25,agent,channel1,13,144.76,155.76,"But with the checking account, you will be able to pay your credit card much quicker and be able to show up and have that available credit a lot faster than you would normally.",positive,0.7912,False,False,False,False,False,11.0,0.073473,0.588806,-22.677,0.0927,1006.583,177.296,60.447,3.091,high,high,low
en_CA_Banking_1592237,26,agent,channel1,14,155.76,174.76,"Yes, so the way that a checking account works on a debit account, the way that it works is that it draws money only that you have.",neutral,0.8567,False,False,False,False,False,19.0,0.052906,0.525391,-25.53,0.052554,777.191,268.625,123.955,1.421,medium,low,high
en_CA_Banking_1592237,27,customer,channel2,13,161.0,166.0,this new checking account at the machines in the stores?,neutral,0.9592,False,False,False,False,False,5.0,0.027901,0.232635,-31.088,0.128832,1548.47,231.982,70.966,2.0,medium,medium,medium
en_CA_Banking_1592237,28,customer,channel2,14,166.0,195.0,No.,neutral,0.561,False,False,False,False,False,29.0,0.00334,0.095459,-49.524,0.003979,699.167,352.809,106.829,0.034,low,low,high
en_CA_Banking_1592237,29,agent,channel1,15,174.76,179.76,It doesn't have any credit options unless you're using it for online purchases.,neutral,0.6664,False,False,False,False,False,5.0,0.055713,0.392578,-25.081,0.107764,1107.954,180.112,52.708,2.6,medium,medium,low
en_CA_Banking_1592237,30,agent,channel1,16,179.76,184.76,"This one is a debit credit card, but only in the sense of online purchases.",neutral,0.8794,False,False,False,False,False,5.0,0.064059,0.481262,-23.868,0.11014,1036.266,174.316,53.559,3.0,medium,high,low
en_CA_Banking_1592237,31,agent,channel1,17,184.76,189.76,So it still only takes money from your account that you currently have available.,neutral,0.7627,False,False,False,False,False,5.0,0.076542,0.622833,-22.322,0.122002,1169.139,183.247,67.214,2.8,high,high,low
en_CA_Banking_1592237,32,agent,channel1,18,189.76,194.76,It does not take any money that you don't already have.,neutral,0.6662,False,False,False,False,False,5.0,0.071433,0.546295,-22.922,0.091063,1059.849,169.657,59.328,2.2,high,medium,low
en_CA_Banking_1592237,33,customer,channel2,15,196.0,202.0,That's good to know because I'm trying to cut down on my expenses.,positive,0.748,False,False,False,False,False,6.0,0.021637,0.245392,-33.296,0.077408,1077.796,244.904,108.701,2.167,low,medium,medium
en_CA_Banking_1592237,34,customer,channel2,16,202.0,217.0,"And I realize that a credit card is necessary because when you go to a hotel or some other places, they only take credit.",neutral,0.701,False,False,False,False,False,15.0,0.025369,0.231567,-31.914,0.10874,1291.162,213.707,84.091,1.6,low,medium,medium
