call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Agriculture_1586885,1,agent,channel1,1,0.0,14.44,Good afternoon.,positive,0.8973,False,False,False,False,False,14.44,0.026199,0.351532,-31.634,0.033736,859.588,297.87,135.792,0.139,low,low,high
en_CA_Agriculture_1586885,2,customer,channel2,1,0.0,24.44,"Hi, Sarah.",neutral,0.5197,False,False,False,False,False,24.44,0.009083,0.387024,-40.835,0.002333,88.371,388.763,54.988,0.082,low,low,high
en_CA_Agriculture_1586885,3,agent,channel1,2,14.44,17.88,You've reached the National Agriculture Support Hotline.,neutral,0.8411,False,False,False,False,False,3.44,0.077165,0.540131,-22.252,0.132962,1315.631,202.743,46.41,2.035,high,high,low
en_CA_Agriculture_1586885,4,agent,channel1,3,17.88,19.76,This is Sarah speaking.,neutral,0.8573,False,False,False,False,False,1.88,0.074087,0.610077,-22.605,0.122128,1257.566,203.442,59.295,2.128,high,high,low
en_CA_Agriculture_1586885,5,agent,channel1,4,19.76,40.84,How can I assist you today?,neutral,0.9052,False,False,True,False,False,21.08,0.014048,0.349365,-37.048,0.030701,835.462,307.128,134.659,0.285,low,low,high
en_CA_Agriculture_1586885,6,customer,channel2,2,24.44,27.2,My name is David Thompson.,neutral,0.8666,False,False,False,False,False,2.76,0.054982,0.420349,-25.196,0.043603,736.859,220.451,125.88,1.812,medium,medium,medium
en_CA_Agriculture_1586885,7,customer,channel2,3,27.2,33.76,"I run a small farm near Trois-Rivières, and I wanted to ask about the new organic certification",neutral,0.8799,False,False,False,False,False,6.56,0.092928,0.647552,-20.637,0.075148,856.802,189.28,97.614,2.591,high,high,low
en_CA_Agriculture_1586885,8,customer,channel2,4,33.76,36.28,programs for crops.,neutral,0.8658,False,False,False,False,False,2.52,0.027217,0.229675,-31.303,0.074787,1017.753,243.837,128.179,1.19,low,medium,medium
en_CA_Agriculture_1586885,9,customer,channel2,5,36.28,39.4,I heard there were some updates this year.,neutral,0.8481,False,False,False,False,False,3.12,0.072476,0.682983,-22.796,0.0908,1038.94,161.849,79.787,2.564,high,high,low
en_CA_Agriculture_1586885,10,agent,channel1,5,40.84,41.84,Hi David.,positive,0.5979,False,False,False,False,False,1.0,0.073739,0.298553,-22.646,0.082764,1132.461,280.953,46.261,2.0,high,high,high
en_CA_Agriculture_1586885,11,agent,channel1,6,41.84,44.2,"Yeah, that's right.",positive,0.5415,False,False,False,False,False,2.36,0.069091,0.470367,-23.212,0.111526,1245.64,201.203,77.857,1.271,high,medium,low
en_CA_Agriculture_1586885,12,agent,channel1,7,44.2,49.72,"The organic certification assistance program, it's been expanded for this year.",neutral,0.7457,False,False,False,False,False,5.52,0.060193,0.43985,-24.409,0.109208,1202.237,205.284,58.191,1.993,medium,medium,low
en_CA_Agriculture_1586885,13,agent,channel1,8,49.72,54.16,To make it easier for farmers to transition.,neutral,0.8166,False,False,False,False,False,4.44,0.050883,0.455536,-25.869,0.12102,1288.63,189.601,73.418,1.802,medium,medium,low
en_CA_Agriculture_1586885,14,agent,channel1,9,54.16,63.4,Are you already farming organic or are you planning to make the switch?,neutral,0.9064,False,False,True,False,False,9.24,0.042116,0.500702,-27.511,0.073398,1065.47,250.82,124.57,1.407,low,medium,medium
en_CA_Agriculture_1586885,15,customer,channel2,6,57.2,65.92,"I'm planning to transition, because the price of fertilizers has really gone up, and I'm",neutral,0.5768,False,False,False,False,False,8.72,0.073324,0.951263,-22.695,0.044214,655.875,254.478,130.45,1.72,high,medium,medium
en_CA_Agriculture_1586885,16,agent,channel1,10,63.4,78.72,"Oh, that's great.",positive,0.978,False,False,False,False,False,15.32,0.01904,0.358154,-34.407,0.032188,873.184,298.159,135.66,0.196,low,low,high
en_CA_Agriculture_1586885,17,customer,channel2,7,65.92,75.88,"looking into some sustainable options, things like composting or cover crops instead of chemicals.",neutral,0.6125,False,False,False,False,False,9.96,0.093536,0.804352,-20.58,0.066317,852.909,216.768,113.951,1.406,high,medium,medium
en_CA_Agriculture_1586885,18,agent,channel1,11,78.72,79.72,You're not alone.,neutral,0.5675,False,False,False,False,False,1.0,0.115517,0.393372,-18.747,0.07399,1062.516,216.85,15.295,3.0,high,high,medium
en_CA_Agriculture_1586885,19,agent,channel1,12,79.72,86.04,"There's a lot of farmers that are going towards sustainable practices, so this program, it can",positive,0.7398,False,False,False,False,False,6.32,0.051106,0.401306,-25.831,0.108495,1143.647,197.534,74.888,2.532,medium,high,low
en_CA_Agriculture_1586885,20,agent,channel1,13,86.04,91.88,really help them because it reimburses part of your certification and inspection fees,positive,0.6593,False,False,False,False,False,5.84,0.061088,0.408783,-24.281,0.108262,1200.39,218.881,72.818,2.226,medium,high,medium
en_CA_Agriculture_1586885,21,customer,channel2,8,87.2,100.64,"Oh, nice, that sounds good.",positive,0.9797,False,False,False,False,False,13.44,0.029428,0.48645,-30.625,0.012764,365.816,342.928,112.606,0.372,low,low,high
en_CA_Agriculture_1586885,22,agent,channel1,14,91.88,105.8,and there's grants to support environmentally friendly methods.,neutral,0.5606,False,False,False,False,False,13.92,0.034452,0.537842,-29.256,0.075547,1105.301,237.606,130.687,0.575,low,low,medium
en_CA_Agriculture_1586885,23,customer,channel2,9,100.64,103.6,How do I know if I qualify for that?,neutral,0.8545,False,False,False,False,False,2.96,0.1464,0.848267,-16.689,0.057407,760.334,181.284,86.507,3.041,high,high,low
