call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Insurance_1587317,1,agent,channel1,1,0.0,18.88,"Good afternoon, thank you for calling Brightsure Home Insurance, this is Melissa speaking.",positive,0.8794,False,False,False,False,False
en_CA_Insurance_1587317,2,customer,channel2,1,0.0,29.38,"This is Robert, I got a home insurance policy with you and I recently finished some renovation",neutral,0.7998,False,False,False,False,False
en_CA_Insurance_1587317,3,agent,channel1,2,18.88,25.88,How can I help you today?,neutral,0.7191,False,False,True,False,False
en_CA_Insurance_1587317,4,agent,channel1,3,25.88,43.08,"Oh, that's a great idea Robert, congratulations on the renovation, it's always smart to review",positive,0.9829,False,False,False,False,False
en_CA_Insurance_1587317,5,customer,channel2,2,29.38,53.38,on my house. I wanted to update my policy to make sure everything is properly covered.,neutral,0.6742,False,False,False,False,False
en_CA_Insurance_1587317,6,agent,channel1,4,43.08,48.48,"your coverage after making improvements, I can help you update your policy.",neutral,0.622,False,False,False,True,False
en_CA_Insurance_1587317,7,agent,channel1,5,48.48,55.48,Can I start by getting your policy number or the address on the policy?,neutral,0.9344,False,False,True,False,False
en_CA_Insurance_1587317,8,customer,channel2,3,53.38,75.38,"The policy number is H-49321 and the address is 248 Pineview Avenue, Ottawa.",neutral,0.9409,False,False,False,False,False
en_CA_Insurance_1587317,9,agent,channel1,6,55.48,71.24,"Oh, thanks, one moment while I bring up your account, okay I see your file here, so you've",neutral,0.5144,False,False,False,False,False
en_CA_Insurance_1587317,10,agent,channel1,7,71.24,77.0,"had your policy with us since 2018, correct?",neutral,0.9474,False,False,True,False,False
en_CA_Insurance_1587317,11,customer,channel2,4,75.38,95.38,We finished our basement and added a small home office and battery down there. We also replaced,neutral,0.7044,False,False,False,False,False
en_CA_Insurance_1587317,12,agent,channel1,8,77.0,85.76,"Oh, wonderful, thank you for your customer loyalty, could you tell me a little more about",positive,0.9849,False,False,False,False,False
en_CA_Insurance_1587317,13,agent,channel1,9,85.76,92.76,the renovations you've done?,neutral,0.9415,False,False,True,False,False
en_CA_Insurance_1587317,14,agent,channel1,10,92.76,119.48,"Ah, that sounds fantastic, those are definitely updates worth notifying us about, the renovations",positive,0.9833,False,False,False,False,False
en_CA_Insurance_1587317,15,customer,channel2,5,95.38,111.38,"the roof and upgraded the electrical wiring throughout the house. It ended up being a bit more work than planned, but it's looking great now.",positive,0.8317,False,False,False,False,False
en_CA_Insurance_1587317,16,agent,channel1,11,119.48,124.12,can increase your home's replacement value and improve safety and that can affect your,neutral,0.6143,False,False,False,False,False
en_CA_Insurance_1587317,17,agent,channel1,12,124.12,129.12,coverage and premiums.,neutral,0.8302,False,False,False,False,False
en_CA_Insurance_1587317,18,customer,channel2,6,125.38,135.38,"Yeah, that's what I figured. So I just want to make sure I'm properly covered in case anything happens.",neutral,0.7818,False,False,False,False,False
en_CA_Insurance_1587317,19,agent,channel1,13,129.12,140.8,"Yeah, absolutely, that's what we're here for, so let's go over the updates one by one so",positive,0.6255,False,False,False,False,False
en_CA_Insurance_1587317,20,agent,channel1,14,140.8,148.72,"I can adjust your file accurately, okay, so first for the bath basement renovation,",neutral,0.6575,False,False,False,False,False
en_CA_Insurance_1587317,21,agent,channel1,15,148.72,157.16,"you mentioned a new office and bathroom, about how much did those improvements cost roughly?",neutral,0.8962,False,False,True,False,False
en_CA_Insurance_1587317,22,customer,channel2,7,155.38,177.38,"While the old basement project came to around $35,000, we went with architectural shingles cost about $12,000.",neutral,0.8203,False,False,False,False,False
en_CA_Insurance_1587317,23,agent,channel1,16,157.16,174.76,"Got it, and the roof replacement, was it a complete replacement or just a partial repair?",neutral,0.8476,False,False,True,False,False
en_CA_Insurance_1587317,24,agent,channel1,17,174.76,188.4,"Oh, sorry, excellent, those are really good quality, so for the electrical work, was it",positive,0.9435,False,False,False,False,False
en_CA_Insurance_1587317,25,customer,channel2,8,185.38,200.38,"Full rewiring, we brought everything up to code that costs around $9,000.",neutral,0.7655,False,False,False,False,False
en_CA_Insurance_1587317,26,agent,channel1,18,188.4,195.6,a full rewiring or upgrades to certain areas?,neutral,0.9413,False,False,True,False,False
en_CA_Insurance_1587317,27,agent,channel1,19,195.6,208.0,"Oh, perfect, thanks Robert, so I've updated those details, based on your upgrades, your",positive,0.8988,False,False,False,False,False
en_CA_Insurance_1587317,28,agent,channel1,20,208.0,215.72,"home replacement value will increase slightly, so I'll recalculate your coverage limit accordingly.",neutral,0.8589,False,False,False,False,False
en_CA_Insurance_1587317,29,customer,channel2,9,215.38,239.38,"Okay, great. So everything new is now covered under my existing policy?",positive,0.7933,False,False,False,False,False
en_CA_Insurance_1587317,30,agent,channel1,21,215.72,228.32,"Okay, so your dwelling coverage is now set at $575,000 up from your previous $510,000,",neutral,0.851,False,False,False,False,False
en_CA_Insurance_1587317,31,agent,channel1,22,228.32,234.64,so that ensures your new improvements are fully protected.,positive,0.5289,False,False,False,False,False
en_CA_Insurance_1587317,32,agent,channel1,23,234.64,246.64,"Yes, absolutely, so when I do this update, your coverage automatically includes all the new",positive,0.5434,False,False,False,False,False
en_CA_Insurance_1587317,33,customer,channel2,10,245.38,257.38,"Good, good. So can you send me confirmation once that's updated?",positive,0.7673,False,False,False,False,False
en_CA_Insurance_1587317,34,agent,channel1,24,246.64,262.28,"fixtures, wiring, and structural changes, yeah, of course, so you'll get an email confirmation,",neutral,0.8495,False,False,False,False,False
en_CA_Insurance_1587317,35,agent,channel1,25,262.28,268.64,"an updated policy document within about 24 hours, so it'll have your new coverage amount,",neutral,0.867,False,False,False,False,False
en_CA_Insurance_1587317,36,agent,channel1,26,268.64,275.48,"your premium adjustment, and an updated declaration page for your records.",neutral,0.8802,False,False,False,False,False
en_CA_Insurance_1587317,37,customer,channel2,11,275.38,286.38,So I'd like to keep a copy saved on my computer.,neutral,0.7014,False,False,False,False,False
en_CA_Insurance_1587317,38,agent,channel1,27,275.48,288.32,"Oh, that's smart, yeah, and also if you ever need a printed version, we can mail one too.",positive,0.8553,False,False,False,False,False
en_CA_Insurance_1587317,39,customer,channel2,12,286.38,294.38,"Speaking of free moon adjustment, will these updates raise my rates by much?",neutral,0.8299,False,False,False,False,False
en_CA_Insurance_1587317,40,agent,channel1,28,289.24,295.64,"Good question, let's take a look.",positive,0.852,False,False,False,False,False
en_CA_Insurance_1587317,41,agent,channel1,29,295.64,304.56,"So because your renovations include a new roof and an updated wiring, both of these reduce",neutral,0.7049,False,False,False,False,False
en_CA_Insurance_1587317,42,agent,channel1,30,304.56,311.8,"risks, so you actually qualify for a small discount, but since the overall home value",neutral,0.6374,False,False,False,False,False
en_CA_Insurance_1587317,43,agent,channel1,31,311.8,322.36,"increased, your premium will rise slightly, so after recalculation, your monthly premium",neutral,0.7863,False,False,False,False,False
en_CA_Insurance_1587317,44,customer,channel2,13,316.38,338.38,"Oh, that's not bad at all. I was expecting a bigger jump.",positive,0.9001,False,False,False,False,False
en_CA_Insurance_1587317,45,agent,channel1,32,322.36,334.36,"will go from $142.50 to about $151.90, so about $9 more per month.",neutral,0.8497,False,False,False,False,False
en_CA_Insurance_1587317,46,agent,channel1,33,335.36,343.0,"Yeah, the safety upgrades really help.",positive,0.9085,False,False,False,False,False
en_CA_Insurance_1587317,47,agent,channel1,34,343.0,348.08,"Insurance companies, they like improvements that lower fire and water damage risks, so",positive,0.4911,False,False,False,False,False
en_CA_Insurance_1587317,48,customer,channel2,14,347.38,361.38,"No, okay, I'll take that rate increase, actually.",neutral,0.577,False,False,False,False,False
en_CA_Insurance_1587317,49,agent,channel1,35,348.08,352.96,it balances out nicely.,positive,0.8882,False,False,False,False,False
