call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Banking_1588683,1,agent,channel1,1,0.0,16.12,"Hello, and welcome to the Bank Association.",positive,0.8312,False,False,False,False,False,16.12,0.014673,0.179016,-36.67,0.024003,425.364,345.166,95.941,0.434,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Banking_1588683:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,2,customer,channel2,1,0.0,25.36,"Hello, I'm looking to set up an automatic monthly transfer from my checking count to",neutral,0.8767,False,False,False,False,False,25.36,0.069613,0.950195,-23.146,0.025017,391.891,324.304,122.5,0.591,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Banking_1588683:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,3,agent,channel1,2,16.12,17.12,My name is Julia.,neutral,0.8721,False,False,False,False,False,1.0,0.031258,0.157654,-30.101,0.083145,1027.214,223.778,15.11,4.0,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Banking_1588683:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,4,agent,channel1,3,17.12,22.12,How can I help you today?,neutral,0.7191,False,False,True,False,False,5.0,0.010175,0.146393,-39.849,0.017214,416.935,356.461,86.275,1.2,low,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Banking_1588683:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,5,agent,channel1,4,22.12,32.12,"All right, we can definitely do that.",positive,0.8079,False,False,False,False,False,10.0,0.012776,0.179535,-37.872,0.021502,489.934,336.183,106.067,0.7,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Banking_1588683:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,6,customer,channel2,2,25.44,27.44,a new savings account that I just opened with you online.,neutral,0.8886,False,False,False,False,False,2.0,0.094123,0.804199,-20.526,0.093014,1112.751,138.297,26.42,5.5,medium,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Banking_1588683:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,7,agent,channel1,5,32.12,40.12,Can you please provide your full name?,neutral,0.8938,False,False,True,False,False,8.0,0.019021,0.156769,-34.416,0.035925,752.678,311.725,113.468,0.875,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Banking_1588683:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,8,customer,channel2,3,35.6,36.72,Owen McDougall.,neutral,0.852,False,False,False,False,False,1.12,0.169787,0.927795,-15.402,0.040351,823.504,161.491,76.846,1.786,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Banking_1588683:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,9,agent,channel1,6,40.12,53.12,And your checking account number?,neutral,0.9024,False,False,True,False,False,13.0,0.014627,0.151031,-36.697,0.020385,391.198,354.255,87.514,0.385,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Banking_1588683:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Banking_1588683,10,customer,channel2,4,43.6,49.68,"Yes, it is 59437289.",neutral,0.83,False,False,False,False,False,6.08,0.146062,1.0,-16.709,0.088895,1239.559,141.786,64.459,0.658,high,low,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Banking_1588683:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
