call_id,channel,segment_id,start_time,end_time,text
en_CA_Finance_1590992,channel1,1,0.0,21.04,Thank you for calling. This is Great Wealth Investing. How can I help you?
en_CA_Finance_1590992,channel1,2,21.04,27.32,I see. Okay. So you're not looking to liquidate your current assets. May I ask what you're
en_CA_Finance_1590992,channel1,3,27.32,49.52,looking to do? Okay. Absolutely. So would you want maybe a 10 or what we have is 25 to 30
en_CA_Finance_1590992,channel1,4,49.52,55.44,year amortization? Like is there a certain amount of years that you're looking to aim
en_CA_Finance_1590992,channel1,5,55.56,75.84,"for? Okay. Okay. I can. Okay. Well, based on your portfolio size, a margin, a margin loan is"
en_CA_Finance_1590992,channel1,6,75.84,82.64,"often the quickest solution for enhancing your portfolio. And in order to qualify, you need"
en_CA_Finance_1590992,channel1,7,82.64,102.4,"a minimum of 25,000 to put down. Is that okay with you? Okay. Yeah, it can be. But, you know,"
en_CA_Finance_1590992,channel1,8,102.4,110.48,"like I said, in order to qualify, you need a minimum of 25,000. So yeah. As long as you can. Go"
en_CA_Finance_1590992,channel1,9,110.48,126.08,"ahead. Usually around, usually around 30% of the total value. Does that work with you?"
en_CA_Finance_1590992,channel1,10,126.08,141.08,"Oh, actually, sorry. That was that was for I thought you were talking about another one of our"
en_CA_Finance_1590992,channel1,11,141.08,146.56,"loans. No, so the the term actually, I'm just looking at it here. It says that it's"
en_CA_Finance_1590992,channel1,12,147.36,162.64,"it says that it's going to be it's sorry 15%. Yes. Okay. Actually, your file shows something"
en_CA_Finance_1590992,channel1,13,162.64,171.0,different. My apologies. It says 7.25% prime rate. There is no set replacement. And you pay the
en_CA_Finance_1590992,channel1,14,171.0,179.64,"interest monthly. And the principal is repaid at your at your description. So it's 7.25%. Sorry,"
en_CA_Finance_1590992,channel1,15,179.64,199.96,but that's the 100% confirmation with with this one here. Yes. Yes. Yes. Yes. That's correct.
en_CA_Finance_1590992,channel1,16,200.84,207.8,"Some people do push it to 30 years. Just, you know, to give them some balance."
en_CA_Finance_1590992,channel1,17,209.64,214.28,"It, you know, we also have customers who get mortgage loans through us. So it really just"
en_CA_Finance_1590992,channel1,18,214.28,218.84,"depends on what you want to do. But if you like, I'm just the customer service agent,"
en_CA_Finance_1590992,channel1,19,218.84,225.64,"but I can get you scheduled in with one of our actual advisors, and they can sit down and"
en_CA_Finance_1590992,channel1,20,225.64,229.72,speak to you about all this and try to figure out what the best options are for you.
en_CA_Finance_1590992,channel1,21,230.44,232.12,"But yeah, whatever."
en_CA_Finance_1590992,channel1,22,247.72,252.6,"So we're repayment terms and all that stuff that usually goes through the advisors,"
en_CA_Finance_1590992,channel1,23,252.6,257.32,but I can hopefully try to just give you a little bit of information here about that.
en_CA_Finance_1590992,channel1,24,257.32,261.88,"Just give me one moment if you don't mind. Okay, thank you."
en_CA_Finance_1590992,channel1,25,267.08,275.48,"Yeah. So for the repayment terms, yeah, so it is flexible. It is it is flexible. I know that,"
en_CA_Finance_1590992,channel1,26,275.48,279.72,"but typically if you want to get into the nitty-gritty and all the details,"
en_CA_Finance_1590992,channel1,27,279.72,286.68,"I would have to book you in with an advisor. But yeah, before we I get you booked in,"
en_CA_Finance_1590992,channel1,28,287.48,290.2,are you just looking for one loan or multiple loans?
en_CA_Finance_1590992,channel1,29,304.36,311.8,"Oh, yes, we do. We do offer that. So we have an app. We do have an app that you can follow along"
en_CA_Finance_1590992,channel1,30,311.8,318.28,"and look at your stock performance and any updates and all that stuff. Additionally,"
en_CA_Finance_1590992,channel1,31,318.92,325.8,"you can also go on our website to check our any stock performances. But yeah, you can definitely"
en_CA_Finance_1590992,channel1,32,325.8,330.92,do that. But we prefer you using our app because it gets updated right away. The
en_CA_Finance_1590992,channel1,33,330.92,337.56,website will take a couple days to get updated. But do you have Great Wealth app downloaded?
en_CA_Finance_1590992,channel1,34,342.28,356.44,"Okay, absolutely. If you like, I can walk you through the process. So do you have an iOS or"
en_CA_Finance_1590992,channel1,35,356.44,364.04,"do you have an Android iPhone or iPhone? Okay, wonderful. So if you just go to the app store"
en_CA_Finance_1590992,channel1,36,364.04,370.28,"and type in Great Space and then Wealth, it's going to be the first option. You just download"
en_CA_Finance_1590992,channel1,37,370.36,377.96,it. You do have to log in with the password and also the email address you were given.
en_CA_Finance_1590992,channel1,38,378.68,382.92,Every one of our customers were given an email address and password. Did you get that?
en_CA_Finance_1590992,channel1,39,384.6,391.8,"You did. Okay, wonderful. You did. Okay. Oh, yes, that's all. As soon as you log in,"
en_CA_Finance_1590992,channel1,40,391.8,397.8,you will be getting all those updates as well. And it will ask you if you want to turn on
en_CA_Finance_1590992,channel1,41,397.8,402.36,"your notifications, just click Yes. And you'll get all those updates and stock performances and all"
en_CA_Finance_1590992,channel1,42,402.36,424.84,"that through the app directly. Oh, yes, absolutely. I can do that for you right now, actually. I have"
en_CA_Finance_1590992,channel1,43,424.84,435.0,our calendar open and the students we have available is the 30th of this month at 10.30 am. Does that
en_CA_Finance_1590992,channel1,44,435.0,446.36,"work with you? Or do you need something later? So the 30th, that actually falls on a Sunday."
en_CA_Finance_1590992,channel1,45,446.36,452.68,"He's in on weekends usually, but we can also do, if weekends don't work for you, we can also"
en_CA_Finance_1590992,channel1,46,452.68,460.12,do from the 24th to the 28th. The 24th falls on a Monday. The 28th falls on a Friday. So any time
en_CA_Finance_1590992,channel1,47,460.12,466.92,"between that week we can do, but he usually for weekends. Okay. What day during the week"
en_CA_Finance_1590992,channel1,48,466.92,477.88,"works best for you between the 24th and the 28th? Wednesday? Okay, wonderful. And just looking"
en_CA_Finance_1590992,channel1,49,477.96,490.92,"at the time schedule here, there is 10.30, 11.00 am, 11.30, 12.00 pm, 12.30, which one?"
