call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Travel_1586372,1,agent,channel1,1,0.0,28.0,"Hi, thanks for calling Fun Travels, how can I help you?",positive,0.6923,False,False,True,False,False,28.0,0.027986,0.456207,-31.061,0.043795,1157.079,306.12,126.441,0.393,medium,low,high
en_AU_Travel_1586372,2,customer,channel2,1,0.0,29.56,"Hi, I'm just looking at booking a vocation package to",neutral,0.8688,False,False,False,False,False,29.56,0.014006,0.348907,-37.074,0.051277,1275.018,291.934,140.143,0.338,low,low,high
en_AU_Travel_1586372,3,agent,channel1,2,28.0,43.12,"Okay, sure. So would you just like to go ahead with the accommodation or you are looking at",neutral,0.8812,False,False,False,False,False,15.12,0.063214,0.614563,-23.984,0.084958,1366.81,262.801,105.492,1.19,medium,medium,medium
en_AU_Travel_1586372,4,customer,channel2,2,29.56,50.8,"Dreamworld. And will we require a package? So like a hotel, mills, and park tickets?",neutral,0.9119,False,False,False,False,False,21.24,0.028288,0.424561,-30.968,0.076371,1494.75,266.261,135.052,0.706,medium,low,high
en_AU_Travel_1586372,5,agent,channel1,3,43.12,56.4,"more options there? Sure, I can help you with that. How many people are we looking for? How",neutral,0.7303,False,False,True,True,False,13.28,0.038694,0.387238,-28.247,0.067681,1261.828,279.298,125.349,1.355,medium,medium,high
en_AU_Travel_1586372,6,customer,channel2,3,50.8,64.96,"Are there be two adults and two children? Ah, we've got an eight-year-old and a",neutral,0.7979,False,False,False,False,False,14.16,0.022187,0.298279,-33.078,0.06707,1396.887,273.361,136.089,1.059,low,medium,high
en_AU_Travel_1586372,7,agent,channel1,4,56.4,72.48,"many adults and how many children? And what's the children's ages? Okay, so is there is there",neutral,0.9124,False,False,True,False,False,16.08,0.042619,0.371185,-27.408,0.082043,1309.058,251.21,125.222,1.057,medium,medium,medium
en_AU_Travel_1586372,8,customer,channel2,4,64.96,83.08,"ten-year-old. We're looking in the summer over the holidays, so it would be like June, July-ish.",neutral,0.8513,False,False,False,False,False,18.12,0.0297,0.350769,-30.545,0.078258,1528.828,265.283,131.1,0.883,medium,medium,medium
en_AU_Travel_1586372,9,agent,channel1,5,72.48,91.6,"any particular dates that you're after? Yep. Okay, and any, how many days are we looking for and",neutral,0.8936,False,False,True,False,False,19.12,0.058431,0.506165,-24.667,0.054816,1092.841,264.022,119.096,0.941,medium,medium,medium
en_AU_Travel_1586372,10,agent,channel1,6,91.6,106.24,"any particular like, do you want weekends or? Okay, all right. Yep. So for seven days, I would say",neutral,0.7276,False,False,True,False,False,14.64,0.075584,0.738922,-22.431,0.097923,1359.391,236.587,113.53,1.298,medium,medium,medium
