call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_RealEstate_1586372,1,agent,channel1,1,0.0,16.0,"Hi, how can I help you?",neutral,0.7674,False,False,True,False,False,16.0,0.03118,0.999969,-30.122,0.055381,1143.979,285.755,130.249,0.375,low,low,high
en_AU_RealEstate_1586372,2,customer,channel2,1,0.0,23.88,"Hi, my name is Jenny and I'm just looking at buying an apartment in some specific neighbourhoods.",neutral,0.9014,False,False,False,False,False,23.88,0.022013,0.473389,-33.146,0.085413,1597.623,270.669,135.753,0.712,low,low,medium
en_AU_RealEstate_1586372,3,agent,channel1,2,16.0,36.0,"Yeah, is there a particular neighborhood you're often?",neutral,0.9258,False,False,True,False,False,20.0,0.018681,0.258759,-34.572,0.031528,1074.754,319.96,122.014,0.4,low,low,high
en_AU_RealEstate_1586372,4,customer,channel2,2,23.88,44.88,I don't really have a neighbourhood but my preference in my price range is between $400 and $600.,neutral,0.8079,False,False,False,False,False,21.0,0.028303,0.481628,-30.963,0.09038,1587.855,241.294,125.176,0.857,low,medium,medium
en_AU_RealEstate_1586372,5,agent,channel1,3,36.0,39.0,Sure.,neutral,0.6517,False,False,False,False,False,3.0,0.022787,0.292389,-32.846,0.067419,1299.298,287.401,138.876,0.333,low,low,high
en_AU_RealEstate_1586372,6,agent,channel1,4,39.0,51.0,And how many bedroom apartments are we talking about?,neutral,0.8353,False,False,True,False,False,12.0,0.028342,0.227814,-30.951,0.044141,1011.402,289.579,116.6,0.75,low,low,high
en_AU_RealEstate_1586372,7,customer,channel2,3,44.88,50.88,I would go for a two if it was really nice.,positive,0.8848,False,False,False,False,False,6.0,0.030451,0.355743,-30.328,0.121899,1753.902,222.253,125.76,1.833,low,medium,medium
en_AU_RealEstate_1586372,8,agent,channel1,5,51.0,59.0,"Okay, yeah, finding a three bedroom with that price range is very difficult.",negative,0.762,False,False,False,False,False,8.0,0.067746,0.443787,-23.382,0.097621,1289.204,232.449,87.016,1.625,medium,medium,medium
en_AU_RealEstate_1586372,9,agent,channel1,6,59.0,65.0,"But if you go to two bedrooms, there are a fair bit of options available around.",neutral,0.6876,False,False,False,False,False,6.0,0.069361,0.588104,-23.178,0.125667,1461.945,230.094,86.431,2.667,medium,high,medium
en_AU_RealEstate_1586372,10,agent,channel1,7,65.0,71.0,So two bedroom options.,neutral,0.8748,False,False,False,False,False,6.0,0.066143,0.458771,-23.59,0.103508,1375.759,231.517,106.096,0.667,medium,low,medium
en_AU_RealEstate_1586372,11,agent,channel1,8,71.0,82.0,So what we have that are very popular these days are a lot in Brunswick area and a lot in Elfington area.,neutral,0.6667,False,False,False,False,False,11.0,0.070478,0.534027,-23.039,0.124028,1403.453,217.972,81.454,2.0,medium,high,low
