call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Banking_1590914,1,customer,channel2,1,0.0,25.84,"Hi, Tom. My name is Laura. I've just been on the banking app and I've made a mess of",negative,0.7952,False,False,False,False,False
en_AU_Banking_1590914,2,agent,channel1,1,0.0,29.0,"Hi, thanks for calling A&Z, you're speaking with Tom, how can I help you today?",positive,0.6373,False,False,True,False,False
en_AU_Banking_1590914,3,customer,channel2,2,25.84,32.88,things to be honest. I went onto the app. I've opened it up like normal. I had to make a transaction,neutral,0.8351,False,False,False,False,False
en_AU_Banking_1590914,4,agent,channel1,2,29.0,57.0,"Okay, I can understand how frustrating that's been with all being there, just another manic",negative,0.7991,False,False,False,False,False
en_AU_Banking_1590914,5,customer,channel2,3,32.88,37.6,"and when I've gone to transfer something, I've realised I've sent it to the wrong place. So",negative,0.6556,False,False,False,False,False
en_AU_Banking_1590914,6,customer,channel2,4,37.6,42.56,I've sent all this money and I'm really worried because obviously I didn't want to go,negative,0.8878,False,False,False,False,False
en_AU_Banking_1590914,7,customer,channel2,5,42.56,48.16,to the wrong place and I don't know what to do because it's quite a bit of money and I really,negative,0.9051,False,False,False,False,False
en_AU_Banking_1590914,8,customer,channel2,6,48.16,50.16,need it to go to where it's meant to.,neutral,0.6773,False,False,False,False,False
en_AU_Banking_1590914,9,customer,channel2,7,50.16,73.04,"Yeah, it's, that's okay. It's aid RT.",neutral,0.5039,False,False,False,False,False
en_AU_Banking_1590914,10,agent,channel1,3,57.0,63.0,"Monday as they say, just so I can bring up your details, could you please confirm the last",neutral,0.8645,False,False,False,False,False
en_AU_Banking_1590914,11,agent,channel1,4,63.0,72.0,"three digits of your login details? Just your customer identification number, sorry.",neutral,0.5768,False,False,True,False,False
en_AU_Banking_1590914,12,agent,channel1,5,72.0,92.0,"Okay, E-R-T, perfect, and just a year of birth thanks. Perfect, 1977, great. All right, so I have got your details up here, could you please tell me which transaction this was?",positive,0.9483,False,False,True,False,False
en_AU_Banking_1590914,13,customer,channel2,8,80.64,82.32,It's 1977.,neutral,0.8099,False,False,False,False,False
en_AU_Banking_1590914,14,customer,channel2,9,93.36,98.88,So I just did the transaction before. So it was just my last one and it was meant to go,neutral,0.8704,False,False,False,False,False
en_AU_Banking_1590914,15,customer,channel2,10,99.52,102.48,"to my rent, but I've sent it to a friend.",neutral,0.8913,False,False,False,False,False
en_AU_Banking_1590914,16,customer,channel2,11,102.8,111.92,Let's just say we're not friends anymore. So it's really awkward and I don't think that I can get,negative,0.8989,False,False,False,False,False
en_AU_Banking_1590914,17,agent,channel1,6,103.0,107.0,"Oh God, and have you already tried to contact the friend?",negative,0.6258,False,False,True,False,False
en_AU_Banking_1590914,18,agent,channel1,7,107.0,136.0,"Okay, no worries at all, just having a look here, could you please confirm just one last thing, the amount that that was for?",neutral,0.5376,False,False,True,False,False
en_AU_Banking_1590914,19,customer,channel2,12,111.92,118.96,"it back that easily. So yeah, it's a sticky situation, but I really would love it if there's",positive,0.798,False,False,False,False,False
en_AU_Banking_1590914,20,customer,channel2,13,118.96,122.0,a way that we could get that back to go to the right place.,neutral,0.7987,False,False,False,False,False
en_AU_Banking_1590914,21,customer,channel2,14,130.8,135.84,"Yeah, it was $1,384.66.",neutral,0.7707,False,False,False,False,False
en_AU_Banking_1590914,22,agent,channel1,8,136.0,146.0,"Okay, perfect, I've got actually two transactions here for that, do you know the time that you sent that one?",positive,0.6062,False,False,True,False,False
en_AU_Banking_1590914,23,customer,channel2,15,136.16,149.68,"Oh, would it been like 20 minutes ago?",neutral,0.919,False,False,False,False,False
en_AU_Banking_1590914,24,agent,channel1,9,151.0,162.0,"Okay, so that would have made it approximately to 21, perfect, so I've located that transaction and just confirming the account name that it was transferred to please.",positive,0.5294,False,False,False,False,False
en_AU_Banking_1590914,25,customer,channel2,16,162.72,164.08,"Yeah, it's Sarah Connor.",neutral,0.6664,False,False,False,False,False
en_AU_Banking_1590914,26,agent,channel1,10,163.0,187.0,"Sarah Connor, okay. All right, so I have seen here, I'm just clicking into it. Okay, right, so because this was an established contact and ANZ does use Oscoe fast payments now, that payment has automatically gone through just because you have transferred to them recently.",neutral,0.7304,False,False,False,False,False
en_AU_Banking_1590914,27,agent,channel1,11,188.0,195.0,Would there be any possibility of messaging them or would this be something that you would like us to investigate further?,neutral,0.9259,False,False,True,False,False
en_AU_Banking_1590914,28,agent,channel1,12,195.0,220.0,"Okay, not a problem, so I'm just logging a ticket here now. It may take up to 48 hours for us to be able to fully process this because there are multiple layers of verification required before confirming a transaction.",neutral,0.6983,False,False,False,False,False
en_AU_Banking_1590914,29,customer,channel2,17,195.84,203.68,"I definitely need this investigated further, not able to contact them at all.",negative,0.8545,False,False,False,False,False
en_AU_Banking_1590914,30,agent,channel1,13,220.0,231.0,"We can't always guarantee that we will get it back, but we will certainly try our best. I know all too well the stress of paying rent, so we'll get this escalated very quickly.",neutral,0.4849,False,False,False,False,False
en_AU_Banking_1590914,31,customer,channel2,18,225.84,255.68,"Okay, let me check this out. So what, just get into my banking app right now?",neutral,0.8623,False,False,False,False,False
en_AU_Banking_1590914,32,agent,channel1,14,235.0,249.0,"Is there any possibility in the app of clicking recall? Sometimes that's an option that does display before Oscoe, which is the third party provider has processed the transaction.",neutral,0.927,False,False,True,False,False
en_AU_Banking_1590914,33,agent,channel1,15,251.0,262.0,"Yeah, yeah, that's right. So if you click log in and go into your account, just let me know what you see and just describe it as you're going through it for me.",neutral,0.7604,False,False,False,False,False
en_AU_Banking_1590914,34,customer,channel2,19,256.32,268.88,"Okay. Okay, give me a second. I'm just pulling up the app. Yeah, okay, just logging in now.",neutral,0.647,False,False,False,False,False
en_AU_Banking_1590914,35,agent,channel1,16,262.0,288.0,"Yep, so if you just click in the account that you sent the payment from, most probably it will be your, which I'm looking at now, your everyday savings account.",neutral,0.8563,False,False,False,False,False
en_AU_Banking_1590914,36,customer,channel2,20,270.4,275.92,"All right, so I'm in like my account summary page and it's got all the different accounts that I",neutral,0.8173,False,False,False,False,False
en_AU_Banking_1590914,37,customer,channel2,21,275.92,277.68,have with you guys on there.,neutral,0.8367,False,False,False,False,False
en_AU_Banking_1590914,38,customer,channel2,22,286.56,297.68,"Yeah. Okay, I've clicked on that. And then yeah, it's got all the lists of transactions that I've made on that account.",neutral,0.8165,False,False,False,False,False
en_AU_Banking_1590914,39,agent,channel1,17,293.0,308.0,"Okay, perfect. So if you just tap on the transaction, it should bring up details about the transaction just with a transaction number as well as the destination of the payment. Could you tell me what you see on that screen?",neutral,0.7148,False,False,True,False,False
en_AU_Banking_1590914,40,customer,channel2,23,297.92,316.48,"Okay, so clicked on the payment. It's got the destination there. That's definitely for Sarah.",neutral,0.6283,False,False,False,False,False
