call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Retail1_1586372,1,customer,channel2,1,0.0,20.5,"Hi, so I brought this really awesome jacket online and I absolutely love it, but it doesn't"
en_AU_Retail1_1586372,2,agent,channel1,1,0.0,29.0,"Hi, hi, can I help you?"
en_AU_Retail1_1586372,3,customer,channel2,2,20.5,21.5,fit me properly.
en_AU_Retail1_1586372,4,customer,channel2,3,21.5,24.0,It's too tight.
en_AU_Retail1_1586372,5,customer,channel2,4,24.0,34.0,"So I'm just wondering, what's your return policy look like?"
en_AU_Retail1_1586372,6,agent,channel1,2,29.0,33.0,"So you bought it online, did you buy it via our website?"
en_AU_Retail1_1586372,7,agent,channel1,3,33.0,40.0,"Okay, so if you purchase it through our website you can return it within 30 days."
en_AU_Retail1_1586372,8,customer,channel2,5,34.0,45.0,"Yes, I did."
en_AU_Retail1_1586372,9,agent,channel1,4,40.0,43.0,Is this still within the 30 days?
en_AU_Retail1_1586372,10,agent,channel1,5,43.0,48.0,"Oh yeah, that's not a problem."
en_AU_Retail1_1586372,11,customer,channel2,6,45.0,68.0,"Yes, I brought it Thursday last week."
en_AU_Retail1_1586372,12,agent,channel1,6,48.0,56.0,You can process the refund through our website as well and then send it back to us
en_AU_Retail1_1586372,13,agent,channel1,7,56.0,70.0,and then we'll provide you with the refund.
en_AU_Retail1_1586372,14,customer,channel2,7,68.0,87.0,What about returning it? What's the process for returning it?
en_AU_Retail1_1586372,15,agent,channel1,8,70.0,74.0,"So look, you need to go to the website."
en_AU_Retail1_1586372,16,agent,channel1,9,74.0,79.0,I'm assuming you had to create an account for purchasing it so since you've got an account
en_AU_Retail1_1586372,17,agent,channel1,10,79.0,89.0,"you will go under my account, returns and refunds and then under returns and refunds"
en_AU_Retail1_1586372,18,customer,channel2,8,87.0,89.0,"Oh, yeah."
en_AU_Retail1_1586372,19,agent,channel1,11,89.0,95.0,you will prepare a return account.
en_AU_Retail1_1586372,20,agent,channel1,12,95.0,102.0,"Under there it will like print, once you put all the details in there"
en_AU_Retail1_1586372,21,agent,channel1,13,102.0,105.0,it will create you with the returned label.
en_AU_Retail1_1586372,22,agent,channel1,14,105.0,110.0,What you will need to do is take that to the print that label
en_AU_Retail1_1586372,23,agent,channel1,15,110.0,115.0,and take all of that to Australia Post and show them the return label.
en_AU_Retail1_1586372,24,agent,channel1,16,115.0,119.0,There is a barcode on it that the post office will ask for that
en_AU_Retail1_1586372,25,customer,channel2,9,117.0,136.0,"Okay, that's great."
en_AU_Retail1_1586372,26,agent,channel1,17,119.0,125.0,and that's how you can actually return it to us.
en_AU_Retail1_1586372,27,agent,channel1,18,125.0,143.0,And you know that the customer will have to pay for the return of the postage fees.
en_AU_Retail1_1586372,28,customer,channel2,10,136.0,138.0,"Oh yes, okay."
en_AU_Retail1_1586372,29,customer,channel2,11,138.0,160.0,"If I was to get a refund, what's the process in timeline like?"
