call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_RealEstate_1584853,1,customer,channel2,1,0.0,18.4,"Hello, is that scenario real estate?",neutral,0.9141,False,False,False,False,False,18.4,0.031638,0.575317,-29.996,0.051124,1260.888,312.373,131.665,0.326,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_RealEstate_1584853:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,2,agent,channel1,1,0.0,20.0,"Yes, this is Jim from Scenario Real Estate.",neutral,0.8463,False,False,False,False,False,20.0,0.039486,1.0,-28.071,0.036721,1074.948,301.885,132.087,0.4,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,3,customer,channel2,2,18.4,34.8,"Okay, I'm looking to looking to get a rental in the edge area and just wondering what furnish departments that you have. Do you have any available at the moment?",neutral,0.9115,False,False,False,False,False,16.4,0.041578,0.423859,-27.623,0.106649,1611.974,194.44,118.315,1.829,medium,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_RealEstate_1584853:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,4,agent,channel1,2,20.0,26.0,How can I help you today?,neutral,0.7191,False,False,True,False,False,6.0,0.01381,0.208374,-37.196,0.042504,1279.41,287.241,143.424,1.0,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_RealEstate_1584853:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,5,agent,channel1,3,26.0,41.0,"Yeah, so we do have a couple of furnished apartments available.",neutral,0.7001,False,False,False,False,False,15.0,0.034806,0.427887,-29.167,0.062162,1387.813,263.957,136.376,0.733,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,6,agent,channel1,4,41.0,49.0,It is obviously subject to your area and how many people we're looking for and whether you have pets and things like that.,neutral,0.9099,False,False,False,False,False,8.0,0.058688,0.423096,-24.629,0.139619,1715.142,135.119,50.167,2.875,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,7,customer,channel2,3,48.4,77.4,"Okay, so we're looking at definitely wanting a furnished apartment. And the two of us, definitely my partner and I, what we're also looking for is potentially to get a cat or a dog or cat and a dog down the patch, and we just want to make sure that we don't have to worry about it.",neutral,0.6088,False,False,False,False,False,29.0,0.064063,0.758759,-23.868,0.112573,1588.181,194.358,124.226,1.966,medium,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_RealEstate_1584853:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,8,agent,channel1,5,49.0,55.0,So if you could just give me a little bit of information along those lines and I could sort of figure out the availability for you.,neutral,0.8637,False,False,False,False,False,6.0,0.053081,0.468719,-25.501,0.145978,1724.209,137.572,59.719,4.333,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,9,customer,channel2,4,78.4,85.4,"We wanted to know if there was a, there was okay with your setup.",neutral,0.6162,False,False,False,False,False,7.0,0.052447,0.421082,-25.606,0.135675,1658.473,145.882,88.187,2.0,medium,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_RealEstate_1584853:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,10,agent,channel1,6,79.0,101.0,"Yeah, absolutely. So we do have a couple of furnished apartments available that are pet friendly and recently legislation got passed that stopped owners from discriminating against pet ownership.",positive,0.6188,False,False,False,False,False,22.0,0.060838,0.946564,-24.316,0.124952,1658.377,196.277,124.665,1.318,medium,medium,medium,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,11,agent,channel1,7,101.0,130.0,"So that's really good, but they are getting snapped up quite quickly. So if you have the capacity, I definitely would recommend start looking into it now.",positive,0.9688,False,False,False,False,False,29.0,0.04022,0.885559,-27.911,0.068238,1322.389,254.052,141.669,0.931,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,12,customer,channel2,5,108.4,129.4,"Okay, so, yeah, so two bedroom availability, furnished apartment in the edge area. Would you get it now? Or do you think that we should just take a time, look around and find an ideal location that we're after?",neutral,0.9133,False,False,False,False,False,21.0,0.089911,0.774475,-20.924,0.107958,1511.122,182.298,108.776,1.857,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_RealEstate_1584853:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,13,agent,channel1,8,130.0,142.0,"Good question. Location is everything. It's very, very, very important. But another factor to consider is the financial situation that you and your partner are in.",neutral,0.6063,False,False,False,False,False,12.0,0.085659,0.771362,-21.345,0.134024,1711.222,138.231,62.039,2.167,high,high,low,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_RealEstate_1584853:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_RealEstate_1584853,14,customer,channel2,6,139.4,144.4,"Oh, you've gone again.",neutral,0.5685,False,False,False,False,False,5.0,0.022878,0.246216,-32.812,0.059804,1318.348,268.738,143.691,0.8,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_RealEstate_1584853:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
