call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Insurance_1590855,1,agent,channel1,1,0.0,24.72,"Good morning, this is Megan speaking Okay, sure, what is do you have your insurance",neutral,0.5576,False,False,False,False,False,24.72,0.035021,0.325745,-29.113,0.043199,879.087,281.523,127.141,0.607,low,low,high
en_CA_Insurance_1590855,2,customer,channel2,1,0.0,26.0,"Hi there, I'm just going to call an insurance claim for a car accident that took place yesterday.",neutral,0.6307,False,False,False,False,False,26.0,0.056839,0.988342,-24.907,0.083148,879.938,191.586,112.684,0.692,medium,low,medium
en_CA_Insurance_1590855,3,agent,channel1,2,24.72,40.12,"number handy? Yeah, it'll be on your insurance form in the top left corner and it'll be 12",neutral,0.7507,False,False,True,False,False,15.4,0.042291,0.665741,-27.475,0.073773,1007.184,237.46,121.412,1.169,low,medium,high
en_CA_Insurance_1590855,4,customer,channel2,2,26.0,42.0,"No, or how long should it be? I'm looking at my driver's license and I'm looking at my insurance.",neutral,0.8499,False,False,False,False,False,16.0,0.066281,0.981781,-23.572,0.08134,869.961,204.016,113.093,1.188,medium,medium,medium
en_CA_Insurance_1590855,5,agent,channel1,3,40.12,60.0,"digits 9008 BXRT to choose your file. Okay, and if you could confirm your first first name",neutral,0.8758,False,False,False,False,False,19.88,0.035612,0.468262,-28.968,0.055811,937.418,263.968,131.952,0.855,low,low,high
en_CA_Insurance_1590855,6,customer,channel2,3,42.0,63.0,"Oh, okay. Okay, here it is. It is 9008 PXRT 2205.",neutral,0.8517,False,False,False,False,False,21.0,0.051579,0.798737,-25.75,0.085797,921.495,198.248,101.577,0.524,medium,low,medium
en_CA_Insurance_1590855,7,agent,channel1,4,60.0,79.28,"last name and address. Okay, let me just pull up your information here and then we'll go through",neutral,0.8956,False,False,False,False,False,19.28,0.032115,0.47583,-29.866,0.070956,979.309,258.371,133.942,0.934,low,low,high
en_CA_Insurance_1590855,8,customer,channel2,4,63.0,89.0,"Roberta, first name, last name, Sunrise, and address is 146 Smith Avenue.",neutral,0.9342,False,False,False,False,False,26.0,0.050967,0.731476,-25.854,0.078235,860.133,206.278,111.887,0.462,medium,low,medium
en_CA_Insurance_1590855,9,agent,channel1,5,79.28,93.6,"this step by step. Okay, so which vehicle is this in regard in regards to? For the cruise. Okay.",neutral,0.8879,False,False,True,False,False,14.32,0.049838,0.539154,-26.049,0.10338,1217.129,224.74,120.856,1.327,low,medium,high
en_CA_Insurance_1590855,10,customer,channel2,5,89.0,99.0,This is for the 2014 Chevy Cruze.,neutral,0.8796,False,False,False,False,False,10.0,0.055867,0.998077,-25.057,0.082654,891.216,216.458,115.567,0.7,medium,low,high
en_CA_Insurance_1590855,11,agent,channel1,6,96.0,105.04,"All right, and you said this occurred yesterday. November 17th at about 4 30 p.m.",neutral,0.8923,False,False,False,False,False,9.04,0.048881,0.602936,-26.217,0.089578,1144.469,187.313,86.127,1.659,low,medium,low
en_CA_Insurance_1590855,12,customer,channel2,6,99.0,108.0,What about 430?,neutral,0.9236,False,False,False,False,False,9.0,0.04696,0.996643,-26.565,0.06133,792.376,239.284,119.69,0.333,low,low,high
en_CA_Insurance_1590855,13,agent,channel1,7,106.0,117.44,"And where was the location? Okay, okay.",neutral,0.7384,False,False,True,False,False,11.44,0.039687,0.49115,-28.027,0.048,853.078,272.055,136.564,0.612,low,low,high
en_CA_Insurance_1590855,14,customer,channel2,7,108.0,118.0,It is at the corner of Fernmore going westbound and St. Mary's going southbound.,neutral,0.9567,False,False,False,False,False,10.0,0.067441,0.922058,-23.422,0.101505,993.174,191.178,86.247,1.4,medium,medium,medium
en_CA_Insurance_1590855,15,customer,channel2,8,118.0,128.0,"Fernmore turning up west, crossing over St. Mary's going south.",neutral,0.9581,False,False,False,False,False,10.0,0.050128,0.783813,-25.998,0.083312,910.27,184.318,103.424,1.0,low,low,low
en_CA_Insurance_1590855,16,agent,channel1,8,122.32,133.52,"Okay, and just confirm which city is that? Okay, right, I figured but I still have to ask.",neutral,0.8221,False,False,True,False,False,11.2,0.051303,0.511078,-25.797,0.111932,1303.427,197.22,103.701,1.607,medium,medium,medium
en_CA_Insurance_1590855,17,customer,channel2,9,128.0,144.0,That's in Winnipeg.,neutral,0.8753,False,False,False,False,False,16.0,0.023146,0.330048,-32.711,0.077652,847.03,191.155,113.876,0.188,low,low,medium
en_CA_Insurance_1590855,18,agent,channel1,9,135.04,150.96,"Okay, um, first of all, are you are you injured and have you thought out medical care?",neutral,0.6168,False,False,True,False,False,15.92,0.083094,0.887787,-21.609,0.074784,1009.056,237.753,128.576,1.068,high,medium,high
en_CA_Insurance_1590855,19,customer,channel2,10,144.0,153.0,"I did actually go, I didn't go to the walking yesterday, but this morning I woke up really, really stiff in my neck and in my shoulders.",negative,0.7116,False,False,False,False,False,9.0,0.068539,0.775269,-23.281,0.101677,1015.845,185.627,72.783,3.0,medium,high,low
en_CA_Insurance_1590855,20,customer,channel2,11,153.0,161.0,And so I just morning off and I just went to our chiropractor just to see anything and go to the chiropractor regularly.,neutral,0.7403,False,False,False,False,False,8.0,0.054968,0.736145,-25.198,0.097026,974.405,183.618,79.502,2.875,medium,high,low
en_CA_Insurance_1590855,21,customer,channel2,12,161.0,170.0,And so just to get like a little bit of an adjustment around my neck and my upper shoulders and they said that it was really tight and kind of twisted already.,negative,0.6007,False,False,False,False,False,9.0,0.05873,0.918488,-24.623,0.100011,1001.477,170.445,69.709,3.556,medium,high,low
en_CA_Insurance_1590855,22,agent,channel1,10,165.52,180.32,"Okay, so we'll put in an injury claim as well. And that way you get up to 30 chiropractic visits",neutral,0.8577,False,False,False,False,False,14.8,0.055265,0.67746,-25.151,0.070355,1041.936,248.168,127.409,1.351,medium,medium,high
en_CA_Insurance_1590855,23,customer,channel2,13,170.0,176.0,I should go back right away again to the driver for a second.,neutral,0.813,False,False,False,False,False,6.0,0.045591,0.642578,-26.823,0.097215,996.532,202.706,114.082,2.167,low,medium,medium
en_CA_Insurance_1590855,24,customer,channel2,14,176.0,181.0,Okay.,neutral,0.5693,False,False,False,False,False,5.0,0.032765,0.343719,-29.692,0.090985,881.113,207.257,114.307,0.2,low,low,medium
en_CA_Insurance_1590855,25,customer,channel2,15,181.0,187.0,"Oh, great.",positive,0.9618,False,False,False,False,False,6.0,0.076546,1.0,-22.322,0.114214,1066.717,205.571,103.748,0.333,high,low,medium
en_CA_Insurance_1590855,26,agent,channel1,11,182.0,190.24,"covered. Yeah, or I mean, there's there's other healthcare professionals you could you could see",neutral,0.8529,False,False,False,False,False,8.24,0.053118,0.679047,-25.495,0.101434,1205.184,198.048,111.682,1.82,medium,medium,medium
en_CA_Insurance_1590855,27,agent,channel1,12,190.24,198.48,as well. And depending on your if you have a supplementary healthcare plan like between that,neutral,0.882,False,False,False,False,False,8.24,0.055906,0.731049,-25.051,0.115954,1345.094,183.875,80.167,1.942,medium,medium,low
en_CA_Insurance_1590855,28,agent,channel1,13,198.48,205.92,"and the MPI coverage, you could do your claim through the MPI coverage. First,",neutral,0.9144,False,False,False,False,False,7.44,0.076967,0.936737,-22.274,0.149693,1568.387,186.204,98.378,1.882,high,medium,low
en_CA_Insurance_1590855,29,agent,channel1,14,207.92,213.52,"is what I would suggest. And then if you find that the 30 treatments are not enough,",neutral,0.5587,False,False,False,False,False,5.6,0.064606,0.733887,-23.795,0.122456,1330.935,165.919,79.81,3.036,medium,high,low
en_CA_Insurance_1590855,30,customer,channel2,16,211.0,221.0,Okay.,neutral,0.5693,False,False,False,False,False,10.0,0.025628,0.562744,-31.826,0.052619,793.792,245.739,127.463,0.1,low,low,high
