call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Insurance_1585410,1,agent,channel1,1,0.0,21.28,Hello there. I was wondering if I could speak to Bob. This is Jim from Premium Content,neutral,0.823,False,False,False,False,False,21.28,0.051532,0.905304,-25.759,0.059985,1438.974,263.301,142.862,0.799,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Insurance_1585410:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,2,customer,channel2,1,0.0,29.98,"Yeah, hi. Yes, of course. Thank you for returning my call. Um, I'm a part of party. We'll",positive,0.8862,False,False,False,False,False,29.98,0.029745,0.55011,-30.532,0.051081,1198.045,282.201,136.957,0.6,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Insurance_1585410:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,3,agent,channel1,2,21.28,23.28,Insurance.,neutral,0.7654,False,False,False,False,False,2.0,0.015482,0.16626,-36.204,0.149554,1955.05,262.181,142.441,0.5,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Insurance_1585410:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,4,customer,channel2,2,30.34,36.62,policy holder with your company. And I've done some renovation to my place. And I just want to go,neutral,0.5339,False,False,False,False,False,6.28,0.051435,0.331268,-25.775,0.119349,1477.819,147.409,56.821,3.025,low,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Insurance_1585410:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,5,customer,channel2,3,36.62,43.78,through all the implications of that. Just to check my insurance policy if it would be covered for,neutral,0.6883,False,False,False,False,False,7.16,0.048779,0.421295,-26.235,0.169111,1919.666,158.247,83.54,2.514,low,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Insurance_1585410:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,6,customer,channel2,4,43.78,49.54,"what I've done. If you like, I can go through all the renovation areas and then maybe you can",neutral,0.7435,False,False,False,False,False,5.76,0.055338,0.350372,-25.14,0.118075,1492.688,135.666,61.701,3.299,low,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Insurance_1585410:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,7,customer,channel2,5,49.54,53.1,update me on what I need to do from there.,neutral,0.8948,False,False,False,False,False,3.56,0.055543,0.549438,-25.107,0.11656,1608.563,140.907,84.473,2.809,low,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Insurance_1585410:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,8,agent,channel1,3,51.28,76.28,"Yeah, absolutely Bob. So we can go through that with you. So some of the main things that we would need to know in terms of the renovations is sort of how much did it cost? How much square footage and value is it going to add to your property if you're aware of at the moment?",neutral,0.8641,False,False,True,False,False,25.0,0.054541,0.836853,-25.266,0.150881,1836.999,153.972,98.754,2.28,low,medium,medium,False,False,True,False,False,neutral,low,0,agent probing question detected,low,AGENT_PROBING,en_AU_Insurance_1585410:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,9,agent,channel1,4,76.28,92.28,And sort of if you're looking to change any plans or change your premiums or excess or anything like that. So if you could just sort of give me a ballpark estimate of what kind of value or square footage it's added to your property.,neutral,0.8904,False,False,False,False,False,16.0,0.058602,0.739258,-24.642,0.145773,1739.897,134.648,74.488,2.812,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Insurance_1585410:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Insurance_1585410,10,customer,channel2,6,79.54,101.82,"All right. So what we did was we there was two areas that we worked on. Um, we added another room",neutral,0.747,False,False,False,False,False,22.28,0.074917,0.989716,-22.508,0.062012,1299.102,267.502,139.349,0.943,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Insurance_1585410:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
