call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Retail1_1586372,1,customer,channel2,1,0.0,20.5,"Hi, so I brought this really awesome jacket online and I absolutely love it, but it doesn't",positive,0.7231,False,False,False,False,False,20.5,0.02944,0.371796,-30.621,0.073203,1519.611,266.58,128.451,0.829,medium,low,high
en_AU_Retail1_1586372,2,agent,channel1,1,0.0,29.0,"Hi, hi, can I help you?",positive,0.5104,False,False,True,False,False,29.0,0.025041,0.795563,-32.027,0.046042,1372.987,311.186,130.572,0.207,medium,low,high
en_AU_Retail1_1586372,3,customer,channel2,2,20.5,21.5,fit me properly.,neutral,0.5317,False,False,False,False,False,1.0,0.031042,0.183197,-30.161,0.160019,2075.776,229.004,72.077,3.0,medium,high,low
en_AU_Retail1_1586372,4,customer,channel2,3,21.5,24.0,It's too tight.,negative,0.5042,False,False,False,False,False,2.5,0.02002,0.208984,-33.971,0.157573,2082.722,198.384,125.271,1.2,low,medium,low
en_AU_Retail1_1586372,5,customer,channel2,4,24.0,34.0,"So I'm just wondering, what's your return policy look like?",neutral,0.8971,False,False,False,False,False,10.0,0.02243,0.20694,-32.983,0.059358,1361.122,259.623,133.972,1.0,medium,medium,medium
en_AU_Retail1_1586372,6,agent,channel1,2,29.0,33.0,"So you bought it online, did you buy it via our website?",neutral,0.9495,False,False,True,False,False,4.0,0.063564,0.353546,-23.936,0.103268,1237.663,263.519,54.353,3.0,medium,high,medium
en_AU_Retail1_1586372,7,agent,channel1,3,33.0,40.0,"Okay, so if you purchase it through our website you can return it within 30 days.",neutral,0.8043,False,False,False,False,False,7.0,0.063878,0.432129,-23.893,0.114974,1543.503,253.579,97.606,2.286,medium,high,medium
en_AU_Retail1_1586372,8,customer,channel2,5,34.0,45.0,"Yes, I did.",neutral,0.626,False,False,False,False,False,11.0,0.007978,0.31781,-41.962,0.037078,1228.029,284.492,147.227,0.273,low,low,high
en_AU_Retail1_1586372,9,agent,channel1,4,40.0,43.0,Is this still within the 30 days?,neutral,0.9515,False,False,True,False,False,3.0,0.072325,0.42981,-22.814,0.111422,1543.799,254.096,58.03,2.333,high,high,medium
en_AU_Retail1_1586372,10,agent,channel1,5,43.0,48.0,"Oh yeah, that's not a problem.",neutral,0.4472,False,False,False,False,False,5.0,0.033236,0.370178,-29.568,0.077242,1561.546,283.543,134.365,1.2,medium,medium,high
en_AU_Retail1_1586372,11,customer,channel2,6,45.0,68.0,"Yes, I brought it Thursday last week.",neutral,0.774,False,False,False,False,False,23.0,0.016413,0.48291,-35.696,0.040579,1260.409,292.667,139.022,0.304,low,low,high
en_AU_Retail1_1586372,12,agent,channel1,6,48.0,56.0,You can process the refund through our website as well and then send it back to us,neutral,0.8143,False,False,False,False,False,8.0,0.067605,0.46347,-23.4,0.108149,1373.494,226.168,58.348,2.125,medium,high,low
en_AU_Retail1_1586372,13,agent,channel1,7,56.0,70.0,and then we'll provide you with the refund.,neutral,0.7889,False,False,False,False,False,14.0,0.020619,0.257538,-33.714,0.035705,1053.903,281.942,137.371,0.571,medium,low,high
en_AU_Retail1_1586372,14,customer,channel2,7,68.0,87.0,What about returning it? What's the process for returning it?,neutral,0.9182,False,False,False,False,False,19.0,0.017146,0.385162,-35.317,0.039557,1218.672,303.663,132.811,0.526,low,low,high
en_AU_Retail1_1586372,15,agent,channel1,8,70.0,74.0,"So look, you need to go to the website.",neutral,0.9088,False,False,False,False,False,4.0,0.099702,0.581696,-20.026,0.147349,1681.172,240.005,87.622,2.25,high,high,medium
en_AU_Retail1_1586372,16,agent,channel1,9,74.0,79.0,I'm assuming you had to create an account for purchasing it so since you've got an account,neutral,0.9205,False,False,False,False,False,5.0,0.085695,0.465454,-21.341,0.137157,1641.988,224.897,55.521,3.4,high,high,low
en_AU_Retail1_1586372,17,agent,channel1,10,79.0,89.0,"you will go under my account, returns and refunds and then under returns and refunds",neutral,0.828,False,False,False,False,False,10.0,0.07206,0.546234,-22.846,0.112376,1480.882,211.602,97.884,1.5,high,medium,low
en_AU_Retail1_1586372,18,customer,channel2,8,87.0,89.0,"Oh, yeah.",neutral,0.4814,False,False,False,False,False,2.0,0.005628,0.067383,-44.993,0.070553,1482.225,237.267,148.841,1.0,low,medium,medium
en_AU_Retail1_1586372,19,agent,channel1,11,89.0,95.0,you will prepare a return account.,neutral,0.8785,False,False,False,False,False,6.0,0.066905,0.392944,-23.491,0.105084,1429.399,197.75,96.013,1.0,medium,medium,low
en_AU_Retail1_1586372,20,agent,channel1,12,95.0,102.0,"Under there it will like print, once you put all the details in there",neutral,0.878,False,False,False,False,False,7.0,0.075301,0.761475,-22.464,0.086968,1289.164,230.582,96.248,2.0,high,high,low
en_AU_Retail1_1586372,21,agent,channel1,13,102.0,105.0,it will create you with the returned label.,neutral,0.8686,False,False,False,False,False,3.0,0.084753,0.538513,-21.437,0.093028,1240.404,189.743,72.418,2.667,high,high,low
en_AU_Retail1_1586372,22,agent,channel1,14,105.0,110.0,What you will need to do is take that to the print that label,neutral,0.9227,False,False,True,False,False,5.0,0.094723,0.494904,-20.471,0.114647,1511.811,216.269,82.931,2.8,high,high,low
en_AU_Retail1_1586372,23,agent,channel1,15,110.0,115.0,and take all of that to Australia Post and show them the return label.,neutral,0.856,False,False,False,False,False,5.0,0.079125,0.51889,-22.034,0.108657,1405.725,203.844,82.242,2.8,high,high,low
en_AU_Retail1_1586372,24,agent,channel1,16,115.0,119.0,There is a barcode on it that the post office will ask for that,neutral,0.8659,False,False,False,False,False,4.0,0.095341,0.74707,-20.414,0.13151,1494.36,188.506,64.004,3.5,high,high,low
en_AU_Retail1_1586372,25,customer,channel2,9,117.0,136.0,"Okay, that's great.",positive,0.9765,False,False,False,False,False,19.0,0.010035,0.278778,-39.97,0.058167,1403.101,265.455,149.104,0.158,low,low,high
en_AU_Retail1_1586372,26,agent,channel1,17,119.0,125.0,and that's how you can actually return it to us.,neutral,0.8014,False,False,False,False,False,6.0,0.039176,0.384949,-28.14,0.092176,1328.612,247.06,132.468,1.667,medium,medium,medium
en_AU_Retail1_1586372,27,agent,channel1,18,125.0,143.0,And you know that the customer will have to pay for the return of the postage fees.,neutral,0.6784,False,False,False,False,False,18.0,0.06531,0.808411,-23.7,0.065359,1152.197,254.887,126.99,0.944,medium,medium,medium
en_AU_Retail1_1586372,28,customer,channel2,10,136.0,138.0,"Oh yes, okay.",positive,0.7511,False,False,False,False,False,2.0,0.013947,0.204529,-37.11,0.103771,1702.598,196.022,143.203,1.5,low,medium,low
en_AU_Retail1_1586372,29,customer,channel2,11,138.0,160.0,"If I was to get a refund, what's the process in timeline like?",neutral,0.8457,False,False,False,False,False,22.0,0.019096,0.416199,-34.381,0.04405,1238.586,300.833,130.344,0.591,low,low,high
en_AU_Retail1_1586372,30,agent,channel1,19,143.0,151.0,So what will happen from there is we will send you a confirmation that your parcel has been received,neutral,0.8016,False,False,False,False,False,8.0,0.097463,0.657074,-20.223,0.11623,1363.283,210.668,58.287,2.375,high,high,low
en_AU_Retail1_1586372,31,agent,channel1,20,151.0,163.0,and it will take up to 14 days for the refunds to be processed from the day that we received the parcel.,neutral,0.8654,False,False,False,False,False,12.0,0.070072,0.70874,-23.089,0.100155,1347.154,234.598,117.415,1.833,high,medium,low
en_AU_Retail1_1586372,32,customer,channel2,12,161.0,172.0,"Okay, cool.",positive,0.689,False,False,False,False,False,11.0,0.011215,0.2547,-39.004,0.060212,1393.989,274.897,142.847,0.182,low,low,high
en_AU_Retail1_1586372,33,agent,channel1,21,163.0,176.0,And then we'll go back to the credit card that you made the original purchase with.,neutral,0.8794,False,False,False,False,False,13.0,0.064224,0.772156,-23.846,0.058303,1009.31,248.344,128.23,1.231,medium,medium,medium
en_AU_Retail1_1586372,34,customer,channel2,13,172.0,181.0,"Okay, that'd be great.",positive,0.9775,False,False,False,False,False,9.0,0.016254,0.266144,-35.781,0.061738,1435.583,255.841,141.201,0.444,low,low,medium
en_AU_Retail1_1586372,35,agent,channel1,22,176.0,185.0,Was there anything that I could help you with?,neutral,0.871,False,False,True,False,False,9.0,0.065252,0.876434,-23.708,0.030531,925.407,303.067,121.361,1.0,medium,medium,high
en_AU_Retail1_1586372,36,customer,channel2,14,181.0,200.0,"So I'd like to get a refund instead of an exchange, please.",neutral,0.5802,False,False,False,False,False,19.0,0.017745,0.422089,-35.018,0.048512,1301.218,291.434,139.266,0.632,low,low,high
en_AU_Retail1_1586372,37,agent,channel1,23,185.0,194.0,"Okay, so for refunds, as I mentioned, I can't really help you with that over the phone.",neutral,0.5184,False,False,False,False,False,9.0,0.131246,0.999969,-17.638,0.1067,1344.691,219.225,85.851,1.889,high,high,low
en_AU_Retail1_1586372,38,agent,channel1,24,194.0,201.0,That is something that you need to go on the website and do you want me to take you through the steps again?,neutral,0.9179,False,False,True,False,False,7.0,0.08046,0.766083,-21.888,0.089257,1291.256,234.128,97.123,3.286,high,high,low
en_AU_Retail1_1586372,39,customer,channel2,15,200.0,204.0,"Yes, please.",positive,0.5949,False,False,False,False,False,4.0,0.02851,0.519073,-30.9,0.087689,1588.196,258.927,138.566,0.5,medium,low,medium
en_AU_Retail1_1586372,40,agent,channel1,25,201.0,205.0,Are you in front of the computer? Are you in your account?,neutral,0.9211,False,False,True,False,False,4.0,0.10808,0.576752,-19.325,0.098807,1391.834,216.754,76.796,3.0,high,high,low
en_AU_Retail1_1586372,41,customer,channel2,16,204.0,213.0,"Yeah, yeah.",neutral,0.5609,False,False,False,False,False,9.0,0.005712,0.293365,-44.864,0.037044,1250.677,292.811,144.334,0.222,low,low,high
en_AU_Retail1_1586372,42,agent,channel1,26,205.0,214.0,"Okay, so you will see at the top left under accounts, there is a drop-down menu",neutral,0.918,False,False,False,False,False,9.0,0.086025,0.632721,-21.308,0.13743,1588.04,195.952,81.111,1.778,high,medium,low
en_AU_Retail1_1586372,43,customer,channel2,17,213.0,222.0,Oh yeah.,positive,0.5387,False,False,False,False,False,9.0,0.007605,0.163666,-42.378,0.031721,1211.393,308.901,133.923,0.222,low,low,high
