call_id,channel,segment_id,start_time,end_time,text
en_CA_DeliveryService_1588686,channel1,1,0.0,15.92,"Hello, and thank you for calling the delivery service."
en_CA_DeliveryService_1588686,channel1,2,15.92,16.92,My name is Julia.
en_CA_DeliveryService_1588686,channel1,3,16.92,17.56,Happy to help you.
en_CA_DeliveryService_1588686,channel1,4,31.0,33.0,"Okay, no problem."
en_CA_DeliveryService_1588686,channel1,5,33.0,36.0,What is the departure address?
en_CA_DeliveryService_1588686,channel1,6,43.0,44.0,Okay.
en_CA_DeliveryService_1588686,channel1,7,44.0,47.0,"Can I have the postal code as well, please?"
en_CA_DeliveryService_1588686,channel1,8,53.0,54.0,Okay.
en_CA_DeliveryService_1588686,channel1,9,54.0,56.0,Can I have the postal code?
en_CA_DeliveryService_1588686,channel1,10,67.0,72.0,"Okay, just to confirm the postal code is L nine H."
en_CA_DeliveryService_1588686,channel1,11,72.0,73.0,One.
en_CA_DeliveryService_1588686,channel1,12,73.0,75.0,No.
en_CA_DeliveryService_1588686,channel1,13,75.0,78.0,One F two.
en_CA_DeliveryService_1588686,channel1,14,78.0,83.0,Perfect. Okay.
en_CA_DeliveryService_1588686,channel1,15,83.0,84.0,Okay.
en_CA_DeliveryService_1588686,channel1,16,84.0,87.0,And the delivery address.
en_CA_DeliveryService_1588686,channel1,17,87.0,109.0,Okay.
en_CA_DeliveryService_1588686,channel1,18,109.0,117.0,Okay.
en_CA_DeliveryService_1588686,channel1,19,117.0,118.0,Perfect.
en_CA_DeliveryService_1588686,channel1,20,118.0,119.0,And.
en_CA_DeliveryService_1588686,channel1,21,123.0,124.0,Yes.
en_CA_DeliveryService_1588686,channel1,22,124.0,126.0,And the postal code of the delivery address.
en_CA_DeliveryService_1588686,channel1,23,130.0,131.0,No.
en_CA_DeliveryService_1588686,channel1,24,133.0,134.0,Correct.
en_CA_DeliveryService_1588686,channel1,25,139.0,146.0,Okay.
en_CA_DeliveryService_1588686,channel1,26,146.0,150.0,Okay.
en_CA_DeliveryService_1588686,channel1,27,150.0,155.0,To confirm it is N two R.
en_CA_DeliveryService_1588686,channel1,28,155.0,156.0,One B four.
en_CA_DeliveryService_1588686,channel1,29,156.0,161.0,Or B one.
en_CA_DeliveryService_1588686,channel1,30,161.0,162.0,Yes.
en_CA_DeliveryService_1588686,channel1,31,162.0,163.0,Yes.
en_CA_DeliveryService_1588686,channel1,32,163.0,165.0,Thank you.
en_CA_DeliveryService_1588686,channel1,33,165.0,166.0,Okay.
en_CA_DeliveryService_1588686,channel1,34,166.0,178.0,And you said this was a fragile package.
en_CA_DeliveryService_1588686,channel1,35,178.0,179.0,Okay.
en_CA_DeliveryService_1588686,channel1,36,179.0,181.0,Do you have.
en_CA_DeliveryService_1588686,channel1,37,181.0,190.0,Were you able to consult our website about how to package this?
en_CA_DeliveryService_1588686,channel1,38,190.0,191.0,Okay.
en_CA_DeliveryService_1588686,channel1,39,191.0,193.0,So it is already packaged and ready to go.
en_CA_DeliveryService_1588686,channel1,40,193.0,200.0,We just needed the.
en_CA_DeliveryService_1588686,channel1,41,200.0,203.0,"Okay. I understand. Thank you, sir."
en_CA_DeliveryService_1588686,channel1,42,203.0,205.0,All right.
en_CA_DeliveryService_1588686,channel1,43,205.0,208.0,And what are the dimensions of this package?
en_CA_DeliveryService_1588686,channel1,44,223.0,228.0,Okay.
en_CA_DeliveryService_1588686,channel1,45,228.0,248.0,And yet it is fragile.
en_CA_DeliveryService_1588686,channel1,46,248.0,250.0,Okay.
en_CA_DeliveryService_1588686,channel1,47,250.0,279.0,Okay.
en_CA_DeliveryService_1588686,channel1,48,279.0,293.0,Let me check with my manager for a moment.
en_CA_DeliveryService_1588686,channel1,49,293.0,299.0,"All right, sir. Is this, is this a joke?"
en_CA_DeliveryService_1588686,channel1,50,299.0,301.0,Because.
en_CA_DeliveryService_1588686,channel1,51,301.0,317.0,It seems.
en_CA_DeliveryService_1588686,channel1,52,317.0,321.0,Overnight shipping is available until.
en_CA_DeliveryService_1588686,channel1,53,321.0,323.0,4pm.
en_CA_DeliveryService_1588686,channel1,54,323.0,327.0,On business days.
