call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Agriculture_1588676,1,agent,channel1,1,0.0,4.0,Hi. There we go. Starting.,neutral,0.5379,False,False,False,False,False,4.0,0.016133,0.160828,-35.845,0.052645,900.748,273.521,123.599,1.25,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Agriculture_1588676:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,2,customer,channel2,1,0.0,19.72,"Hi, my name is Owen.",neutral,0.7665,False,False,False,False,False,19.72,0.043506,0.953308,-27.229,0.008877,183.811,374.719,79.843,0.254,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,3,agent,channel1,2,12.0,16.0,Hello. My name is Julia with the Agriculture Society.,neutral,0.8228,False,False,False,False,False,4.0,0.032792,0.15564,-29.685,0.066499,904.613,235.471,64.016,2.25,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Agriculture_1588676:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,4,agent,channel1,3,16.0,18.0,How can I help you?,neutral,0.8413,False,False,True,False,False,2.0,0.017143,0.194733,-35.318,0.062074,1313.634,227.613,126.012,2.5,low,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Agriculture_1588676:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,5,customer,channel2,2,19.72,28.82,"I am a potato farmer from Ireland who is trying to figure out some, I just had some",neutral,0.7956,False,False,False,False,False,9.1,0.096467,0.987762,-20.312,0.103471,1150.488,128.411,53.224,1.978,high,medium,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,6,customer,channel2,3,28.82,33.92,questions about some of your certification programs and some some,neutral,0.9137,False,False,False,False,False,5.1,0.092854,0.770172,-20.644,0.107217,1148.295,129.529,44.247,1.961,high,medium,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,7,agent,channel1,4,30.0,41.0,Of course. Let me just pull that up for you.,neutral,0.5067,False,False,False,False,False,11.0,0.012627,0.156494,-37.974,0.016832,275.494,358.001,88.731,0.909,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Agriculture_1588676:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,8,customer,channel2,4,33.92,37.76,additional questions about costs and things like that. Would you be able to,neutral,0.9269,False,False,False,False,False,3.84,0.104028,0.961975,-19.657,0.118321,1198.612,131.077,63.268,3.385,high,high,low,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,9,customer,channel2,5,37.76,40.24,help me with that?,neutral,0.8035,False,False,False,False,False,2.48,0.062963,0.920197,-24.018,0.024295,555.926,300.982,131.071,1.613,medium,medium,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,10,agent,channel1,5,41.0,49.0,Okay. Which type of new certifications would you like answers on?,neutral,0.9243,False,False,True,False,False,8.0,0.021134,0.158569,-33.5,0.060057,785.464,292.091,107.901,1.375,low,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Agriculture_1588676:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,11,customer,channel2,6,49.4,55.28,"Specifically, I'm trying to figure out how I can get my potatoes certified",neutral,0.8312,False,False,False,False,False,5.88,0.143107,0.974426,-16.887,0.100148,1064.746,160.217,78.721,2.211,high,medium,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,12,customer,channel2,7,55.3,61.28,organic. I heard you had a new program and I was wondering what the application,neutral,0.8483,False,False,False,False,False,5.98,0.101411,0.868103,-19.878,0.089559,1064.328,131.711,51.956,2.508,high,high,low,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,13,agent,channel1,6,60.0,76.0,Do you happen to have a Canadian Tire near you?,neutral,0.9279,False,False,True,False,False,16.0,0.017333,0.193298,-35.223,0.022729,346.882,344.075,94.326,0.625,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Agriculture_1588676:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Agriculture_1588676,14,customer,channel2,8,61.28,64.74,process for that would be like and what kind of requirements would need to be,neutral,0.8612,False,False,False,False,False,3.46,0.093481,0.909698,-20.585,0.099462,1023.707,125.192,58.18,4.335,high,high,low,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Agriculture_1588676:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
