call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_RealEstate_1586372,1,agent,channel1,1,0.0,16.0,"Hi, how can I help you?"
en_AU_RealEstate_1586372,2,customer,channel2,1,0.0,23.88,"Hi, my name is Jenny and I'm just looking at buying an apartment in some specific neighbourhoods."
en_AU_RealEstate_1586372,3,agent,channel1,2,16.0,36.0,"Yeah, is there a particular neighborhood you're often?"
en_AU_RealEstate_1586372,4,customer,channel2,2,23.88,44.88,I don't really have a neighbourhood but my preference in my price range is between $400 and $600.
en_AU_RealEstate_1586372,5,agent,channel1,3,36.0,39.0,Sure.
en_AU_RealEstate_1586372,6,agent,channel1,4,39.0,51.0,And how many bedroom apartments are we talking about?
en_AU_RealEstate_1586372,7,customer,channel2,3,44.88,50.88,I would go for a two if it was really nice.
en_AU_RealEstate_1586372,8,agent,channel1,5,51.0,59.0,"Okay, yeah, finding a three bedroom with that price range is very difficult."
en_AU_RealEstate_1586372,9,agent,channel1,6,59.0,65.0,"But if you go to two bedrooms, there are a fair bit of options available around."
en_AU_RealEstate_1586372,10,agent,channel1,7,65.0,71.0,So two bedroom options.
en_AU_RealEstate_1586372,11,agent,channel1,8,71.0,82.0,So what we have that are very popular these days are a lot in Brunswick area and a lot in Elfington area.
en_AU_RealEstate_1586372,12,customer,channel2,4,74.88,84.88,I would go for a two if it was really nice.
en_AU_RealEstate_1586372,13,agent,channel1,9,82.0,88.0,Would any of those suburbs be of interest?
en_AU_RealEstate_1586372,14,agent,channel1,10,88.0,104.0,"Fantastic, so look, there are a set of new apartments closer to the Marland Road and what I can do is provide you with."
en_AU_RealEstate_1586372,15,agent,channel1,11,104.0,110.0,"Actually, there are about three or four apartments available there at the moment."
en_AU_RealEstate_1586372,16,customer,channel2,5,104.88,131.88,What's your policy on pets?
en_AU_RealEstate_1586372,17,agent,channel1,12,110.0,123.0,How would you like to proceed? Would you need any other information now or should we actually book a viewing for you?
en_AU_RealEstate_1586372,18,agent,channel1,13,123.0,132.0,"Actually, this particular one, there are no particular policies on pets as in like you can have pets, obviously."
en_AU_RealEstate_1586372,19,agent,channel1,14,132.0,139.0,The only restriction or limitation on this I believe is about noises.
en_AU_RealEstate_1586372,20,customer,channel2,6,134.88,159.88,More amenities would be on offer.
en_AU_RealEstate_1586372,21,agent,channel1,15,139.0,151.0,I know there has been some complaints about barking past 11pm and 11pm is the one that they request for quiet hours.
en_AU_RealEstate_1586372,22,agent,channel1,16,151.0,161.0,So that's all I can see on these particular Brunswick apartments.
en_AU_RealEstate_1586372,23,agent,channel1,17,161.0,169.0,So they have car parks and they have like cage storages downstairs.
en_AU_RealEstate_1586372,24,customer,channel2,7,164.88,193.88,It sounds exactly what I'm looking for.
en_AU_RealEstate_1586372,25,agent,channel1,18,169.0,186.0,"They also have lifts and chutes for rubbish, but they don't have any other particular amenities as in gyms or pools or anything like that with that price range."
en_AU_RealEstate_1586372,26,agent,channel1,19,186.0,195.0,"Okay, that's great. So would you like to organise a time for a viewing?"
en_AU_RealEstate_1586372,27,customer,channel2,8,193.88,213.88,Yes please.
en_AU_RealEstate_1586372,28,agent,channel1,20,195.0,209.0,"Alright, so it's a little bit tricky because I was going to say next Saturday morning there will be viewing but only for two of them."
en_AU_RealEstate_1586372,29,agent,channel1,21,209.0,216.0,And one of them is a one bedroom which I suppose that will be a little bit too small for you.
en_AU_RealEstate_1586372,30,customer,channel2,9,213.88,220.88,It would be yeah.
en_AU_RealEstate_1586372,31,agent,channel1,22,216.0,223.0,"Yeah, can I book you something on during the week?"
en_AU_RealEstate_1586372,32,customer,channel2,10,220.88,249.88,Yeah it kind of works fine.
en_AU_RealEstate_1586372,33,agent,channel1,23,223.0,234.0,"Okay, one of my colleagues should be able to take you through Friday afternoon if that works."
en_AU_RealEstate_1586372,34,agent,channel1,24,234.0,243.0,And that will give you the options of viewing three of the apartments.
en_AU_RealEstate_1586372,35,agent,channel1,25,243.0,253.0,"One of them is a West facing one, which I don't know if that's going to be the best, but the other two are actually looking great."
en_AU_RealEstate_1586372,36,customer,channel2,11,249.88,274.88,"Sorry, my email."
en_AU_RealEstate_1586372,37,agent,channel1,26,253.0,255.0,I'm just checking the photos and they're really good.
en_AU_RealEstate_1586372,38,agent,channel1,27,255.0,263.0,"And what I can do, Jenny, is send you the links to these apartments beforehand so you can have a look."
en_AU_RealEstate_1586372,39,agent,channel1,28,263.0,271.0,And you're prepared to ask any questions when you need the agent there.
en_AU_RealEstate_1586372,40,agent,channel1,29,271.0,275.0,What's your email address there?
