call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Entertainment_1585414,1,agent,channel1,1,0.0,21.0,Hello there. I was wondering if I could speak to Stephen about some potential concert tickets.,neutral,0.8487,False,False,False,False,False,21.0,0.044334,0.904724,-27.065,0.066824,1507.662,274.019,144.15,0.762,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Entertainment_1585414:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,2,customer,channel2,1,0.0,28.4,"Hi there, Steven, you got Steven here, and thank you very much for calling me.",positive,0.9012,False,False,False,False,False,28.4,0.029401,0.686432,-30.633,0.047514,1125.168,287.58,138.728,0.528,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Entertainment_1585414:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,3,customer,channel2,2,28.56,35.6,"Now, I've got some inquiries to make about getting tickets for this concert.",neutral,0.868,False,False,False,False,False,7.04,0.056559,0.49054,-24.95,0.160832,1893.898,182.747,104.074,1.847,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Entertainment_1585414:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,4,agent,channel1,2,30.0,55.0,I was wondering if I could speak to Stephen about some potential concert tickets.,neutral,0.9077,False,False,False,False,False,25.0,0.001439,0.556885,-56.838,0.019336,1468.355,331.852,127.138,0.56,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Entertainment_1585414:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,5,customer,channel2,3,36.64,46.8,"I'm not aware of the group, or some friends are already keen, and I'm not too sure if you've ever",neutral,0.7598,False,False,False,False,False,10.16,0.060001,0.644104,-24.437,0.106728,1490.172,153.66,88.295,1.969,low,medium,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Entertainment_1585414:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,6,customer,channel2,4,46.8,55.36,"heard of the group that you probably have. It's very new on the Australian circuit, and they've",neutral,0.8365,False,False,False,False,False,8.56,0.079828,0.873169,-21.957,0.116282,1490.158,139.285,68.986,1.986,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Entertainment_1585414:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,7,agent,channel1,3,55.0,84.0,"Yeah, absolutely. I'm really glad that you brought up the Arctic guerrillas there because",positive,0.9164,False,False,False,False,False,29.0,0.028498,0.85553,-30.904,0.031868,1401.471,301.992,134.048,0.483,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Entertainment_1585414:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,8,customer,channel2,5,55.36,63.28,"been playing at a lot of pubs and old-age pensioners halls and all that, and they've just been sort of",neutral,0.8774,False,False,False,False,False,7.92,0.058739,0.4841,-24.621,0.155966,1780.754,139.856,65.158,2.525,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Entertainment_1585414:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,9,customer,channel2,6,63.28,72.4,working their way up. I think it's gorillas or monkeys or something like that.,neutral,0.7927,False,False,False,False,False,9.12,0.081057,0.925415,-21.824,0.115579,1502.329,174.234,94.613,1.535,high,low,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_AU_Entertainment_1585414:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Entertainment_1585414,10,customer,channel2,7,72.4,84.72,"Are you aware of them, and have you got them on your list for upcoming events?",neutral,0.9038,False,False,False,False,False,12.32,0.074637,0.999969,-22.541,0.084656,1356.523,243.796,140.526,1.299,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Entertainment_1585414:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
