call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Aviation_1590830,1,customer,channel2,1,0.0,23.04,"Hi there, I'm currently scheduled to return home on Saturday, but I need to change my",neutral,0.908,False,False,False,False,False
en_CA_Aviation_1590830,2,agent,channel1,1,0.0,25.0,"Good afternoon Canadian Airlines, how may I assist you?",positive,0.6056,False,False,True,False,False
en_CA_Aviation_1590830,3,customer,channel2,2,23.04,27.96,"flight to come home actually sometime after the weekend, either like Tuesday Wednesday",neutral,0.8628,False,False,False,False,False
en_CA_Aviation_1590830,4,agent,channel1,2,25.0,45.0,Sure. Can you give me the five digit confirmation number for your trip?,neutral,0.8403,False,False,True,False,False
en_CA_Aviation_1590830,5,customer,channel2,3,28.36,31.96,or Thursday next week. Can you help me with rescheduling my return flight?,neutral,0.8687,False,False,False,False,False
en_CA_Aviation_1590830,6,customer,channel2,4,40.28,44.6,"Yeah, it's Y2K 64.",neutral,0.7466,False,False,False,False,False
en_CA_Aviation_1590830,7,agent,channel1,3,45.0,57.0,"Okay, one moment please. I'm going to pull up your booking.",neutral,0.7271,False,False,False,False,False
en_CA_Aviation_1590830,8,agent,channel1,4,57.0,68.0,"Okay, so it's your return flight from Vancouver to Montreal, is that correct?",neutral,0.9572,False,False,True,False,False
en_CA_Aviation_1590830,9,customer,channel2,5,57.96,75.88,"Yes, and I would prefer to still like I'm prepaid for the extra comfort seats in economy like right",neutral,0.6488,False,False,False,False,False
en_CA_Aviation_1590830,10,agent,channel1,5,68.0,94.0,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Aviation_1590830,11,customer,channel2,6,75.88,81.72,behind first class. So I definitely would like that to the legroom. So if we can find a flight that,positive,0.6301,False,False,False,False,False
en_CA_Aviation_1590830,12,customer,channel2,7,82.76,87.56,is again preferably the exact same price so that I'm not paying extra but still has,neutral,0.696,False,False,False,False,False
en_CA_Aviation_1590830,13,customer,channel2,8,87.96,93.72,an open spot available for an aisle or a window in that extra comfort class that would be great.,positive,0.8574,False,False,False,False,False
en_CA_Aviation_1590830,14,agent,channel1,6,94.0,104.0,"Okay, I see that you have a flexible ticket. So that means that you won't be encountering any penalties or fees to change your flight.",neutral,0.6611,False,False,False,False,False
en_CA_Aviation_1590830,15,agent,channel1,7,104.0,114.0,"That said, because it is such short notice, there definitely is, there's not a ton of seats to choose from.",neutral,0.5505,False,False,False,False,False
en_CA_Aviation_1590830,16,agent,channel1,8,114.0,131.0,"So I might be able to get you on a flight like Monday, Tuesday, Wednesday, like you asked, but I can't guarantee that I would be able to get you the same type of comfort seat.",neutral,0.689,False,False,False,False,False
en_CA_Aviation_1590830,17,customer,channel2,9,118.12,130.52,How many flights per day are there roughly?,neutral,0.9507,False,False,False,False,False
en_CA_Aviation_1590830,18,agent,channel1,9,131.0,153.0,There are two flights per day. One is around six in the morning. And then there's one that is at 7pm.,neutral,0.9459,False,False,False,False,False
en_CA_Aviation_1590830,19,customer,channel2,10,143.08,146.76,"Oh gosh, well I think that narrows it down. I unfortunately have to take",negative,0.8973,False,False,False,False,False
en_CA_Aviation_1590830,20,customer,channel2,11,147.32,151.48,the 6 in the morning one because going from Vancouver to Montreal if I take the 7 p.m. I'm not,neutral,0.8241,False,False,False,False,False
en_CA_Aviation_1590830,21,customer,channel2,12,151.48,157.0,even home until afternoon tonight because of the time change and the flight it being a five hour,neutral,0.8317,False,False,False,False,False
en_CA_Aviation_1590830,22,agent,channel1,10,153.0,164.0,"That's right. Yeah, yeah.",positive,0.8273,False,False,False,False,False
en_CA_Aviation_1590830,23,customer,channel2,13,157.0,162.84,flight that's not an option. Okay so we're looking at the 6 a.m. flight on either Tuesday,neutral,0.8711,False,False,False,False,False
en_CA_Aviation_1590830,24,customer,channel2,14,162.84,172.92,or Thursday.,neutral,0.8362,False,False,False,False,False
en_CA_Aviation_1590830,25,agent,channel1,11,164.0,173.0,"Okay, let me take a look and let you know what seats we have available for those three days.",neutral,0.8939,False,False,False,True,False
en_CA_Aviation_1590830,26,agent,channel1,12,173.0,190.0,"Okay, so for the Monday, there's really not a lot of seats left. We have one available in business class, but there would be a significant increase in the charge for that one.",neutral,0.5164,False,False,False,False,False
en_CA_Aviation_1590830,27,agent,channel1,13,190.0,202.0,"That would be an upgrade. Otherwise, there's some middle seats near the back of the plane near the lavatory.",neutral,0.7139,False,False,False,False,False
en_CA_Aviation_1590830,28,customer,channel2,15,193.8,206.68,"Pass, that sounds vulnerable. And I'm returning home after my father's funeral 5-0 interest in",negative,0.6611,False,False,False,False,False
en_CA_Aviation_1590830,29,agent,channel1,14,202.0,212.0,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Aviation_1590830,30,customer,channel2,16,206.68,222.76,being nice to anyone on this plane at 6 a.m. So no.,negative,0.6618,False,False,False,False,False
en_CA_Aviation_1590830,31,agent,channel1,15,212.0,223.0,"Understood, understood. Okay, Tuesday has a few more options. Unfortunately, none of the economy plus economy comfort seats are available.",negative,0.5336,False,False,False,False,False
en_CA_Aviation_1590830,32,customer,channel2,17,222.76,238.84,Are the emergency rows seat available?,neutral,0.9336,False,False,False,False,False
en_CA_Aviation_1590830,33,agent,channel1,16,223.0,234.0,But there are some aisle seats sort of sprinkled throughout the cabin. If you're okay with an aisle seat.,neutral,0.804,False,False,False,False,False
en_CA_Aviation_1590830,34,agent,channel1,17,234.0,250.0,"Unfortunately, not. Those are part of the economy plus. Those are very popular, as you can imagine. So, yeah, just because it's kind of a last minute change, there's not a ton of choice.",negative,0.5506,False,False,False,False,False
en_CA_Aviation_1590830,35,agent,channel1,18,250.0,259.0,"And but if we look at the Wednesday, let me take a look there because that's one more day. So there's going to be a few more options as well.",neutral,0.6468,False,False,False,True,False
