call_id,channel,segment_id,start_time,end_time,text
en_AU_Agriculture_1592662,channel1,1,0.0,17.36,"Good morning, Department of Agricultural Water and the Environment. Danielle speaking, how"
en_AU_Agriculture_1592662,channel1,2,17.36,19.36,can I help you today?
en_AU_Agriculture_1592662,channel1,3,19.36,49.28,"Yeah, absolutely, Maria. Look, you've called to the right place."
en_AU_Agriculture_1592662,channel1,4,49.28,55.2,We've got the Australian government's on farm irrigation efficiency program running at the moment.
en_AU_Agriculture_1592662,channel1,5,55.92,61.6,It's designed to help farmers modernize their irrigation systems. So just would you like to
en_AU_Agriculture_1592662,channel1,6,61.6,65.92,"tell me a bit more about, you know, the system you're using? Are you currently using flood"
en_AU_Agriculture_1592662,channel1,7,65.92,81.84,irrigation on your property?
en_AU_Agriculture_1592662,channel1,8,82.08,98.64,"Look, I completely understand Maria. A lot of farmers across the Murray Darling Basin are in"
en_AU_Agriculture_1592662,channel1,9,98.64,104.8,the same boat. No pun intended. The drip irrigation systems can reduce your water usage
en_AU_Agriculture_1592662,channel1,10,104.8,110.16,"by up to 40% in some cases, which really adds up when you're looking at those allocation costs."
en_AU_Agriculture_1592662,channel1,11,110.96,111.6,What do you think?
en_AU_Agriculture_1592662,channel1,12,118.96,123.36,"Yeah, look, we'll have to look into a few more details and I'll ask you a bit more for a"
en_AU_Agriculture_1592662,channel1,13,123.36,130.48,"bit more information. So let me run through the eligibility criteria with you. First off,"
en_AU_Agriculture_1592662,channel1,14,130.48,134.16,do you hold an Australian business number for your farming operation?
en_AU_Agriculture_1592662,channel1,15,134.56,142.56,"Okay, great. And is your property located within a regulated irrigation district?"
en_AU_Agriculture_1592662,channel1,16,149.68,155.92,"Perfect. Okay, that definitely qualifies. Now, the subsidy covers up to 50%"
en_AU_Agriculture_1592662,channel1,17,155.92,162.32,"of eligible costs for irrigation infrastructure upgrades with a maximum grant of 150,000 per"
en_AU_Agriculture_1592662,channel1,18,162.32,178.24,applicant. You'll need to demonstrate that the new system will result in measurable water savings.
en_AU_Agriculture_1592662,channel1,19,184.48,189.76,"Actually, I'm so glad you asked because there are. There are some loans available. So the"
en_AU_Agriculture_1592662,channel1,20,189.76,195.36,Regional Investment Corporation offers low interest loans specifically for farm infrastructure
en_AU_Agriculture_1592662,channel1,21,195.36,200.72,improvements. They're running at about 3.5% interest at the moment. So definitely below
en_AU_Agriculture_1592662,channel1,22,200.72,206.64,those commercial rates. And you can borrow up to 2 million terms up to 10 years.
en_AU_Agriculture_1592662,channel1,23,206.88,224.48,"Exactly right. So a lot of farmers are doing exactly that. The loan application is separate,"
en_AU_Agriculture_1592662,channel1,24,224.48,230.0,but I can give you their contact details before we finish up and they're really easy to deal with.
en_AU_Agriculture_1592662,channel1,25,236.96,243.6,"Of course. So the current round closes on March 31st, 2026. However, I'd be recommending getting in"
en_AU_Agriculture_1592662,channel1,26,243.6,248.48,"your application well before then because these grants are allocated on a first come, first serve"
en_AU_Agriculture_1592662,channel1,27,248.48,254.32,"basis. And there's been a huge uptake as you can imagine. Once the funding pool is exhausted,"
en_AU_Agriculture_1592662,channel1,28,254.32,256.24,that's it until the next round.
en_AU_Agriculture_1592662,channel1,29,262.8,269.6,"Yeah, of course. So March 31st, 2026. So we're currently in December. You've got just under"
en_AU_Agriculture_1592662,channel1,30,269.6,274.32,"four months there. But as I said, I would certainly recommend particularly the Christmas"
en_AU_Agriculture_1592662,channel1,31,274.32,280.16,"New Year period. And in Australia, you know how it is getting in that allocation as soon as possible."
en_AU_Agriculture_1592662,channel1,32,284.32,299.52,"Yeah, of course, no worries. And it can get quite confusing or fully understand. So I'll walk you"
en_AU_Agriculture_1592662,channel1,33,299.52,305.6,through it. It's actually not as complicated as some of our other programs. You'll need to provide
en_AU_Agriculture_1592662,channel1,34,305.6,311.36,proof of ownership or lease of the property. So that's your title deed or lease agreement.
en_AU_Agriculture_1592662,channel1,35,311.36,321.12,"Do you have those on you or around? Okay, perfect. You'll also need your ABN registration,"
en_AU_Agriculture_1592662,channel1,36,321.12,326.24,proof of water entitlements from the Murrenbingi irrigation and quotes from at least two
en_AU_Agriculture_1592662,channel1,37,326.24,335.2,registered irrigation suppliers for the drip system installation.
en_AU_Agriculture_1592662,channel1,38,341.92,348.48,"Yeah, so I have heard of Netafim. We've had a few, you know, people submit applications"
en_AU_Agriculture_1592662,channel1,39,349.04,355.2,"with them. But yes, you'll definitely need at least two competitive quotes to show you"
en_AU_Agriculture_1592662,channel1,40,355.2,359.52,you're getting value for money with the Commonwealth funds. There are several suppliers
en_AU_Agriculture_1592662,channel1,41,359.52,364.72,"in your area, though. Irrotech in Leten is another good one. And there's also"
en_AU_Agriculture_1592662,channel1,42,364.8,367.12,Tuckabox AG Solutions in Wagah.
en_AU_Agriculture_1592662,channel1,43,371.68,378.16,"Yes, so you'll need to complete our application form, which includes a water efficiency"
en_AU_Agriculture_1592662,channel1,44,378.16,383.6,"plan. Basically, you'll need to show your current water usage and demonstrate the expected savings"
en_AU_Agriculture_1592662,channel1,45,383.6,388.48,with the new system. Most irrigation companies can help you with those calculations as part of
en_AU_Agriculture_1592662,channel1,46,388.48,403.2,their quote. Yep. Yep. Yep.
en_AU_Agriculture_1592662,channel1,47,403.2,418.96,"Yep. Yes. So, Maria, you might be your accountant on this one. I mean, depending on how you do your"
en_AU_Agriculture_1592662,channel1,48,418.96,424.8,"taxes, you'll also need to provide your last two years of tax returns to demonstrate the"
en_AU_Agriculture_1592662,channel1,49,424.8,430.4,farming operation is ongoing and photographs of your current irrigation setup. The photos
en_AU_Agriculture_1592662,channel1,50,430.4,434.24,just need to show the existing infrastructure so we can verify the upgrade.
en_AU_Agriculture_1592662,channel1,51,445.92,451.2,Exactly. So even smartphone photos are fine as long as they're clear. And if you're an
en_AU_Agriculture_1592662,channel1,52,451.2,456.16,"Indigenous landholder or your property is in a drought declared area, you might be"
en_AU_Agriculture_1592662,channel1,53,456.16,460.0,eligible for an additional 10% on top of the standard subsidy.
en_AU_Agriculture_1592662,channel1,54,473.04,476.8,"Look, I can check that for you. So what local government area are you in again?"
en_AU_Agriculture_1592662,channel1,55,476.8,488.32,"Okay. So Griffith came off the drought declaration in September 25, but if your application references"
en_AU_Agriculture_1592662,channel1,56,488.32,493.84,"water efficiency improvements related to drought resilience, you might still be eligible for"
en_AU_Agriculture_1592662,channel1,57,493.84,499.44,the enhanced rate. I recommend mentioning it in your application and we'll assess it. So when
en_AU_Agriculture_1592662,channel1,58,499.44,504.0,"you do get that other quote, certainly worth mentioning talking to them about it and they"
en_AU_Agriculture_1592662,channel1,59,504.0,506.56,"can potentially, well, they will include that for you."
en_AU_Agriculture_1592662,channel1,60,520.8,526.48,Amazing news here. So it's all done online through the MyGov portal. You'll need to link
en_AU_Agriculture_1592662,channel1,61,526.48,530.8,your MyGov account to the Department of Agriculture Services if you haven't already
