call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Health_1593611,1,agent,channel1,1,0.0,19.8,"Hello, thank you for calling HealthWorks.",positive,0.789,False,False,False,False,False
en_AU_Health_1593611,2,customer,channel2,1,0.0,29.92,Hi Jenny. My name is Ella. I just wanted to schedule an appointment.,neutral,0.827,False,False,False,False,False
en_AU_Health_1593611,3,agent,channel1,2,19.8,23.52,"This is Jenny speaking, how can I assist you today?",neutral,0.9291,False,False,True,False,False
en_AU_Health_1593611,4,customer,channel2,2,29.92,36.0,for my flu vaccination and probably maybe my COVID vaccination. Do you have any availability of the,neutral,0.9326,False,False,False,False,False
en_AU_Health_1593611,5,agent,channel1,3,30.0,52.92,"Absolutely, and was it just flu and COVID-19 vaccinations as we offer a wide variety of vaccinations?",neutral,0.8811,False,False,True,False,False
en_AU_Health_1593611,6,customer,channel2,3,36.0,51.84,"next couple of days? Oh, what vaccinations do you offer?",neutral,0.9296,False,False,False,False,False
en_AU_Health_1593611,7,agent,channel1,4,52.92,68.28,"It's sort of dependent if any sort of situations, if you need catch-ups or if you're behind or if you're travelling based on what your personal circumstances are would be dependent on what you need.",neutral,0.8213,False,False,False,False,False
en_AU_Health_1593611,8,customer,channel2,4,59.92,75.12,I think I just need flu and COVID to be honest with you. I just thought I could get stabbed,negative,0.8522,False,False,False,False,False
en_AU_Health_1593611,9,customer,channel2,5,75.12,91.04,more times with the shots. But I think flu and COVID would be great.,positive,0.8074,False,False,False,False,False
en_AU_Health_1593611,10,agent,channel1,5,83.92,87.92,"Absolutely, we do offer those.",positive,0.563,False,False,False,False,False
en_AU_Health_1593611,11,agent,channel1,6,87.92,90.92,So we've got several openings this week.,neutral,0.6526,False,False,False,False,False
en_AU_Health_1593611,12,agent,channel1,7,90.92,102.92,So we have an opening on Wednesday at quarter past 10 or we have 2.30.,neutral,0.9504,False,False,False,False,False
en_AU_Health_1593611,13,agent,channel1,8,103.92,108.92,"And we've also got appointment times, anything after four till seven.",neutral,0.8561,False,False,False,False,False
en_AU_Health_1593611,14,customer,channel2,6,105.12,125.52,"Hmm, only thing for a second. I've got a few things going on this week. Let me just check the calendar.",neutral,0.8541,False,False,False,False,False
en_AU_Health_1593611,15,agent,channel1,9,108.92,112.92,"Otherwise, we've got some availability Thursday and Friday.",neutral,0.5256,False,False,False,False,False
en_AU_Health_1593611,16,agent,channel1,10,112.92,115.92,Do any of these times suit you?,neutral,0.8827,False,False,True,False,False
en_AU_Health_1593611,17,agent,channel1,11,115.92,136.92,"Yeah, if you just bear with me, I'll check our system.",neutral,0.6366,False,False,False,False,False
en_AU_Health_1593611,18,customer,channel2,7,126.32,131.12,Do you have any like Thursday 4pm?,neutral,0.9445,False,False,False,False,False
en_AU_Health_1593611,19,agent,channel1,12,136.92,141.92,I could do quarter past four on Thursday.,neutral,0.6287,False,False,False,False,False
en_AU_Health_1593611,20,customer,channel2,8,143.44,147.68,"Quarter past four on Thursday? Yeah, that sounds good. Does it take long?",positive,0.8492,False,False,False,False,False
en_AU_Health_1593611,21,agent,channel1,13,146.92,154.92,"So because you're receiving two different vaccinations, we will take approximately 20 minutes.",neutral,0.9037,False,False,False,False,False
en_AU_Health_1593611,22,agent,channel1,14,154.92,160.92,"However, we do have you sit just 15 minutes afterwards just to monitor for any side effects.",neutral,0.9048,False,False,True,False,False
en_AU_Health_1593611,23,customer,channel2,9,156.16,172.16,"Okay, who would have thought being stabbed in the arm by a nurse would get you 15 extra minutes in the",negative,0.8433,False,False,False,False,False
en_AU_Health_1593611,24,customer,channel2,10,172.16,180.48,"waiting room? Gee, all right, that's all right. So Thursday at 4.15, is that right?",neutral,0.5197,False,False,False,False,False
en_AU_Health_1593611,25,agent,channel1,15,176.92,185.92,"Yes, so you should be out of our clinic by five o'clock.",neutral,0.8565,False,False,False,False,False
en_AU_Health_1593611,26,customer,channel2,11,185.52,201.44,"All right, I've got a few friends that also need their flu shots done. I'll walk you in a little bit.",neutral,0.7606,False,False,False,False,False
