call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Finance_1586372,1,agent,channel1,1,0.0,20.84,"Thank you for my NG, my name is Mary, and how can I assist you today?",positive,0.64,False,False,True,False,False,20.84,0.037395,0.432678,-28.544,0.05424,1062.279,287.107,123.553,0.768,low,low,high
en_AU_Finance_1586372,2,customer,channel2,1,0.0,29.98,"Hi Mom, it's Jenny and I'm just looking at um maybe looking at getting them",neutral,0.8086,False,False,False,False,False,29.98,0.079211,0.999969,-22.024,0.081511,1855.593,260.607,129.62,0.5,medium,low,high
en_AU_Finance_1586372,3,customer,channel2,2,29.98,44.88,investment loan out. I'm actually just looking at expending my portfolio but I,neutral,0.8362,False,False,False,False,False,14.9,0.099697,0.997406,-20.026,0.111006,1595.088,230.565,112.264,0.872,high,low,medium
en_AU_Finance_1586372,4,agent,channel1,2,30.0,39.0,Okay. Do you currently have any other loans willing?,neutral,0.9234,False,False,True,False,False,9.0,0.057862,0.457123,-24.752,0.074383,1316.732,252.426,105.021,1.0,low,medium,high
en_AU_Finance_1586372,5,customer,channel2,3,44.88,50.48,don't have very much liquidate liquidity and I'm not sure whether that's going to,negative,0.6582,False,False,False,False,False,5.6,0.168763,0.999969,-15.454,0.108626,1517.96,227.457,100.694,2.5,high,high,medium
en_AU_Finance_1586372,6,agent,channel1,3,48.0,49.0,Sure.,neutral,0.6517,False,False,False,False,False,1.0,0.046567,0.382507,-26.638,0.119797,1561.256,255.946,124.527,1.0,low,medium,high
en_AU_Finance_1586372,7,agent,channel1,4,49.0,63.0,"Look, I understand you're interested in applying for an investment loan to expand your portfolio, but need some additional liquidity.",neutral,0.7588,False,True,False,False,False,14.0,0.058854,0.609741,-24.605,0.092615,1368.182,226.596,106.72,1.429,low,medium,medium
en_AU_Finance_1586372,8,customer,channel2,4,50.48,52.48,be a problem or not.,neutral,0.6829,False,False,False,False,False,2.0,0.13571,0.966522,-17.348,0.097889,1640.408,218.955,110.393,2.5,high,high,low
en_AU_Finance_1586372,9,agent,channel1,5,63.0,85.0,"Yeah. I can certainly help you with that. To start, look, investment loans are going to clients who meet certain eligibility requirements, including like his link, an acceptable credit history and some of the sufficient collateral or existing assets.",neutral,0.6417,False,False,False,False,False,22.0,0.069504,0.685669,-23.16,0.139636,1656.135,205.567,84.605,1.773,low,medium,low
en_AU_Finance_1586372,10,customer,channel2,5,80.48,109.48,Yes.,neutral,0.5811,False,False,False,False,False,29.0,0.039011,0.999969,-28.176,0.111681,1595.086,217.696,111.06,0.034,low,low,low
en_AU_Finance_1586372,11,agent,channel1,6,85.0,93.0,And I just check that you can hear me okay. I think there's a little bit.,neutral,0.5129,False,False,False,False,False,8.0,0.056968,0.47699,-24.887,0.075639,1314.241,261.296,111.602,2.0,low,high,high
en_AU_Finance_1586372,12,agent,channel1,7,97.0,107.0,"Okay. All right. But to go ahead with this, can I get some information from you on any accounts that you're holding with it?",neutral,0.8834,False,False,True,False,False,10.0,0.095971,0.860321,-20.357,0.08366,1239.04,227.0,89.905,2.4,high,high,medium
en_AU_Finance_1586372,13,customer,channel2,6,109.48,118.48,"Let's do it again. Oh yes I do, yes.",positive,0.8827,False,False,False,False,False,9.0,0.094832,1.0,-20.461,0.130922,1646.871,216.213,112.267,1.0,high,medium,low
en_AU_Finance_1586372,14,agent,channel1,8,110.0,112.0,Do you have any accounts with us?,neutral,0.9429,False,False,True,False,False,2.0,0.073946,0.619232,-22.622,0.089224,1185.027,271.073,103.93,3.5,medium,high,high
en_AU_Finance_1586372,15,agent,channel1,9,112.0,117.0,Do you have an account number that I can have?,neutral,0.9329,False,False,True,False,False,5.0,0.042259,0.42749,-27.482,0.083098,1349.818,267.823,127.701,2.0,low,high,high
