call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_CA_Entertainment_1592240,1,agent,channel1,1,0.0,15.04,"Hello, thank you for calling the ticket office."
en_CA_Entertainment_1592240,2,customer,channel2,1,0.0,29.12,"Well, my name is Dorothy Brown and I had purchased online some tickets for Shrek."
en_CA_Entertainment_1592240,3,agent,channel1,2,15.04,16.04,My name is Bob.
en_CA_Entertainment_1592240,4,agent,channel1,3,16.04,18.04,How can I help you today?
en_CA_Entertainment_1592240,5,customer,channel2,2,29.44,36.64,"I do want to use these tickets, but I was wondering if it was possible that I could,"
en_CA_Entertainment_1592240,6,customer,channel2,3,36.64,44.88,I have originally bought these tickets as a matinee and I would like to take in the evening show
en_CA_Entertainment_1592240,7,customer,channel2,4,44.88,53.28,instead if that would be possible. Do I have to come to the actual office? Do I have to pay
en_CA_Entertainment_1592240,8,agent,channel1,4,46.04,63.32,"Oh, there is no trouble at all, ma'am."
en_CA_Entertainment_1592240,9,customer,channel2,5,53.36,60.0,cancellation fee? What can I do to see if I can get a different time for Shrek?
en_CA_Entertainment_1592240,10,agent,channel1,5,63.32,65.4,We can definitely help you out with that.
en_CA_Entertainment_1592240,11,agent,channel1,6,65.4,67.04,That only takes a few minutes right here.
en_CA_Entertainment_1592240,12,agent,channel1,7,67.04,69.04,We can do it all online.
en_CA_Entertainment_1592240,13,agent,channel1,8,69.04,70.28,No need to come to the office.
en_CA_Entertainment_1592240,14,customer,channel2,6,72.48,78.0,"Well, while I'd be willing to do that, what information do you require? Do you need the ticket"
en_CA_Entertainment_1592240,15,agent,channel1,9,76.04,86.04,"Well, I just need the ticket number, please."
en_CA_Entertainment_1592240,16,customer,channel2,7,78.0,82.88,number and a name or what other things do you need?
en_CA_Entertainment_1592240,17,agent,channel1,10,86.04,100.04,Since you've already given us your name.
en_CA_Entertainment_1592240,18,customer,channel2,8,89.2,98.16,"Okay, one five three eight zero six seven nine zero."
en_CA_Entertainment_1592240,19,agent,channel1,11,100.04,101.04,"Okay, thank you very much."
en_CA_Entertainment_1592240,20,agent,channel1,12,101.04,102.04,I have it down here.
en_CA_Entertainment_1592240,21,agent,channel1,13,102.04,104.04,You're in a party of two.
en_CA_Entertainment_1592240,22,agent,channel1,14,104.04,105.04,Is that correct?
en_CA_Entertainment_1592240,23,agent,channel1,15,105.04,106.04,Yes.
en_CA_Entertainment_1592240,24,agent,channel1,16,106.04,109.04,You can text yourself or you want to change the ticket for both.
en_CA_Entertainment_1592240,25,customer,channel2,9,108.4,115.12,"Well, I would like to change the ticket for both if that would be possible. If not,"
en_CA_Entertainment_1592240,26,customer,channel2,10,115.84,120.96,"then I'll just keep what I already have, but I would like to come to the evening show with my"
en_CA_Entertainment_1592240,27,customer,channel2,11,120.96,129.36,"husband. I originally was going to do the matinee with my son, but he's unable to do that and so"
en_CA_Entertainment_1592240,28,customer,channel2,12,129.36,146.72,I would like to change for the evening show and and do my husband instead.
en_CA_Entertainment_1592240,29,agent,channel1,17,135.04,140.04,"Oh, well, I can definitely do that."
en_CA_Entertainment_1592240,30,agent,channel1,18,140.04,142.04,I'll just need his information here.
en_CA_Entertainment_1592240,31,agent,channel1,19,142.04,146.04,I'll take it down and we'll make the changes right now.
en_CA_Entertainment_1592240,32,agent,channel1,20,146.04,147.04,There is no extra cost.
en_CA_Entertainment_1592240,33,customer,channel2,13,146.72,164.08,"Well, since it's my husband, what is available for the premium seating? How much more expensive is that?"
en_CA_Entertainment_1592240,34,agent,channel1,21,147.04,150.04,"If you'd like to stick with the same seats that you had prior,"
en_CA_Entertainment_1592240,35,agent,channel1,22,150.04,164.04,or would you like to potentially upgrade to something more premium?
en_CA_Entertainment_1592240,36,agent,channel1,23,164.04,169.04,"Well, it's only an extra $25 per seat, which is not actually too bad."
en_CA_Entertainment_1592240,37,agent,channel1,24,169.04,172.04,You get VIP seating and it's very close in front.
en_CA_Entertainment_1592240,38,agent,channel1,25,172.04,177.04,You'll be able to see the entire show at a great distance
en_CA_Entertainment_1592240,39,customer,channel2,14,176.72,194.08,"Okay, I'd like I think I would like to go ahead with that if that's possible. Can you make that arrangement now?"
en_CA_Entertainment_1592240,40,agent,channel1,26,177.04,179.04,and you'll be able to see it.
en_CA_Entertainment_1592240,41,agent,channel1,27,179.04,191.04,It's very good for you.
