call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Retail_1593610,1,agent,channel1,1,0.0,25.28,"Hello, thank you for calling Newencers Store, this is Teddy speaking, how can I help you",neutral,0.5319,False,False,False,False,False,25.28,0.040377,0.974762,-27.877,0.131144,1803.131,250.172,137.868,0.633,low,low,high
en_AU_Retail_1593610,2,customer,channel2,1,0.0,29.24,"Hi Teddy, my name is Belinda.",neutral,0.7341,False,False,False,False,False,29.24,0.014398,0.346588,-36.834,0.081689,1561.668,280.948,143.724,0.205,low,low,high
en_AU_Retail_1593610,3,agent,channel1,2,25.28,27.52,today?,neutral,0.8298,False,False,True,False,False,2.24,0.034973,0.576782,-29.125,0.108543,1911.335,224.248,149.028,0.446,low,low,high
en_AU_Retail_1593610,4,customer,channel2,2,29.24,35.04,I'm just looking for some Christmas decor for the holiday season.,neutral,0.6559,False,False,False,False,False,5.8,0.050704,0.436798,-25.899,0.183317,1899.032,152.514,80.15,1.897,low,low,low
en_AU_Retail_1593610,5,customer,channel2,3,35.04,36.84,I've lost all of mine.,negative,0.7753,False,False,False,False,False,1.8,0.072877,0.38855,-22.748,0.156473,1549.574,200.392,63.475,2.778,medium,medium,high
en_AU_Retail_1593610,6,customer,channel2,4,36.84,38.04,I don't know where it's gone.,negative,0.6111,False,False,False,False,False,1.2,0.05846,0.309662,-24.663,0.113949,1281.671,197.948,61.959,5.0,medium,high,medium
en_AU_Retail_1593610,7,customer,channel2,5,39.28,41.36,Do you have much in stock at the moment?,neutral,0.9544,False,False,False,False,False,2.08,0.049122,0.37088,-26.174,0.154511,1544.168,195.578,67.524,4.327,low,high,medium
en_AU_Retail_1593610,8,customer,channel2,6,41.36,60.0,"Oh darling, I need it all.",positive,0.8818,False,False,False,False,False,18.64,0.044129,0.737457,-27.105,0.035991,1099.749,306.611,132.151,0.322,low,low,high
en_AU_Retail_1593610,9,agent,channel1,3,42.64,47.28,"Absolutely, we have a great selection of seasonal decor for Christmas right now,",positive,0.9862,False,False,False,False,False,4.64,0.051946,0.662689,-25.689,0.184012,1952.562,171.404,74.592,2.802,low,high,low
en_AU_Retail_1593610,10,agent,channel1,4,47.28,51.44,"could you specify which items you're looking for such as holiday wreaths,",neutral,0.9032,False,False,True,False,False,4.16,0.070697,0.603088,-23.012,0.251316,2491.536,188.937,88.179,2.885,medium,high,medium
en_AU_Retail_1593610,11,agent,channel1,5,51.44,57.68,"table settings, garlands or anything more specific that you were wanting to find?",neutral,0.907,False,False,True,False,False,6.24,0.053324,0.551849,-25.462,0.218404,2177.27,163.674,80.224,2.083,low,medium,low
en_AU_Retail_1593610,12,customer,channel2,7,60.0,62.64,I've like actually just lost it.,negative,0.878,False,False,False,False,False,2.64,0.047738,0.354828,-26.423,0.173875,1680.881,182.133,102.519,2.273,low,medium,medium
en_AU_Retail_1593610,13,customer,channel2,8,62.64,69.64,"I don't know where my boxes have gone, but I just can't find any of my Christmas decor.",negative,0.8324,False,False,False,False,False,7.0,0.051519,0.450378,-25.761,0.152765,1519.138,175.547,89.076,2.571,low,medium,low
