call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Agriculture_1586330,1,agent,channel1,1,0.0,25.0,"Hi, how can I help you?",neutral,0.7674,False,False,True,False,False,25.0,0.023584,0.91214,-32.548,0.0334,1175.672,326.554,123.036,0.24,medium,low,high
en_AU_Agriculture_1586330,2,customer,channel2,1,0.0,29.0,"Hi, I'm just calling about the new government subsidies for the drip irrigation.",neutral,0.8273,False,False,False,False,False,29.0,0.012162,0.262817,-38.3,0.047165,1211.977,300.219,134.056,0.448,low,low,high
en_AU_Agriculture_1586330,3,agent,channel1,2,25.0,30.0,"Yeah, sure.",neutral,0.4824,False,False,False,False,False,5.0,0.026486,0.256226,-31.54,0.100698,1698.8,283.787,131.201,0.4,medium,low,high
en_AU_Agriculture_1586330,4,customer,channel2,2,29.0,51.0,It's just our water rates have been rising and I'm looking at switching to flood irrigation.,neutral,0.5155,False,False,False,False,False,22.0,0.014863,0.249878,-36.558,0.048608,1240.243,295.379,132.353,0.727,low,medium,high
en_AU_Agriculture_1586330,5,agent,channel1,3,30.0,34.0,"Look, thank you for contacting us.",positive,0.838,False,False,False,False,False,4.0,0.062423,0.732391,-24.093,0.146523,1632.937,215.774,72.595,1.5,medium,medium,medium
en_AU_Agriculture_1586330,6,agent,channel1,4,34.0,40.0,This is the correct information line and I can definitely help you with your questions.,positive,0.8479,False,False,False,False,False,6.0,0.046192,0.300415,-26.709,0.105627,1356.487,175.692,47.796,2.5,medium,high,low
en_AU_Agriculture_1586330,7,agent,channel1,5,40.0,43.0,Is there a particular question that you need to check?,neutral,0.8852,False,False,True,False,False,3.0,0.060118,0.412659,-24.42,0.152718,1849.015,206.458,63.8,3.333,medium,high,low
en_AU_Agriculture_1586330,8,agent,channel1,6,43.0,56.0,"Look, yes.",neutral,0.5176,False,False,False,False,False,13.0,0.042475,0.998199,-27.437,0.043777,1207.951,313.572,130.935,0.154,medium,low,high
en_AU_Agriculture_1586330,9,customer,channel2,3,51.0,75.0,I'm wondering if that's a right move for me.,neutral,0.5733,False,False,False,False,False,24.0,0.008729,0.230804,-41.181,0.035291,1097.436,292.418,141.065,0.375,low,low,high
en_AU_Agriculture_1586330,10,agent,channel1,7,56.0,67.0,The program is designed to help farmers move from flood irrigation to more efficient systems like drip or sprinkler irrigation.,neutral,0.6709,False,False,False,False,False,11.0,0.099842,1.0,-20.014,0.15046,1657.357,197.656,62.727,1.818,high,medium,low
