call_id,channel,segment_id,start_time,end_time,text
en_CA_Entertainment_1590992,channel1,1,0.0,6.0,Thank you for calling the Christmas at the Cranks Theatre box office. My name is Julia. How can I help you?
en_CA_Entertainment_1590992,channel1,2,6.0,35.92,I'm sorry to hear this. Could I please have your name and order number associated with the
en_CA_Entertainment_1590992,channel1,3,35.92,64.92,"purchase? Thank you, Rebecca. And just your order number. Yes, 640. Oh, okay."
en_CA_Entertainment_1590992,channel1,4,64.92,74.92,"Actually, I don't believe. Okay. Your order number should be at least five digits. So you. Yeah. Okay. Take your time."
en_CA_Entertainment_1590992,channel1,5,74.92,86.92,No worries.
en_CA_Entertainment_1590992,channel1,6,86.92,96.92,"Okay, wonderful."
en_CA_Entertainment_1590992,channel1,7,96.92,110.92,"Okay. All right. Thank you for that. I just pulled it up here. All right. Perfect. So I just pulled it pulled it up here, Rebecca. And yeah, I'm sorry to hear that you'll be missing the show."
en_CA_Entertainment_1590992,channel1,8,110.92,125.92,And just to be sure this is for two people. Is that correct?
en_CA_Entertainment_1590992,channel1,9,125.92,141.92,"Okay. Let me just double check to see if the cancellation might be possible. Worst case scenario. What we can do is offer you a credit. So essentially, you would get a credit of the same amount that you purchased."
en_CA_Entertainment_1590992,channel1,10,141.92,154.92,"So it's going to be the same amount that you purchased, but for another one of our shows. That might also be an option. But let me look into this and see if we might just be able to just refund you in general."
en_CA_Entertainment_1590992,channel1,11,154.92,177.92,"This reservation, but would that be acceptable for you just in case we cannot cancel it? Would you would you be okay with a credit for another one of our shows in the future?"
en_CA_Entertainment_1590992,channel1,12,177.92,190.92,Okay. All right. Let me look into our policies and what we can honor you.
en_CA_Entertainment_1590992,channel1,13,190.92,203.92,"You're welcome. So, so, so yeah, so since you contacted us more than 48 hours before the show, our standard policy allows for either a full exchange or a credit voucher."
en_CA_Entertainment_1590992,channel1,14,203.92,219.92,"So, yeah, we can either, we can do this for you, but just so you know, it's not going to be a direct cash refund unless the performance is canceled. So this is just going to be refunded back to your credit card."
en_CA_Entertainment_1590992,channel1,15,219.92,234.92,"And we can honor any kind of cash refund just so you know, I'm just reading our policies here. But yeah, so because you have contacted us more than 48 hours, we can definitely honor a full exchange or a credit voucher."
en_CA_Entertainment_1590992,channel1,16,234.92,236.92,So those are the two options.
en_CA_Entertainment_1590992,channel1,17,237.92,261.92,"Now, yeah, so just let me know, do you, you said you'd prefer a refund to your credit card or you said, I think you said that you wouldn't mind a voucher. So whatever works best for you, we can try to work this out."
en_CA_Entertainment_1590992,channel1,18,261.92,280.92,"Well, yeah, so absolutely, there's Christmas at the cranks for our holiday theater show. And then after that boxing day, and then going into New Year's, New Year's, actually, there is a theater for New Year's to bring in 2026."
en_CA_Entertainment_1590992,channel1,19,280.92,289.92,"So yeah, there will be another show. There will be a whole bunch of singers as well, you might want to go to that one is going to be about four hours long."
en_CA_Entertainment_1590992,channel1,20,289.92,295.92,And it's just going to be singers. I know when Stefani is going to be there.
en_CA_Entertainment_1590992,channel1,21,295.92,306.92,"Nicki Minaj, there's just going to be a lot of celebrities there. Taylor Swift, a lot of, a lot of celebrities are going to be there Justin Bieber's also one of them."
en_CA_Entertainment_1590992,channel1,22,306.92,318.92,"Yeah, this is just to bring in the New Year. And yeah, we might be able to book you in for that one as well. So this is a part of the credit that we can book you in for or to refund whichever works best for you."
en_CA_Entertainment_1590992,channel1,23,337.92,352.92,"Oh, yes, absolutely. That's understandable. Yeah, we can do that for you. And but just so you know, the refund can take five to 20 business days."
