call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Food_1592674,1,agent,channel1,1,0.0,16.48,"Good afternoon, thanks for calling Tucker's Catering Melbourne.",positive,0.9576,False,False,False,False,False,16.48,0.054177,0.999969,-25.324,0.037209,898.199,287.7,134.286,0.485,low,low,high
en_AU_Food_1592674,2,customer,channel2,1,0.0,25.48,"Hi Danielle, my name is Maria and I'm calling about your catering services.",neutral,0.8552,False,False,False,False,False,25.48,0.031446,0.499725,-30.049,0.098772,1847.144,259.216,137.183,0.51,low,low,high
en_AU_Food_1592674,3,agent,channel1,2,16.48,17.76,This is Danielle speaking.,neutral,0.9029,False,False,False,False,False,1.28,0.038321,0.394745,-28.331,0.119843,1572.671,223.158,59.229,3.125,low,high,high
en_AU_Food_1592674,4,agent,channel1,3,17.76,29.76,How can I help you today?,neutral,0.7191,False,False,True,False,False,12.0,0.01706,0.40155,-35.36,0.027442,810.891,277.301,142.862,0.5,low,low,high
en_AU_Food_1592674,5,customer,channel2,2,25.52,28.64,I'm organising a birthday party and I'm hoping you can help.,positive,0.7711,False,False,False,False,False,3.12,0.051077,0.397522,-25.835,0.086102,1514.88,200.238,61.806,3.526,low,high,medium
en_AU_Food_1592674,6,agent,channel1,4,29.76,32.76,"Yes, so I'd love to be able to help you with that.",positive,0.9704,False,False,False,False,False,3.0,0.079454,0.546906,-21.998,0.101007,1182.016,165.153,72.205,4.0,high,high,low
en_AU_Food_1592674,7,agent,channel1,5,32.76,34.76,Birthday parties are always fun to cater for.,positive,0.9832,False,False,False,False,False,2.0,0.057657,0.376801,-24.783,0.096339,1160.677,178.048,78.644,4.0,medium,high,low
en_AU_Food_1592674,8,agent,channel1,6,34.76,44.76,Can you tell me a little bit more about what you're planning right now?,neutral,0.9198,False,False,True,False,False,10.0,0.033921,0.41571,-29.391,0.026993,857.487,298.683,129.459,1.4,low,low,high
en_AU_Food_1592674,9,customer,channel2,3,38.0,40.6,"Yeah, so it's actually my mum's 60th.",neutral,0.6208,False,False,False,False,False,2.6,0.08352,0.510468,-21.564,0.18987,2259.554,233.997,88.955,2.692,high,medium,high
en_AU_Food_1592674,10,customer,channel2,4,40.6,43.24,We're having it at our place in Bronzewick.,neutral,0.8997,False,False,False,False,False,2.64,0.065378,0.644592,-23.691,0.14752,1904.969,197.965,78.395,3.03,medium,high,medium
en_AU_Food_1592674,11,customer,channel2,5,44.32,50.2,"I'm expecting about, say, 30, maybe 30 guests, give or take a few.",neutral,0.848,False,False,False,False,False,5.88,0.065073,0.454346,-23.732,0.163065,2133.306,210.344,64.102,2.211,medium,medium,medium
en_AU_Food_1592674,12,agent,channel1,7,44.76,64.76,"Yeah, I can completely understand what a lovely milestone to be celebrating to.",positive,0.9754,False,False,False,False,False,20.0,0.082232,1.0,-21.699,0.038981,946.39,277.302,133.909,0.65,high,low,high
en_AU_Food_1592674,13,customer,channel2,6,51.32,54.68,I've been running around like a headless truck trying to organise everything.,negative,0.6117,False,False,False,False,False,3.36,0.068228,0.537384,-23.321,0.106031,1517.664,220.594,50.975,3.571,medium,high,high
en_AU_Food_1592674,14,customer,channel2,7,54.68,58.68,"And I thought, you know what, I'm not cooking for 30 people.",negative,0.6009,False,False,False,False,False,4.0,0.060222,0.483948,-24.405,0.123074,1661.452,227.144,91.884,3.0,medium,high,high
en_AU_Food_1592674,15,agent,channel1,8,64.76,82.76,30 gusts is a great size for a party. Have you got a date locked in yet at all?,positive,0.8744,False,False,True,False,False,18.0,0.046046,0.682709,-26.736,0.041114,932.592,297.994,128.508,1.056,low,low,high
en_AU_Food_1592674,16,customer,channel2,8,70.64,75.64,"Yeah, it's the 14th of March, which is a Saturday.",neutral,0.8643,False,False,False,False,False,5.0,0.0718,0.630615,-22.878,0.163217,2059.686,212.872,74.223,2.0,medium,low,medium
en_AU_Food_1592674,17,customer,channel2,9,77.04,79.96,"Just hoping the weather holds up, you know what I mean?",positive,0.7755,False,False,False,False,False,2.92,0.072206,0.505798,-22.829,0.104811,1485.338,190.86,47.522,3.767,medium,high,medium
en_AU_Food_1592674,18,customer,channel2,10,79.96,82.32,So we can use the backyard if possible.,neutral,0.705,False,False,False,False,False,2.36,0.035817,0.392792,-28.918,0.137002,1693.351,179.09,73.193,3.39,low,high,low
en_AU_Food_1592674,19,agent,channel1,9,82.76,85.76,"Yeah, look absolutely much is one of those hit or miss months, isn't it?",negative,0.6808,False,False,True,False,False,3.0,0.052906,0.533478,-25.53,0.137685,1366.719,147.199,52.449,4.667,low,high,low
en_AU_Food_1592674,20,customer,channel2,11,84.68,112.64,"I'm kind of thinking or I'm leaning to kind of more casual, I think that would work better.",neutral,0.5815,False,False,False,False,False,27.96,0.030064,0.562683,-30.439,0.055702,1798.605,296.493,130.413,0.644,low,low,high
en_AU_Food_1592674,21,agent,channel1,10,85.76,87.76,Particularly in Melbourne.,neutral,0.7246,False,False,False,False,False,2.0,0.051133,0.309357,-25.826,0.077598,895.356,155.256,63.532,1.5,low,low,low
en_AU_Food_1592674,22,agent,channel1,11,87.76,91.76,Fingers crossed you can get one of those lovely late summer days.,positive,0.95,False,False,False,False,False,4.0,0.091467,0.712006,-20.775,0.12705,1463.658,215.463,82.749,3.0,high,high,medium
en_AU_Food_1592674,23,agent,channel1,12,91.76,95.76,Now let me tell you about our catering packages.,neutral,0.8404,False,False,False,False,False,4.0,0.082121,0.556549,-21.711,0.144814,1523.192,214.263,81.509,2.25,high,medium,medium
en_AU_Food_1592674,24,agent,channel1,13,95.76,99.76,We've got a few different options depending on the vibe you are going for.,neutral,0.66,False,False,False,False,False,4.0,0.066813,0.457214,-23.503,0.099881,1130.512,203.801,71.7,3.5,medium,high,medium
en_AU_Food_1592674,25,agent,channel1,14,99.76,106.76,So are you thinking more of a sit down lunch situation or something a bit more casual like finger food and grazing?,neutral,0.9215,False,False,True,False,False,7.0,0.072686,0.421173,-22.771,0.132068,1448.238,226.802,81.16,3.143,medium,high,high
en_AU_Food_1592674,26,customer,channel2,12,113.36,116.68,"You know, people can mingle, help themselves, that kind of thing.",neutral,0.6624,False,False,False,False,False,3.32,0.057964,0.408081,-24.737,0.142029,1673.738,215.188,72.739,3.313,medium,high,medium
en_AU_Food_1592674,27,customer,channel2,13,116.68,117.96,That's what I had in mind.,neutral,0.7792,False,False,False,False,False,1.28,0.041672,0.247467,-27.603,0.13841,1725.549,180.534,60.549,4.688,low,high,low
en_AU_Food_1592674,28,customer,channel2,14,118.64,123.64,"What kind of, what do you, what sort of things do you have for that kind of thing?",neutral,0.7086,False,False,False,False,False,5.0,0.064173,0.48587,-23.853,0.124922,1786.445,200.34,62.574,3.6,medium,high,medium
