call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Aviation_1592663,1,agent,channel1,1,0.0,19.0,Good afternoon. Thank you for calling Qantas OAs. My name is Danielle. How can I help you,positive,0.7651,False,False,False,False,False,19.0,0.047475,0.999969,-26.471,0.068264,1160.25,235.396,138.196,0.895,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Aviation_1592663:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,2,customer,channel2,1,0.0,25.12,"Oh, hi Danielle. My name is Maria. I need to change my return flight from Melbourne back",neutral,0.8523,False,False,False,False,False,25.12,0.032916,0.676086,-29.652,0.104976,1697.103,243.348,127.675,0.677,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Aviation_1592663:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,3,agent,channel1,2,19.0,36.84,"today? Oh gosh, okay. No worries at all, Maria. I'll be happy to help you with that. I just",positive,0.9448,False,False,True,False,False,17.84,0.040554,0.748566,-27.839,0.043924,996.581,276.262,132.382,1.065,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Aviation_1592663:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,4,customer,channel2,2,25.12,30.88,to Sydney. And I've got a bit of a situation going on with work. So it's kind of urgent.,neutral,0.7163,False,False,False,False,False,5.76,0.035413,0.51178,-29.017,0.166453,1841.146,186.576,66.961,3.299,low,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Aviation_1592663:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,5,agent,channel1,3,36.84,41.72,need some more details from you. Can I please grab to start off with your booking reference,neutral,0.8775,False,False,False,False,False,4.88,0.073912,0.65271,-22.626,0.163335,1729.623,193.042,63.706,3.484,high,high,medium,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Aviation_1592663:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,6,agent,channel1,4,41.72,65.08,"number or frequent fly-at number to pull up your reservation? Okay, perfect. Thanks, Maria.",positive,0.6872,False,False,True,False,False,23.36,0.028974,0.654755,-30.76,0.039352,839.295,286.885,137.655,0.599,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Aviation_1592663:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,7,customer,channel2,3,45.44,48.56,"Okay, let me just look that up on my phone. Hang on one sec.",neutral,0.8481,False,False,False,False,False,3.12,0.048251,0.324677,-26.33,0.146215,2034.302,213.847,58.463,4.487,low,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Aviation_1592663:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,8,customer,channel2,4,48.56,61.68,"Okay, yeah, my booking reference number is QF, sorry, Q7F2M9.",neutral,0.813,False,False,False,False,False,13.12,0.071409,0.757446,-22.925,0.151183,2114.086,193.1,78.963,0.762,high,low,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Aviation_1592663:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,9,agent,channel1,5,65.08,73.0,"Just give me one moment while I bring that up, please. Okay, right. I can see your booking",neutral,0.7228,False,False,False,False,False,7.92,0.060259,0.600433,-24.4,0.118264,1656.119,193.352,92.839,2.273,medium,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Aviation_1592663:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Aviation_1592663,10,agent,channel1,6,73.0,77.56,here. Thank you for waiting. You're currently scheduled to fly from Melbourne to Sydney,positive,0.6739,False,False,False,False,False,4.56,0.067558,0.769196,-23.406,0.150346,1656.65,221.748,65.491,3.07,medium,high,medium,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Aviation_1592663:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
