call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Finance_1590992,1,customer,channel2,1,0.0,12.5,I'm interested in applying for an investment loan.,neutral,0.6348,False,False,False,False,False,12.5,0.051256,0.990997,-25.805,0.095787,1130.834,242.21,97.941,0.64,medium,low,high
en_CA_Finance_1590992,2,agent,channel1,1,0.0,21.04,Thank you for calling. This is Great Wealth Investing. How can I help you?,positive,0.9779,False,False,True,False,False,21.04,0.035135,0.664642,-29.085,0.059932,1211.034,259.398,125.407,0.665,low,low,high
en_CA_Finance_1590992,3,customer,channel2,2,12.5,18.74,"I'm looking to expand my portfolio, but I don't want to liquidate my current asset as",neutral,0.7256,False,False,False,False,False,6.24,0.068984,0.507446,-23.225,0.098384,1151.376,199.192,51.678,2.564,high,medium,low
en_CA_Finance_1590992,4,customer,channel2,3,18.74,29.7,of right now.,neutral,0.8647,False,False,False,False,False,10.96,0.00858,0.159698,-41.33,0.025537,667.833,317.831,126.734,0.274,low,low,high
en_CA_Finance_1590992,5,agent,channel1,2,21.04,27.32,I see. Okay. So you're not looking to liquidate your current assets. May I ask what you're,neutral,0.8967,False,False,False,False,False,6.28,0.074249,0.555908,-22.586,0.095408,1065.699,219.86,60.027,2.707,high,high,medium
en_CA_Finance_1590992,6,agent,channel1,3,27.32,49.52,looking to do? Okay. Absolutely. So would you want maybe a 10 or what we have is 25 to 30,neutral,0.7831,False,False,True,False,False,22.2,0.044352,0.716553,-27.062,0.087623,1407.555,202.413,100.666,0.901,low,low,low
en_CA_Finance_1590992,7,customer,channel2,4,29.7,38.5,"I really want to grow long-term, so I'm trying to figure out the smartest borrowing structure,",positive,0.6545,False,False,False,False,False,8.8,0.071442,0.56543,-22.921,0.111404,1170.156,189.908,68.792,1.818,high,medium,low
en_CA_Finance_1590992,8,customer,channel2,5,38.5,46.58,not just the biggest loan.,neutral,0.6733,False,False,False,False,False,8.08,0.034805,0.451447,-29.167,0.032582,684.757,271.708,133.37,0.619,low,low,high
en_CA_Finance_1590992,9,customer,channel2,6,46.58,63.3,"Yeah, a 20-year would be max.",neutral,0.7935,False,False,False,False,False,16.72,0.031022,0.627441,-30.167,0.037999,758.487,298.267,133.058,0.359,low,low,high
en_CA_Finance_1590992,10,agent,channel1,4,49.52,55.44,year amortization? Like is there a certain amount of years that you're looking to aim,neutral,0.8732,False,False,True,False,False,5.92,0.044054,0.404999,-27.12,0.098024,1145.737,178.931,62.4,2.534,low,medium,low
en_CA_Finance_1590992,11,agent,channel1,5,55.56,75.84,"for? Okay. Okay. I can. Okay. Well, based on your portfolio size, a margin, a margin loan is",neutral,0.6449,False,False,True,False,False,20.28,0.05541,0.856537,-25.128,0.086241,1286.239,222.668,117.061,0.888,medium,low,medium
en_CA_Finance_1590992,12,customer,channel2,7,63.3,90.9,I get the qualification requirements if I do qualify for the loan.,neutral,0.8706,False,False,False,False,False,27.6,0.026316,0.51413,-31.596,0.043847,771.013,280.988,134.938,0.435,low,low,high
en_CA_Finance_1590992,13,agent,channel1,6,75.84,82.64,"often the quickest solution for enhancing your portfolio. And in order to qualify, you need",positive,0.7785,False,False,False,False,False,6.8,0.04634,0.442841,-26.681,0.093342,961.001,223.246,51.915,2.206,low,medium,medium
