call_id,channel,segment_id,start_time,end_time,text
en_AU_Finance_1592672,channel1,1,0.0,19.16,"Good morning, you've reached Commonwealth Financial Service, this is Danielle speaking,"
en_AU_Finance_1592672,channel1,2,19.16,26.16,how may I help you today?
en_AU_Finance_1592672,channel1,3,26.16,40.52,"Yes, okay, good morning Maria, I'd be able to help you with that of course, so investment"
en_AU_Finance_1592672,channel1,4,40.52,45.48,"loans are quite popular with our clients looking to grow their portfolios, so just to confirm"
en_AU_Finance_1592672,channel1,5,45.48,52.48,are you looking to invest in residential property shares or managed funds?
en_AU_Finance_1592672,channel1,6,52.48,75.4,"Oh look, it's so great that you're looking at diversifying, yeah absolutely, so those"
en_AU_Finance_1592672,channel1,7,75.4,81.88,"mining stocks have definitely made a balance since recent times, but before we do go into"
en_AU_Finance_1592672,channel1,8,81.88,88.4,the details can I actually just read about one the other day that there's a lot of gold stores
en_AU_Finance_1592672,channel1,9,88.4,94.64,"that have been found, but yeah sorry, before we do go into details can I just please confirm"
en_AU_Finance_1592672,channel1,10,94.64,100.76,"a few things for security purposes, so starting off with can you give me your date of birth"
en_AU_Finance_1592672,channel1,11,100.76,107.76,please and your current residential address?
en_AU_Finance_1592672,channel1,12,107.76,121.64,"Oh perfect, so your are prices, okay great, thank you Maria, now let's talk about the"
en_AU_Finance_1592672,channel1,13,121.64,128.8,"investment loan, so to qualify for an investment loan with us there are several key requirements,"
en_AU_Finance_1592672,channel1,14,128.8,133.52,"what we'll need to do first is assess your current financial position, including your"
en_AU_Finance_1592672,channel1,15,133.52,139.4,"income, existing assets and any outstanding debts, do you currently have an income from"
en_AU_Finance_1592672,channel1,16,139.4,158.04,"employment or a business, okay excellent, so stable employment definitely works in"
en_AU_Finance_1592672,channel1,17,158.04,163.44,"your favour, what we'll need is also to look at your existing asset, so you mentioned you"
en_AU_Finance_1592672,channel1,18,163.44,185.4,"have some properties in Melbourne and in Sydney,"
en_AU_Finance_1592672,channel1,19,185.96,189.4,"so that's good to hear, so the fact that you're already servicing investment property"
en_AU_Finance_1592672,channel1,20,189.4,194.6,"shows you understand the responsibilities involved, now for an investment loan specifically"
en_AU_Finance_1592672,channel1,21,194.6,200.04,"for shares we typically lend up to 70% of the value of the investment, so this can"
en_AU_Finance_1592672,channel1,22,200.04,205.0,"vary depending on the type of shares you're looking at, so for example Maria, the blue"
en_AU_Finance_1592672,channel1,23,205.0,210.52,"chip ASX companies like BHP, ComBank, all words, they generally allow for higher"
en_AU_Finance_1592672,channel1,24,210.6,213.24,"lending ratios compared to the smaller cap stocks,"
en_AU_Finance_1592672,channel1,25,230.6,234.92,"yeah great choices with the blue chips, you know they're definitely safer there,"
en_AU_Finance_1592672,channel1,26,234.92,242.6,so currently our investment loan rates for shares start around 7.85% per annum for variable
en_AU_Finance_1592672,channel1,27,242.6,248.76,"rate loans, look if you prefer a fixed rate for certainty we have three year fixed options"
en_AU_Finance_1592672,channel1,28,248.76,255.24,at around 7.45% though these rates are subject to change and depend on your individual
en_AU_Finance_1592672,channel1,29,255.24,257.24,"circumstances and the loan amount,"
en_AU_Finance_1592672,channel1,30,267.16,272.6,"exactly right, Maria, look shares are considered a higher risk security compared to properties,"
en_AU_Finance_1592672,channel1,31,272.6,278.36,"so the rates reflect that, however if you're interested in sorry if you're investing"
en_AU_Finance_1592672,channel1,32,278.36,283.48,"in quality companies with good dividend yields, many of our clients find the returns"
en_AU_Finance_1592672,channel1,33,283.56,288.92,"more than compensate for the slightly higher interest rate, plus you can claim the interest"
en_AU_Finance_1592672,channel1,34,288.92,291.64,"as a tax deduction against your investment income,"
en_AU_Finance_1592672,channel1,35,304.92,308.84,"absolutely, so we offer quite a bit of flexibility with our investment loans,"
en_AU_Finance_1592672,channel1,36,309.4,316.52,"you can choose interest only repayments for up to 10 years, which keeps your monthly payments"
en_AU_Finance_1592672,channel1,37,316.52,322.92,"lower and maximizes your cash flow, after that period so after the 10 years the loan converts"
en_AU_Finance_1592672,channel1,38,322.92,329.72,"to principal and interest repayments, alternatively you can opt for principal and interest from the"
en_AU_Finance_1592672,channel1,39,329.72,332.44,"start if you prefer to pay down the loan faster,"
en_AU_Finance_1592672,channel1,40,344.36,348.36,"yeah let me just um please sorry just give me a moment I'll calculate that for you,"
en_AU_Finance_1592672,channel1,41,349.48,358.36,"so at 7.85% on the principal of $150,000 with interest only repayments you'd be looking at"
en_AU_Finance_1592672,channel1,42,358.36,366.84,"approximately $980 per month or about $11,700 per year, now keep in mind that's just the interest"
en_AU_Finance_1592672,channel1,43,366.84,383.0,"component and it's tax deductible, that's correct so with our variable rate loans you can make"
en_AU_Finance_1592672,channel1,44,383.08,389.88,"unlimited additional repayments without penalty, if you go with a fixed rate there are generally"
en_AU_Finance_1592672,channel1,45,389.88,403.64,some restrictions but we can discuss those options in more detail if you are interested
en_AU_Finance_1592672,channel1,46,413.32,415.64,so
en_AU_Finance_1592672,channel1,47,425.32,429.72,yeah so I can certainly understand why you'd want that information Maria but I need to be up front
en_AU_Finance_1592672,channel1,48,429.72,434.76,"with you, as a lending specialist I'm not a licensed financial advisor so I can't provide"
en_AU_Finance_1592672,channel1,49,434.76,441.24,"specific investment advice or detailed stock analysis, what I can tell you is that we have"
