call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_RealEstate_1588709,1,agent,channel1,1,0.0,15.56,Hello and welcome to the real estate agency.,positive,0.6711,False,False,False,False,False,15.56,0.016548,0.200104,-35.625,0.023092,322.341,352.487,87.421,0.514,low,low,high
en_CA_RealEstate_1588709,2,customer,channel2,1,0.0,18.56,Hi there.,neutral,0.4904,False,False,False,False,False,18.56,0.035154,0.979095,-29.08,0.013405,367.272,370.986,85.32,0.108,high,low,high
en_CA_RealEstate_1588709,3,agent,channel1,2,15.56,16.56,My name is Julia.,neutral,0.8721,False,False,False,False,False,1.0,0.02947,0.189758,-30.612,0.087784,1136.729,221.65,45.115,4.0,high,high,medium
en_CA_RealEstate_1588709,4,agent,channel1,3,16.56,21.16,How can I help you?,neutral,0.8413,False,False,True,False,False,4.6,0.008524,0.142975,-41.388,0.012607,399.282,357.503,95.447,1.087,low,medium,high
en_CA_RealEstate_1588709,5,customer,channel2,2,18.56,24.76,"I was just calling to inquire about your availability of fully furnished apartments, two bedroom",neutral,0.8839,False,False,False,False,False,6.2,0.127306,1.0,-17.903,0.104369,1084.063,141.205,57.144,2.419,high,high,low
en_CA_RealEstate_1588709,6,agent,channel1,4,21.16,30.68,"Okay, we can definitely look at that for you.",neutral,0.6983,False,False,False,False,False,9.52,0.012763,0.171387,-37.881,0.028886,377.365,349.244,86.115,0.945,low,low,high
en_CA_RealEstate_1588709,7,customer,channel2,3,24.76,44.84,"or three bedroom apartments for my wife and I, Vancouver.",neutral,0.8498,False,False,False,False,False,20.08,0.060868,0.999939,-24.312,0.02734,677.863,315.894,127.271,0.498,high,low,high
en_CA_RealEstate_1588709,8,agent,channel1,5,30.68,34.68,What's the area you're located in?,neutral,0.9325,False,False,True,False,False,4.0,0.019247,0.151733,-34.313,0.030018,576.444,335.452,98.451,1.5,medium,medium,high
en_CA_RealEstate_1588709,9,agent,channel1,6,34.68,35.68,Vancouver.,neutral,0.8547,False,False,False,False,False,1.0,0.011378,0.080383,-38.879,0.101791,1113.855,244.807,74.153,1.0,low,low,medium
en_CA_RealEstate_1588709,10,agent,channel1,7,35.68,36.68,Okay.,neutral,0.5693,False,False,False,False,False,1.0,0.007338,0.060272,-42.689,0.078705,1528.927,225.527,139.109,1.0,low,low,medium
en_CA_RealEstate_1588709,11,agent,channel1,8,36.68,38.2,Let me see.,neutral,0.6621,False,False,False,False,False,1.52,0.013352,0.060883,-37.489,0.062358,883.002,301.397,102.908,1.974,low,medium,high
en_CA_RealEstate_1588709,12,agent,channel1,9,38.2,43.08,And what brings you to Vancouver?,neutral,0.9156,False,False,True,False,False,4.88,0.018215,0.258179,-34.791,0.07883,1541.828,199.513,120.182,1.23,medium,medium,low
en_CA_RealEstate_1588709,13,customer,channel2,4,44.84,49.32,"We've lived here our whole lives, but we got married recently and we're just looking",neutral,0.6344,False,False,False,False,False,4.48,0.181617,0.987579,-14.817,0.077799,939.172,146.565,51.687,3.348,high,high,low
en_CA_RealEstate_1588709,14,customer,channel2,5,49.32,54.8,to find our own place to stay.,neutral,0.8732,False,False,False,False,False,5.48,0.094808,0.97757,-20.463,0.066903,1100.319,236.752,124.397,1.277,high,medium,medium
en_CA_RealEstate_1588709,15,agent,channel1,10,52.16,53.16,Very good.,positive,0.9409,False,False,False,False,False,1.0,0.02249,0.127197,-32.96,0.094482,1409.648,246.697,85.834,2.0,medium,high,medium
en_CA_RealEstate_1588709,16,agent,channel1,11,53.16,56.16,"Congratulations, sir.",positive,0.97,False,False,False,False,False,3.0,0.013355,0.115173,-37.487,0.070614,1224.698,272.567,125.354,0.667,low,low,medium
en_CA_RealEstate_1588709,17,customer,channel2,6,54.8,57.8,Thank you.,positive,0.8345,False,False,False,False,False,3.0,0.006375,0.133789,-43.911,0.019407,539.352,325.465,127.626,0.667,low,low,high
en_CA_RealEstate_1588709,18,agent,channel1,12,56.16,57.16,Okay.,neutral,0.5693,False,False,False,False,False,1.0,3.9e-05,0.000671,-88.215,0.049149,1486.843,241.428,147.916,1.0,low,low,medium
en_CA_RealEstate_1588709,19,agent,channel1,13,57.16,62.16,And you said two to three bedroom apartments.,neutral,0.582,False,False,False,False,False,5.0,0.020761,0.166473,-33.655,0.074657,995.798,270.044,106.807,1.6,medium,medium,medium
en_CA_RealEstate_1588709,20,customer,channel2,7,57.8,73.24,"Yes, I'm fully furnished.",positive,0.6629,False,False,False,False,False,15.44,0.035368,0.881805,-29.028,0.021633,487.845,339.013,117.946,0.259,high,low,high
en_CA_RealEstate_1588709,21,agent,channel1,14,62.16,64.16,Fully furnished.,neutral,0.5491,False,False,False,False,False,2.0,0.010177,0.115967,-39.848,0.031444,539.603,342.243,100.689,1.0,low,low,high
en_CA_RealEstate_1588709,22,agent,channel1,15,64.16,65.16,Okay.,neutral,0.5693,False,False,False,False,False,1.0,0.011924,0.100006,-38.472,0.169479,1540.634,247.657,94.751,1.0,low,low,medium
en_CA_RealEstate_1588709,23,agent,channel1,16,65.16,67.16,I can definitely filter by those.,neutral,0.667,False,False,False,False,False,2.0,0.023038,0.193909,-32.751,0.099501,1110.754,209.565,70.398,3.0,medium,high,low
en_CA_RealEstate_1588709,24,agent,channel1,17,67.16,73.16,And would you like a realtor to help you support you in this transition?,neutral,0.8563,False,False,True,False,False,6.0,0.027108,0.218781,-31.338,0.088836,1102.531,244.942,81.664,2.333,medium,high,medium
en_CA_RealEstate_1588709,25,agent,channel1,18,73.16,74.16,Okay.,neutral,0.5693,False,False,False,False,False,1.0,0.0,3.1e-05,-127.579,0.0,332.026,379.99,78.339,1.0,low,low,high
en_CA_RealEstate_1588709,26,customer,channel2,8,73.24,77.04,"Yes, please.",positive,0.5949,False,False,False,False,False,3.8,0.06397,0.976135,-23.88,0.036482,639.606,293.05,137.59,0.526,high,low,high
en_CA_RealEstate_1588709,27,agent,channel1,19,74.16,78.16,We can definitely connect you with one.,positive,0.5147,False,False,False,False,False,4.0,0.017256,0.161987,-35.261,0.062469,1082.098,262.984,116.708,1.75,medium,medium,medium
en_CA_RealEstate_1588709,28,customer,channel2,9,77.12,91.88,So long as that doesn't cost us extra.,neutral,0.6144,False,False,False,False,False,14.76,0.048533,0.976318,-26.279,0.016547,360.393,342.29,112.962,0.542,high,low,high
en_CA_RealEstate_1588709,29,agent,channel1,20,78.16,80.16,No.,neutral,0.561,False,False,False,False,False,2.0,0.017395,0.174042,-35.192,0.052076,715.04,300.299,116.031,0.5,medium,low,high
en_CA_RealEstate_1588709,30,agent,channel1,21,80.16,88.16,"All of the compensation for the realtor comes out of the sellers or the,",neutral,0.775,False,False,False,False,False,8.0,0.027446,0.170654,-31.231,0.100928,1172.368,208.096,68.227,1.75,high,medium,low
en_CA_RealEstate_1588709,31,agent,channel1,22,88.16,95.16,"those, those supplying the rentals.",neutral,0.8814,False,False,False,False,False,7.0,0.015259,0.165863,-36.33,0.065485,977.949,268.993,126.406,0.714,low,low,medium
en_CA_RealEstate_1588709,32,customer,channel2,10,91.88,105.08,"Okay, that sounds good.",positive,0.95,False,False,False,False,False,13.2,0.015073,0.443848,-36.436,0.020699,458.744,338.989,117.001,0.303,low,low,high
en_CA_RealEstate_1588709,33,agent,channel1,23,95.16,99.16,"Okay, so I will connect you with.",neutral,0.7697,False,False,False,False,False,4.0,0.026289,0.187286,-31.605,0.081942,1196.792,248.511,114.18,1.75,medium,medium,medium
en_CA_RealEstate_1588709,34,agent,channel1,24,99.16,101.16,With the.,neutral,0.8011,False,False,False,False,False,2.0,0.016565,0.124542,-35.616,0.063771,981.805,272.358,109.923,1.0,low,low,medium
en_CA_RealEstate_1588709,35,agent,channel1,25,101.16,103.16,With James here.,neutral,0.9141,False,False,False,False,False,2.0,0.019937,0.184265,-34.007,0.113149,1561.704,190.885,94.28,1.5,medium,medium,low
