call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Entertainment_1590992,1,agent,channel1,1,0.0,6.0,Thank you for calling the Christmas at the Cranks Theatre box office. My name is Julia. How can I help you?,positive,0.5447,False,False,True,False,False,6.0,0.093217,0.91983,-20.61,0.108861,1125.971,251.776,78.499,3.5,high,high,high
en_CA_Entertainment_1590992,2,customer,channel2,1,0.0,15.8,"Hey, Julia. Yeah, I bought two tickets online for this weekend, but unfortunately I can't",negative,0.7655,False,False,False,False,False,15.8,0.047329,0.634399,-26.497,0.106347,1211.542,244.561,107.5,0.949,low,low,high
en_CA_Entertainment_1590992,3,agent,channel1,2,6.0,35.92,I'm sorry to hear this. Could I please have your name and order number associated with the,negative,0.6947,False,False,False,False,False,29.92,0.033614,0.646973,-29.47,0.07635,1318.381,237.361,125.726,0.568,low,low,high
en_CA_Entertainment_1590992,4,customer,channel2,2,15.8,22.56,"attend anymore. Something's happened with a family emergency, and I'm really hoping",neutral,0.4965,False,False,False,False,False,6.76,0.05542,0.404877,-25.127,0.09916,1164.431,175.169,52.774,1.775,medium,medium,low
en_CA_Entertainment_1590992,5,customer,channel2,3,22.56,38.36,"to see if they're refundable or if there's something you guys can do. Yeah. Yeah, my name",neutral,0.6558,False,False,False,False,False,15.8,0.040163,0.518494,-27.924,0.051736,848.755,252.133,129.731,1.076,low,low,high
en_CA_Entertainment_1590992,6,agent,channel1,3,35.92,64.92,"purchase? Thank you, Rebecca. And just your order number. Yes, 640. Oh, okay.",positive,0.8663,False,False,True,False,False,29.0,0.050972,0.85202,-25.853,0.089298,1277.905,183.646,115.732,0.448,low,low,low
en_CA_Entertainment_1590992,7,customer,channel2,4,38.36,63.0,"is Rebecca Clark. This one, let me see where that is. Yeah, it's 640. Yeah, that's it. I",neutral,0.7507,False,False,False,False,False,24.64,0.045164,0.838593,-26.904,0.05376,860.827,281.482,124.463,0.731,low,low,high
en_CA_Entertainment_1590992,8,customer,channel2,5,63.0,91.64,"just have 640. Christmas. Okay. Oh, okay. Yeah, here it is. Sorry about that. It is 234-92.",neutral,0.5511,False,False,False,False,False,28.64,0.068343,0.999969,-23.306,0.066558,917.39,245.342,123.48,0.594,high,low,high
en_CA_Entertainment_1590992,9,agent,channel1,4,64.92,74.92,"Actually, I don't believe. Okay. Your order number should be at least five digits. So you. Yeah. Okay. Take your time.",negative,0.5684,False,False,False,False,False,10.0,0.052873,0.916473,-25.535,0.100778,1176.449,211.469,99.043,2.1,medium,medium,medium
en_CA_Entertainment_1590992,10,agent,channel1,5,74.92,86.92,No worries.,neutral,0.5287,False,False,False,False,False,12.0,0.023141,0.999939,-32.712,0.082929,1291.801,180.606,117.816,0.167,low,low,low
en_CA_Entertainment_1590992,11,agent,channel1,6,86.92,96.92,"Okay, wonderful.",positive,0.9686,False,False,False,False,False,10.0,0.050015,0.889404,-26.018,0.07751,1159.873,181.332,110.964,0.2,low,low,low
en_CA_Entertainment_1590992,12,customer,channel2,6,91.64,120.32,"I think. I hope. Yeah, totally. I really hate to miss it. You know, it sounds amazing, but",positive,0.7078,False,False,False,False,False,28.68,0.04099,0.59671,-27.746,0.032006,721.202,299.056,129.086,0.628,low,low,high
en_CA_Entertainment_1590992,13,agent,channel1,7,96.92,110.92,"Okay. All right. Thank you for that. I just pulled it up here. All right. Perfect. So I just pulled it pulled it up here, Rebecca. And yeah, I'm sorry to hear that you'll be missing the show.",positive,0.8351,False,False,False,False,False,14.0,0.064484,0.90979,-23.811,0.115221,1190.858,242.329,90.959,2.714,high,high,high
en_CA_Entertainment_1590992,14,agent,channel1,8,110.92,125.92,And just to be sure this is for two people. Is that correct?,neutral,0.8984,False,False,True,False,False,15.0,0.037027,0.816742,-28.63,0.078093,1302.625,235.637,122.062,0.867,low,low,medium
