call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Entertainment_1592670,1,agent,channel1,1,0.0,26.4,Good afternoon. Thank you for calling Sydney Theatre Company. This is Danielle speaking.
en_AU_Entertainment_1592670,2,customer,channel2,1,0.0,28.0,Thank you.
en_AU_Entertainment_1592670,3,agent,channel1,2,26.4,28.4,How can I help you today?
en_AU_Entertainment_1592670,4,customer,channel2,2,28.0,31.0,"Hi, Danielle. My name is Maria."
en_AU_Entertainment_1592670,5,agent,channel1,3,28.4,51.4,"Oh, that's so sad. Okay. Yeah, I mean, our show's a fantastic. Sorry, I'm going to have to miss it."
en_AU_Entertainment_1592670,6,customer,channel2,3,31.0,35.0,"Look, I'm calling because I've got a bit of a situation."
en_AU_Entertainment_1592670,7,customer,channel2,4,35.0,38.0,I bought two tickets online for a show.
en_AU_Entertainment_1592670,8,customer,channel2,5,38.0,42.0,"But unfortunately, I can't make it anymore,"
en_AU_Entertainment_1592670,9,customer,channel2,6,42.0,46.0,"and I'm hoping you can, you know, might be able to help me out."
en_AU_Entertainment_1592670,10,agent,channel1,4,51.4,56.4,"Look, of course, I can help you. I'm sorry to hear you can't make the performance."
en_AU_Entertainment_1592670,11,agent,channel1,5,56.4,75.4,Can I just start by getting a few details from you? Starting with which show did you book?
en_AU_Entertainment_1592670,12,customer,channel2,7,59.0,65.0,"Yeah, of course."
en_AU_Entertainment_1592670,13,customer,channel2,8,65.0,71.0,It was for the picture of Dorian Gray at the Roslyn Packer Theatre in Walsh Bay.
en_AU_Entertainment_1592670,14,customer,channel2,9,71.0,85.0,"I was really looking forward to it, actually."
en_AU_Entertainment_1592670,15,agent,channel1,6,75.4,81.4,"That's such a fantastic production too. Oh my God, I've heard so many wonderful things about it."
en_AU_Entertainment_1592670,16,agent,channel1,7,81.4,92.4,When was your performance scheduled for? Which date?
en_AU_Entertainment_1592670,17,customer,channel2,10,85.0,88.0,"It's this Saturday night, 14th of December at 7.30."
en_AU_Entertainment_1592670,18,customer,channel2,11,88.0,90.0,I wish I could make it.
en_AU_Entertainment_1592670,19,customer,channel2,12,90.0,103.0,I bought the tickets about three weeks ago.
en_AU_Entertainment_1592670,20,agent,channel1,8,92.4,98.4,"Yeah, look, it's going to be such a shame. Okay, right. Can I just grab your booking reference number?"
en_AU_Entertainment_1592670,21,agent,channel1,9,98.4,102.4,It should be on the confirmation email just in that top right hand corner if you can see it.
en_AU_Entertainment_1592670,22,customer,channel2,13,103.0,105.0,"Um, do you mean on the..."
en_AU_Entertainment_1592670,23,customer,channel2,14,105.0,109.0,"Oh, hang on, on the confirmation, I'm not sure."
en_AU_Entertainment_1592670,24,customer,channel2,15,109.0,111.0,Let me just pull that up.
en_AU_Entertainment_1592670,25,customer,channel2,16,111.0,113.0,"Okay, hang on a second."
en_AU_Entertainment_1592670,26,customer,channel2,17,113.0,118.0,I have to go through...
en_AU_Entertainment_1592670,27,customer,channel2,18,118.0,132.0,"Here we go. Okay, it's STC-2024-9876."
en_AU_Entertainment_1592670,28,agent,channel1,10,128.4,150.4,"Okay, thank you. Perfect. So just going to confirm that number. It's Sierra Tango Charlie 20249876."
en_AU_Entertainment_1592670,29,customer,channel2,19,143.0,164.0,"Um, yeah, that's right."
en_AU_Entertainment_1592670,30,agent,channel1,11,150.4,156.4,"Okay, perfect. Thank you. Just give me one moment please while I bring up your booking."
en_AU_Entertainment_1592670,31,agent,channel1,12,156.4,163.4,"All right, Maria, I can see it here. We've got two tickets for Saturday evening, the 14th, premium reserve seating tickets too."
en_AU_Entertainment_1592670,32,agent,channel1,13,163.4,174.4,Is that correct?
en_AU_Entertainment_1592670,33,customer,channel2,20,164.0,168.0,"Oh, don't remind me. That's right."
en_AU_Entertainment_1592670,34,customer,channel2,21,168.0,172.0,I splurged a bit because it was meant to be a special night out with my sister.
en_AU_Entertainment_1592670,35,customer,channel2,22,172.0,188.0,She's visiting from Melbourne.
en_AU_Entertainment_1592670,36,agent,channel1,14,174.4,177.4,"Oh, that's such a pity. Okay, yeah, I understand completely."
en_AU_Entertainment_1592670,37,agent,channel1,15,177.4,183.4,"So what I need to ask you first, Maria, is whether or not is whether your tickets were refundable?"
en_AU_Entertainment_1592670,38,agent,channel1,16,183.4,195.4,"Unfortunately, it depends on which type of ticket you selected when you made the booking."
en_AU_Entertainment_1592670,39,customer,channel2,23,188.0,190.0,"Alright, okay."
en_AU_Entertainment_1592670,40,customer,channel2,24,190.0,193.0,I didn't really pay attention to that when I bought them.
en_AU_Entertainment_1592670,41,customer,channel2,25,193.0,213.0,Is there a way to check?
en_AU_Entertainment_1592670,42,agent,channel1,17,195.4,202.4,"Yeah, absolutely. Look, let me just see. I can see that information on my end. Let me just open it."
en_AU_Entertainment_1592670,43,agent,channel1,18,202.4,209.4,"Yeah, okay, great. So looking at your booking, you purchase standard admission tickets rather than our flex tickets."
en_AU_Entertainment_1592670,44,agent,channel1,19,209.4,218.4,So the standard tickets do have some restrictions around refunds.
en_AU_Entertainment_1592670,45,customer,channel2,26,213.0,233.0,Oh no. Does that mean I can't get a refund at all?
en_AU_Entertainment_1592670,46,agent,channel1,20,218.4,223.4,"Well, look, let me first explain our policy so that you know exactly where you stand."
en_AU_Entertainment_1592670,47,agent,channel1,21,223.4,230.4,"So our standard tickets are generally non-refundable, but we can make exceptions in certain circumstances."
en_AU_Entertainment_1592670,48,agent,channel1,22,230.4,247.4,So let me ask what's prevented you from attending.
en_AU_Entertainment_1592670,49,customer,channel2,27,233.0,237.0,"Yeah, so my sister, the one I was going to go with,"
en_AU_Entertainment_1592670,50,customer,channel2,28,237.0,243.0,she's had to cancel her trip from Melbourne because her son came down with a pretty bad case of gastro.
en_AU_Entertainment_1592670,51,customer,channel2,29,243.0,247.0,"Nothing serious, but she needs to stay home and look after him, of course."
en_AU_Entertainment_1592670,52,agent,channel1,23,247.4,253.4,"Oh my God, Australia. Oh, look, that is so unfortunate. I hope he feels better soon."
en_AU_Entertainment_1592670,53,agent,channel1,24,253.4,256.4,That's so horrible case of gastro. Wow.
en_AU_Entertainment_1592670,54,agent,channel1,25,256.4,263.4,"Now, in cases like yours where there is a bit of a family emergency or illness, we may be able to process a refund."
en_AU_Entertainment_1592670,55,customer,channel2,30,263.0,286.0,"Right, okay. Well, how much would that fee be?"
en_AU_Entertainment_1592670,56,agent,channel1,26,263.4,271.4,Though I should mention it would be subject to an administration fee.
en_AU_Entertainment_1592670,57,agent,channel1,27,271.4,278.4,"The admin fee is $15 per ticket, so that would be $30 in total because you purchased two tickets."
en_AU_Entertainment_1592670,58,agent,channel1,28,278.4,299.4,"The tickets originally were $89 each, so you'd be looking at receiving $148 back rather than the full $178."
en_AU_Entertainment_1592670,59,customer,channel2,31,287.0,289.0,"Hmm, I see."
en_AU_Entertainment_1592670,60,customer,channel2,32,289.0,292.0,"Look, that's still better than losing the whole amount, of course,"
en_AU_Entertainment_1592670,61,customer,channel2,33,292.0,294.0,"but before I decide on the refund,"
en_AU_Entertainment_1592670,62,customer,channel2,34,294.0,296.0,"can I just ask her about other options,"
en_AU_Entertainment_1592670,63,customer,channel2,35,296.0,300.0,like is it possible to exchange them for another performance instead?
en_AU_Entertainment_1592670,64,agent,channel1,29,299.4,304.4,"Yeah, look, that's a great question. And yes, we can definitely look at that option for you."
en_AU_Entertainment_1592670,65,agent,channel1,30,304.4,307.4,The exchange policy is actually a bit more flexible.
en_AU_Entertainment_1592670,66,agent,channel1,31,307.4,319.4,"We allow ticket exchanges up to 48 hours before the performance, and there's no fee as long as you're exchanging for the same show."
en_AU_Entertainment_1592670,67,customer,channel2,36,316.0,325.0,"Oh, that sounds much better."
en_AU_Entertainment_1592670,68,agent,channel1,32,319.4,330.4,"So you don't even have to make a decision right now, given it's still Tuesday."
en_AU_Entertainment_1592670,69,customer,channel2,37,325.0,329.0,So you're saying I could pick a different date for the picture of Dorian Gray.
en_AU_Entertainment_1592670,70,agent,channel1,33,330.4,335.4,"Exactly. Look, let me just check what availability we have."
en_AU_Entertainment_1592670,71,agent,channel1,34,335.4,339.4,Right. So the show runs until the 5th of January.
en_AU_Entertainment_1592670,72,agent,channel1,35,339.4,359.4,We've got performances Wednesday through Saturday evenings and the matinees and Saturdays and Sundays at 2pm.
en_AU_Entertainment_1592670,73,customer,channel2,38,347.0,349.0,"That could work really well, actually."
en_AU_Entertainment_1592670,74,customer,channel2,39,349.0,352.0,My sister might be able to come up after Christmas.
en_AU_Entertainment_1592670,75,customer,channel2,40,352.0,354.0,"Hmm, okay."
en_AU_Entertainment_1592670,76,customer,channel2,41,354.0,358.0,"So what's the availability like, say for late December,"
en_AU_Entertainment_1592670,77,customer,channel2,42,358.0,364.0,maybe around the 28th or 29th?
en_AU_Entertainment_1592670,78,agent,channel1,36,360.4,363.4,"Yep, let me have a look for you."
en_AU_Entertainment_1592670,79,agent,channel1,37,363.4,371.4,"Okay, so Saturday the 28th of December, we have a matinee at 2pm and an evening show at 7.30pm."
en_AU_Entertainment_1592670,80,agent,channel1,38,371.4,377.4,"Both still have availability in the premium reserve section, so the current ticket section that you did book for."
en_AU_Entertainment_1592670,81,customer,channel2,43,376.0,389.0,"Perfect, okay."
en_AU_Entertainment_1592670,82,agent,channel1,39,377.4,384.4,"Sunday the 29th is only an evening performance at 6.30pm, and we've got availability."
en_AU_Entertainment_1592670,83,agent,channel1,40,384.4,387.4,"Yeah, we've got good availability for that one too."
en_AU_Entertainment_1592670,84,customer,channel2,44,389.0,390.0,That sounds really good.
en_AU_Entertainment_1592670,85,customer,channel2,45,390.0,399.0,"So the Saturday evening, I think he said on the 28th would probably be ideal."
en_AU_Entertainment_1592670,86,customer,channel2,46,399.0,405.0,"Hang on, let me just check my diary."
en_AU_Entertainment_1592670,87,customer,channel2,47,405.0,406.0,"Hang on a sec, Daniel."
en_AU_Entertainment_1592670,88,customer,channel2,48,406.0,408.0,"I'm just bringing out my diary, okay."
en_AU_Entertainment_1592670,89,agent,channel1,41,407.4,419.4,"Yep, that sounds absolutely lovely."
en_AU_Entertainment_1592670,90,customer,channel2,49,408.0,410.0,So we could actually make a whole day of it.
en_AU_Entertainment_1592670,91,customer,channel2,50,410.0,413.0,"Maybe grab lunch at the rocks beforehand, I'm thinking."
en_AU_Entertainment_1592670,92,customer,channel2,51,413.0,430.0,That could actually work really well.
en_AU_Entertainment_1592670,93,agent,channel1,42,419.4,422.4,"Like, as you know, the rocks is beautiful around this time of year."
en_AU_Entertainment_1592670,94,agent,channel1,43,422.4,425.4,All the Christmas decorations are still up.
en_AU_Entertainment_1592670,95,agent,channel1,44,425.4,429.4,"Everyone's still in quite a jolly mood, albeit a three kilos heavier."
en_AU_Entertainment_1592670,96,agent,channel1,45,429.4,435.4,"But before we process the exchange, I just need to let you know a couple of things."
en_AU_Entertainment_1592670,97,customer,channel2,52,430.0,450.0,"Okay, any fit cheaper?"
en_AU_Entertainment_1592670,98,agent,channel1,46,435.4,441.4,"If the tickets for the new date are the same price as what you paid, it's a straight exchange, so very simple."
en_AU_Entertainment_1592670,99,agent,channel1,47,441.4,449.4,"However, if they are more expensive, you would need to pay the difference."
en_AU_Entertainment_1592670,100,agent,channel1,48,449.4,453.4,Good question. Let me just have a quick check.
en_AU_Entertainment_1592670,101,customer,channel2,53,450.0,470.0,"Oh, brilliant."
en_AU_Entertainment_1592670,102,agent,channel1,49,453.4,458.4,"Yep, so if they're cheaper, we would actually credit the difference to your original payment method."
en_AU_Entertainment_1592670,103,agent,channel1,50,458.4,463.4,So let me just check the pricing for the 28th.
en_AU_Entertainment_1592670,104,agent,channel1,51,463.4,482.4,"Oh, Maria, this is great news. Actually, you're in luck. The ticket prices are exactly the same, $89 a ticket."
en_AU_Entertainment_1592670,105,customer,channel2,54,470.0,472.0,"Okay, that makes it easy then, doesn't it?"
en_AU_Entertainment_1592670,106,customer,channel2,55,472.0,475.0,"I mean, just out of curiosity though,"
en_AU_Entertainment_1592670,107,customer,channel2,56,475.0,478.0,what are the refund policy timelines?
en_AU_Entertainment_1592670,108,customer,channel2,57,478.0,482.0,"Like, say if I wanted to get my money back instead, how long would it take?"
en_AU_Entertainment_1592670,109,agent,channel1,52,482.4,485.4,"Sure, so let me explain how that works."
en_AU_Entertainment_1592670,110,agent,channel1,53,485.4,492.4,"Look, if you did decide to proceed with a refund, what would happen is we'd process it within five to seven days."
en_AU_Entertainment_1592670,111,agent,channel1,54,492.4,499.4,"However, depending on your bank, it can take an additional three to five business days for the funds to appear on the account."
en_AU_Entertainment_1592670,112,agent,channel1,55,499.4,506.4,"So you'd be looking at roughly two to three, two weeks in total, possibly a bit longer with the Christmas period."
en_AU_Entertainment_1592670,113,agent,channel1,56,506.4,513.4,"All of the public holidays, all of those bank holiday dates coming up."
en_AU_Entertainment_1592670,114,customer,channel2,58,509.0,514.0,"Yeah, it's kind of that time of year, isn't it?"
en_AU_Entertainment_1592670,115,customer,channel2,59,514.0,515.0,"Hmm, okay."
en_AU_Entertainment_1592670,116,customer,channel2,60,515.0,517.0,"Look, that's really good to know."
en_AU_Entertainment_1592670,117,customer,channel2,61,517.0,521.0,And is there a deadline for when I'd have to request the refund by?
en_AU_Entertainment_1592670,118,agent,channel1,57,523.4,532.4,"Yep, so as mentioned earlier on the call, for a standard ticket like yours, refund requests need to be made at least 48 hours before the performance."
en_AU_Entertainment_1592670,119,agent,channel1,58,532.4,540.4,So your original booking date was Saturday night show. The cutoff would be Thursday the 12th at 7.30pm.
en_AU_Entertainment_1592670,120,customer,channel2,62,538.0,547.0,"Okay, got it."
en_AU_Entertainment_1592670,121,agent,channel1,59,540.4,546.4,"Now, after that point, Maria, we can't process refunds even with the admin fee."
en_AU_Entertainment_1592670,122,customer,channel2,63,547.0,549.0,"So, yep."
en_AU_Entertainment_1592670,123,customer,channel2,64,549.0,551.0,I guess that'll make sense.
en_AU_Entertainment_1592670,124,customer,channel2,65,551.0,555.0,And same timeline for exchanges.
