call_id,channel,segment_id,start_time,end_time,text
en_AU_Health_1591707,channel1,1,0.0,19.12,"Good evening, welcome to Pet Binanza Warehouse, Richmond, this is Tom, how can I help you?"
en_AU_Health_1591707,channel1,2,60.0,78.0,"Yeah, I'm no worries at all. What was Taylor's registration number? Just so I can pull up her history here and take a look for you."
en_AU_Health_1591707,channel1,3,78.0,84.0,"Yeah, but just the last three will be okay."
en_AU_Health_1591707,channel1,4,84.0,90.0,Is that Taylor Pumpkin?
en_AU_Health_1591707,channel1,5,90.0,97.0,"Sorry, what type of breed is she? We've just recently updated our system and I don't think that's carried through."
en_AU_Health_1591707,channel1,6,114.0,120.0,"That must have been when we had our Pet Binanza cat adoption drive that year. Yes, I do remember that."
en_AU_Health_1591707,channel1,7,120.0,127.0,"Well, I'm sorry to hear that Taylor's not feeling too well. I'm just looking back through her medical history."
en_AU_Health_1591707,channel1,8,127.0,136.0,"Yeah, so it seems the last time that we saw her, she was an outdoor cat. I know that the laws have recently changed which prohibit cats from being outdoors at all times."
en_AU_Health_1591707,channel1,9,136.0,149.0,Did she remain indoors 24-7 these days?
en_AU_Health_1591707,channel1,10,149.0,163.0,"Okay, not a problem at all. It's mainly just to see if she is socialising with other cats just in case there was a risk of transmission from things getting picked up in the mainstream of Melbourne for these poor cats."
en_AU_Health_1591707,channel1,11,163.0,168.0,"So, and how long did you say that the cat would return for?"
en_AU_Health_1591707,channel1,12,193.0,220.0,"And do you notice a more active physical activity or is it at certain times of the day, perhaps evenings when things start to cool down or is it just sort of sporadic?"
en_AU_Health_1591707,channel1,13,220.0,234.0,"Well, South Seas Couch Potatoes is what I like to call them. So, is it sort of more of like an exasperated cause like she's struggling or it's just something persistent with pretty much any movement?"
en_AU_Health_1591707,channel1,14,251.0,272.0,"Yeah, well, I can see last time we did put her on a strict weight and free diet, which did seem to help. But then at the time she was an outdoor cat and then it looks like she contracted a type of kennel cough which has usually restricted more to dogs."
en_AU_Health_1591707,channel1,15,272.0,279.0,Is there a dog in your house?
en_AU_Health_1591707,channel1,16,279.0,290.0,"Okay, that's all right. Well, why don't we get Taylor booked in for a checkup ASAP? Of course these things don't get easier that often they get and given it has been some time since we've seen her."
en_AU_Health_1591707,channel1,17,290.0,300.0,We might as well do a routine checkup. We can even look at her teeth and just her overall health as well as checking out what's behind this pesky cough.
en_AU_Health_1591707,channel1,18,301.0,311.0,Not a problem. Did you have a time in mind when you would work for you?
en_AU_Health_1591707,channel1,19,311.0,322.0,"So we are up until nine o'clock each night. We also do have an emergency after hours care, although obviously that's traditionally reserved for emergency services for pets."
en_AU_Health_1591707,channel1,20,322.0,347.0,"However, yeah, anytime, seven days a week up until 9pm, we are booking up fairly quickly in the lead up to Christmas. So if you did want to get in on a weekend, probably within the next two weeks would be recommended."
en_AU_Health_1591707,channel1,21,347.0,363.0,"Okay, well if you just wanted to pick a date, I'll check my calendar this side and we can get it all booked in."
en_AU_Health_1591707,channel1,22,363.0,378.0,"Yep. Okay. Well, why don't we say 6.50pm tomorrow at our Richmond warehouse. We do ask you to arrive just 15 to 20 minutes early so we can get Taylor all settled as well as checked in just before her checkup."
en_AU_Health_1591707,channel1,23,378.0,391.0,And we do require prepayment. There is a $95 consultation fee and you can claim on the spot through your pet's health insurance as well if that's something that you do have.
en_AU_Health_1591707,channel1,24,391.0,412.0,"Yes, I do see that one here. Just so we can take that one securely, you will get an automated text message by 8am tomorrow morning. If you could just click on the link and prepay that one, you'll receive a confirmation code pretty much straight away."
en_AU_Health_1591707,channel1,25,413.0,433.0,Not a problem at all. So I've got to leave you details here. Just confirming Taylor is booked in for tomorrow night at Windsor branch. We've got your details on file here. You will also receive automatic follow up email from the vet just with everything that was discussed in the consultation as well.
en_AU_Health_1591707,channel1,26,434.0,443.0,"If Taylor does need to stay in overnight, we can absolutely organise that as well. Although going by the symptoms you've described, it's not sounding like that's going to be very likely."
en_AU_Health_1591707,channel1,27,447.0,453.0,"Great. Well, before I head off and lock this in for you, did you have any questions for me today?"
en_AU_Health_1591707,channel1,28,453.0,469.0,"Perfect. Oh well, thanks for getting in touch. I'm glad you did before it's to get too busy and of course for Taylor's sake. Otherwise, if there's nothing you need before tomorrow night, we'll look forward to seeing you at the Richmond location."
en_AU_Health_1591707,channel1,29,472.0,475.0,Not a problem. We'll see you tomorrow night. Thanks for calling.
en_AU_Health_1591707,channel1,30,483.0,485.0,Thank you.
en_AU_Health_1591707,channel2,1,0.0,26.4,"Hey Tom, my name's Laura, my cat Taylor comes to see you guys."
en_AU_Health_1591707,channel2,2,26.4,32.36,"We haven't been in for about, it's probably been about a year now, last time we were in"
en_AU_Health_1591707,channel2,3,32.36,39.72,"she had this really like pretty serious cough and it never went away, well I don't say never,"
en_AU_Health_1591707,channel2,4,39.72,45.84,"it was about two months that she was coughing and we came in, we did a bunch of tests and"
en_AU_Health_1591707,channel2,5,45.84,50.24,then we finally gave her some medication and the cough went away.
en_AU_Health_1591707,channel2,6,50.24,55.08,So it's probably been a year as I was saying and the cough has kind of come back.
en_AU_Health_1591707,channel2,7,55.08,59.32,So I just kind of wanted to bring her in and see what's going on.
en_AU_Health_1591707,channel2,8,59.32,65.56,"I'm assuming it's the same thing as last time, but yeah we'd love to come in and just be"
en_AU_Health_1591707,channel2,9,65.56,68.52,sure and grab some medication if needed.
en_AU_Health_1591707,channel2,10,68.52,78.68,Is that the six digit number?
en_AU_Health_1591707,channel2,11,79.64,89.64,"Okay cool, yeah it's 368."
en_AU_Health_1591707,channel2,12,89.64,98.64,Yes.
en_AU_Health_1591707,channel2,13,98.64,105.92,"We actually got her from there, she's a long-haired cat, I'm not really sure, she's not anything"
en_AU_Health_1591707,channel2,14,105.92,113.04,"too exotic, we adopted her from there so yeah."
en_AU_Health_1591707,channel2,15,136.92,144.8,"Yeah, yeah she's definitely indoors, she's a bit older now so I don't even know if she'd"
en_AU_Health_1591707,channel2,16,144.8,148.8,"get much, get out too far if she tried to go outside anyways."
en_AU_Health_1591707,channel2,17,166.92,174.52,"Look, she's been coughing for about a week now, so obviously I didn't want to wait as long"
en_AU_Health_1591707,channel2,18,174.52,182.44,"as last time so that she's constantly coughing kind of happens say about two, three times"
en_AU_Health_1591707,channel2,19,182.44,187.56,a day that we kind of noticed that she'll get up and she's just coughing and it's very
en_AU_Health_1591707,channel2,20,187.56,193.16,"like dry, raspy kind of cough, she doesn't cough anything up so it's not like it's"
en_AU_Health_1591707,channel2,21,193.16,200.16,"a hairball or something like that, she just coughs."
en_AU_Health_1591707,channel2,22,206.92,212.44,"It's pretty random, she's not a very active cat, like most cats they you know sleep pretty"
en_AU_Health_1591707,channel2,23,212.44,218.68,"much all day and night it feels like, but yeah she's not doing too much so it's kind of"
en_AU_Health_1591707,channel2,24,218.68,225.68,just really random.
en_AU_Health_1591707,channel2,25,235.52,241.72,"It does sound like she's struggling a little bit, it's pretty much the same as last time"
en_AU_Health_1591707,channel2,26,241.72,247.8,"when she was coughing, I'm not sure exactly what the diagnosis was or anything like that"
en_AU_Health_1591707,channel2,27,247.88,254.16,"but I think it had something to do partly with allergies, but yeah it does sound like she's"
en_AU_Health_1591707,channel2,28,254.16,261.16,"struggling a little bit, I imagine it to like humans with asthma."
en_AU_Health_1591707,channel2,29,261.16,269.16,"No, just the one cat that's all we've got."
en_AU_Health_1591707,channel2,30,292.16,299.16,"Yeah, that sounds really good, thank you."
en_AU_Health_1591707,channel2,31,305.16,312.16,"Yeah, so what's kind of the latest you're open?"
en_AU_Health_1591707,channel2,32,321.16,328.16,"Look, the fact that you're open pretty late is amazing, anytime after 4pm is good midweek"
en_AU_Health_1591707,channel2,33,328.16,335.16,and then anytime on the weekend would work.
en_AU_Health_1591707,channel2,34,336.16,342.16,"Yeah, first one available to be honest, I want to get her in as soon as possible, so I'm"
en_AU_Health_1591707,channel2,35,342.16,346.16,going to get her in as soon as possible.
en_AU_Health_1591707,channel2,36,346.16,353.16,"I'm going to get her in as soon as possible, I'm going to get her in as soon as possible."
en_AU_Health_1591707,channel2,37,354.16,359.16,"Yeah, first one available to be honest, I want to get her in as soon as possible, so say tomorrow"
en_AU_Health_1591707,channel2,38,359.16,366.16,"would be fantastic and if not, just the first time after that."
en_AU_Health_1591707,channel2,39,383.16,398.16,"Yeah, another problem, I'm happy to do that, there should be a card on files still I believe."
en_AU_Health_1591707,channel2,40,413.16,417.16,"Okay, wonderful, that sounds good."
en_AU_Health_1591707,channel2,41,444.16,455.16,"Okay, perfect, that sounds really good, thank you."
en_AU_Health_1591707,channel2,42,455.16,470.16,"No, that was it."
en_AU_Health_1591707,channel2,43,471.16,476.16,"Yeah, that sounds great, thank you so much."
en_AU_Health_1591707,channel2,44,476.16,481.16,"Thanks, bye."
