call_id,channel,segment_id,start_time,end_time,text
en_AU_Insurance_1586372,channel1,1,0.0,18.0,"Hi, thanks for calling R&CB Insurance, how can I help you?"
en_AU_Insurance_1586372,channel1,2,18.0,29.0,"Yeah, I should be able to, sorry, are you the policy holder?"
en_AU_Insurance_1586372,channel1,3,29.0,36.0,"You are the policy holder, and okay, yeah, we can help you with that."
en_AU_Insurance_1586372,channel1,4,36.0,42.0,Just give me one second so I can bring your policy up.
en_AU_Insurance_1586372,channel1,5,42.0,45.0,Do you have your policy number on you?
en_AU_Insurance_1586372,channel1,6,46.0,48.0,"Okay, what's your policy number?"
en_AU_Insurance_1586372,channel1,7,54.0,56.0,42190?
en_AU_Insurance_1586372,channel1,8,59.0,61.0,"Jenny, was it?"
en_AU_Insurance_1586372,channel1,9,61.0,63.0,"Yeah, okay."
en_AU_Insurance_1586372,channel1,10,63.0,66.0,"Alright, thanks Jenny, I've got your policy here."
en_AU_Insurance_1586372,channel1,11,66.0,78.0,"Can you explain the circumstances, what happened, where was it, and what you are claiming today?"
en_AU_Insurance_1586372,channel1,12,96.0,113.0,"Oh wow, so that might be the case for a write-off, but okay, was there a police at the incident?"
en_AU_Insurance_1586372,channel1,13,113.0,115.0,Yeah.
en_AU_Insurance_1586372,channel1,14,116.0,122.0,"Right, okay, okay, are you feeling okay?"
en_AU_Insurance_1586372,channel1,15,122.0,125.0,Was there all the passengers were fine?
en_AU_Insurance_1586372,channel1,16,125.0,131.0,"Okay, so did you receive any police reports?"
en_AU_Insurance_1586372,channel1,17,136.0,141.0,"Okay, that's fine."
en_AU_Insurance_1586372,channel1,18,141.0,146.0,"Okay, alright, so what will happen is we have two options."
en_AU_Insurance_1586372,channel1,19,146.0,150.0,Our preferred option is for you to actually go online.
en_AU_Insurance_1586372,channel1,20,150.0,156.0,What I can do is send you an email with the link where you will create an incident report.
en_AU_Insurance_1586372,channel1,21,156.0,161.0,What you will do is you will put all the information you just mentioned.
en_AU_Insurance_1586372,channel1,22,161.0,163.0,You will need to attach some documents.
en_AU_Insurance_1586372,channel1,23,163.0,180.0,People will ask you for photos if you have photos of the incident as well as photos of the other parties involved like the number plates or the driver's license if you did take any of those.
en_AU_Insurance_1586372,channel1,24,180.0,185.0,And at some stage it will also ask for the police report.
en_AU_Insurance_1586372,channel1,25,185.0,198.0,"So you will need to attach all of those to your application and then once we receive it, we will start the review process."
en_AU_Insurance_1586372,channel1,26,198.0,207.0,"You have the comprehensive insurance, so you will be covered, but you have two options here."
en_AU_Insurance_1586372,channel1,27,207.0,213.0,"Since you were not at fault, it really depends what the other party would do."
en_AU_Insurance_1586372,channel1,28,213.0,215.0,You are saying they were drunk.
en_AU_Insurance_1586372,channel1,29,215.0,225.0,I don't know whether you agreed on any processes with them or you just decided to go ahead with your own insurance.
en_AU_Insurance_1586372,channel1,30,225.0,233.0,Because what will happen from here is you could claim it through the other party's insurance if you wish.
en_AU_Insurance_1586372,channel1,31,233.0,250.0,"But if you want to go ahead, what we will do is if we can receive the contact information the other party involved, we can try and recoup your access fees through them."
en_AU_Insurance_1586372,channel1,32,250.0,252.0,"Okay, that's not a problem at all."
en_AU_Insurance_1586372,channel1,33,252.0,259.0,"Yeah, but what that means is we will charge you for the access and then we will try to recoup that down the track."
en_AU_Insurance_1586372,channel1,34,259.0,270.0,"There is a slight risk that if you can't find them, the process might take a lot longer until we can get hold of them and receive the payment."
en_AU_Insurance_1586372,channel1,35,270.0,276.0,And that's where you will receive the refund on the access that you have paid us.
