call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Energy_1587318,1,agent,channel1,1,0.0,17.56,"Good morning, thank you for calling GreenFlow Energy, this is Michelle speaking, how may",positive,0.9412,False,False,False,False,False
en_CA_Energy_1587318,2,customer,channel2,1,0.0,25.76,I'm Michelle. Good morning. My name is John. I just moved into a new home and I went to,positive,0.6036,False,False,False,False,False
en_CA_Energy_1587318,3,agent,channel1,2,17.56,40.32,"I help you today? Yeah, absolutely John, congrats on your new home, you're right, an energy audit",positive,0.9652,False,False,True,False,False
en_CA_Energy_1587318,4,customer,channel2,2,25.76,32.8,schedule a home energy audit. I've heard it's a good first step before installing solar panel.,positive,0.6738,False,False,False,False,False
en_CA_Energy_1587318,5,customer,channel2,3,32.8,59.68,It's a 126 maple grove lane in Riverview.,neutral,0.9294,False,False,False,False,False
en_CA_Energy_1587318,6,agent,channel1,3,40.32,46.56,is a great way to understand how efficiently your home uses energy before deciding on solar,positive,0.6912,False,False,False,False,False
en_CA_Energy_1587318,7,agent,channel1,4,46.56,61.4,"panel installation. Can I have your full address to check audit availability in your area? Oh,",neutral,0.8984,False,False,True,False,False
en_CA_Energy_1587318,8,agent,channel1,5,61.4,71.84,"got it. Okay, let me pull up your area schedule. Okay, we have so there's an opening next Wednesday",neutral,0.7507,False,False,False,False,False
en_CA_Energy_1587318,9,customer,channel2,4,62.8,79.68,Right afternoon would be perfect.,positive,0.9658,False,False,False,False,False
en_CA_Energy_1587318,10,agent,channel1,6,71.92,83.76,"at 10am or Friday at 2pm, which would work better for you? Great, so I booked you for Friday",positive,0.9084,False,False,True,False,False
en_CA_Energy_1587318,11,agent,channel1,7,83.76,91.4,"at 2pm, you'll receive a confirmation email shortly after our call. So the audit usually",neutral,0.8751,False,False,False,False,False
en_CA_Energy_1587318,12,agent,channel1,8,91.4,98.6,"takes about 60 to 90 minutes, and one of our certified energy specialists will he'll look",neutral,0.8169,False,False,False,False,False
en_CA_Energy_1587318,13,customer,channel2,5,92.8,115.12,"Yes, please. I'd like to know what to expect.",neutral,0.5068,False,False,False,False,False
en_CA_Energy_1587318,14,agent,channel1,9,98.6,105.12,"at your insulation, appliances, windows and heating systems and see if there's any energy loss or",neutral,0.7499,False,False,False,False,False
en_CA_Energy_1587318,15,agent,channel1,10,105.12,111.6,inefficiencies. Would you like me to explain what happens during the audit in a bit more detail?,neutral,0.9233,False,False,True,False,False
en_CA_Energy_1587318,16,agent,channel1,11,111.6,124.4,"Yeah, sure. So during the audit, the technician uses special tools like a blower door test",neutral,0.8636,False,False,False,False,False
en_CA_Energy_1587318,17,customer,channel2,6,122.8,152.72,"Hmm, that sounds good. Okay, speaking of solar panels,",positive,0.9181,False,False,False,False,False
en_CA_Energy_1587318,18,agent,channel1,12,124.6,130.88,"and infrared cameras to detect heat leaks. So they're also going to look at your furnace,",neutral,0.8851,False,False,False,False,False
en_CA_Energy_1587318,19,agent,channel1,13,130.88,137.28,"water heater and any air conditioning units, then after you'll get a full report with recommendations.",neutral,0.914,False,False,False,False,False
en_CA_Energy_1587318,20,agent,channel1,14,137.28,144.12,"So some might be simple fixes like adding weather stripping, but others could be upgrades like",neutral,0.8431,False,False,False,False,False
en_CA_Energy_1587318,21,agent,channel1,15,144.12,162.2,"switching to energy efficient lighting or installing solar panels. Yeah, we do. So we partner with",neutral,0.7327,False,False,False,False,False
en_CA_Energy_1587318,22,customer,channel2,7,152.72,158.48,I want to ask about installation. Does the green floor handle that too?,neutral,0.9334,False,False,False,False,False
en_CA_Energy_1587318,23,agent,channel1,16,162.2,169.96,certified solar technicians to provide a complete solar installation service. So once your energy,neutral,0.6403,False,False,False,False,False
