call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Travel_1593612,1,agent,channel1,1,0.0,17.92,"Good morning, thank you for calling Darling Husky Resorts.",positive,0.9504,False,False,False,False,False,17.92,0.030733,0.436523,-30.248,0.081622,1459.837,271.556,135.681,0.502,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,2,customer,channel2,1,0.0,29.84,"Hi Filomena, my name is Sally, um, I'm planning a ski trip",neutral,0.6255,False,False,False,False,False,29.84,0.022663,0.359344,-32.894,0.067758,1435.23,298.174,129.397,0.402,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,3,agent,channel1,2,17.92,21.76,"This is Philomena speaking, how can I assist you today?",neutral,0.8558,False,False,True,False,False,3.84,0.042845,0.424622,-27.362,0.269967,2681.382,177.313,95.463,2.604,low,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Travel_1593612:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,4,customer,channel2,2,29.84,37.28,"for my family. I've got two beautiful daughters and one son. Um, and I wanted to book a ski resort",positive,0.9524,False,False,False,False,False,7.44,0.062008,0.414825,-24.151,0.130669,1375.889,174.471,76.352,2.688,medium,high,medium,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,5,agent,channel1,3,30.0,48.4,"Of course, I'd be happy to assist with your ski trip. Can you tell me the ages of your children please?",positive,0.8674,False,False,True,False,False,18.4,0.030536,0.484253,-30.304,0.122772,1878.831,247.112,136.447,1.141,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Travel_1593612:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,6,customer,channel2,3,37.28,40.56,"package for us with you. Um, can you help me with that?",neutral,0.8122,False,False,False,False,False,3.28,0.058901,0.54892,-24.598,0.146646,1539.04,168.873,88.302,3.659,medium,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,7,customer,channel2,4,50.08,58.72,"So I've got two beautiful twins. Um, they're 10, both 10, both the girls are 10. They're lovely.",positive,0.9869,False,False,False,False,False,8.64,0.061197,0.556946,-24.265,0.127463,1459.715,179.203,80.913,2.083,medium,medium,medium,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,8,customer,channel2,5,58.72,68.4,"They're Alan Charlotte and my son, he's five. His name, his name is Ben. He's a bit of a ratbag, but",neutral,0.5308,False,False,False,False,False,9.68,0.062411,0.630768,-24.095,0.13299,1602.02,170.799,79.832,2.169,medium,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,9,agent,channel1,4,60.0,89.84,"Absolutely, so for a party of five, can you advise on the approximate date you're wanting to book for?",neutral,0.8633,False,False,True,False,False,29.84,0.025055,0.672272,-32.022,0.067021,1483.609,288.674,138.394,0.637,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Travel_1593612:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,10,customer,channel2,6,68.4,76.48,"you know, still a bit of an angel. Um, and I've also got my husband, I forgot to mention my husband,",positive,0.8847,False,False,False,False,False,8.08,0.061343,0.670227,-24.245,0.162623,1743.8,170.926,91.969,2.599,medium,medium,medium,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,11,customer,channel2,7,76.48,84.16,"bloody old Roger. Anyway, um, yeah, I think that's what I was meant to tell you.",negative,0.6116,False,False,False,False,False,7.68,0.063978,0.999969,-23.879,0.133785,1539.024,188.962,105.08,2.083,medium,medium,medium,False,False,False,False,False,negative,medium,20,negative customer sentiment | medium customer vocal intensity,low,CUST_NEGATIVE_SENTIMENT|CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,12,customer,channel2,8,88.72,94.88,I think I'm going to book for,neutral,0.8037,False,False,False,False,False,6.16,0.038744,0.610382,-28.236,0.121817,1610.627,235.044,132.861,1.136,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,13,agent,channel1,5,90.0,110.24,"Absolutely, early August. I can have a look at potential dates, but maybe something from",neutral,0.6772,False,False,False,False,False,20.24,0.031094,0.328766,-30.147,0.080541,1458.797,269.445,133.493,0.741,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,14,customer,channel2,9,97.12,106.56,"a wake in August, early August, I think.",neutral,0.9227,False,False,False,False,False,9.44,0.036121,0.51944,-28.845,0.103019,1472.026,263.113,135.894,0.847,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,15,customer,channel2,10,106.56,120.4,"Yeah, that sounds good. Pull out the school, the kids from school for a week. You know the drill.",positive,0.4594,False,False,False,False,False,13.84,0.037249,0.543549,-28.578,0.09252,1443.382,264.379,132.823,1.373,low,medium,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:15,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,16,agent,channel1,6,110.24,123.52,"about the third until the ninth? Certainly, let me check the availability for your dates.",neutral,0.8775,False,False,True,True,False,13.28,0.044638,0.613617,-27.006,0.129457,1680.42,231.588,127.23,1.13,low,low,medium,False,False,True,True,False,neutral,low,0,agent probing question detected | agent ownership detected,low,AGENT_PROBING|AGENT_OWNERSHIP,en_AU_Travel_1593612:turn:16,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,17,agent,channel1,7,125.12,130.64,"So we have several ski packages that we offer for our family. We have our family ski package,",neutral,0.6637,False,False,False,False,False,5.52,0.084874,0.824646,-21.424,0.219557,2097.636,158.895,83.882,3.261,high,high,low,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:17,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,18,agent,channel1,8,130.64,136.72,"which includes lodging, lift tickets, equipment rental and lessons. Would you like more information",neutral,0.9351,False,False,False,False,False,6.08,0.066774,0.588867,-23.508,0.206221,2134.751,185.984,85.305,2.303,medium,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:18,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,19,customer,channel2,11,136.56,150.4,"Yeah, that'd be great. Thank you.",positive,0.9804,False,False,False,False,False,13.84,0.013264,0.353729,-37.546,0.054688,1247.148,298.952,132.609,0.434,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:19,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,20,agent,channel1,9,136.72,140.08,on that package as I believe that's the one best suited for you?,neutral,0.6497,False,False,True,False,False,3.36,0.051123,0.555969,-25.828,0.220418,2202.435,176.063,86.705,3.869,low,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Travel_1593612:turn:20,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,21,agent,channel1,10,144.16,149.12,"Absolutely, so our family ski package includes lodging, so you'll get to stay one of our crazy",positive,0.8786,False,False,False,False,False,4.96,0.075396,0.799744,-22.453,0.232488,2324.288,167.86,72.21,3.427,high,high,low,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:21,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,22,agent,channel1,11,149.12,157.36,"mountain view cabins, which can accommodate up to four people. So we also have the lift ticket,",neutral,0.6679,False,False,False,False,False,8.24,0.070031,0.944946,-23.094,0.178291,1869.783,180.789,81.998,2.063,medium,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:22,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,23,agent,channel1,12,157.36,162.72,"so this includes a five-day lift ticket for the entire family, so everyone can ski",neutral,0.6059,False,False,False,False,False,5.36,0.054288,0.553528,-25.306,0.256531,2530.748,168.919,88.497,2.799,low,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:23,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,24,agent,channel1,13,163.28,168.96,as much as they like. It includes equipment rental. We provide either ski or snowboarding,neutral,0.558,False,False,False,False,False,5.68,0.064868,0.391479,-23.759,0.179298,1874.443,178.489,81.366,2.641,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:24,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,25,customer,channel2,12,166.56,180.4,Yeah.,neutral,0.5798,False,False,False,False,False,13.84,0.000108,0.005981,-79.307,0.031252,1147.427,328.921,127.364,0.072,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:25,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,26,agent,channel1,14,168.96,176.72,"rentals for everyone in your family, including helmets, skis, poles and boots of all ages.",neutral,0.7861,False,False,False,False,False,7.76,0.063548,0.448547,-23.938,0.173981,1790.712,168.561,83.17,1.933,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:26,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,27,agent,channel1,15,176.72,183.28,This package also includes a two-hour group lesson for the children. We also offer private lessons,neutral,0.6962,False,False,False,False,False,6.56,0.071315,0.614349,-22.936,0.219279,2185.492,172.352,80.534,2.439,medium,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:27,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,28,customer,channel2,13,181.36,200.24,"Look, love, I want to put the kids in ski lessons for all days. Is that possible at all?",positive,0.8313,False,False,False,False,False,18.88,0.0374,0.67041,-28.543,0.06986,1251.353,265.683,137.038,1.006,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Travel_1593612:turn:28,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,29,agent,channel1,16,183.28,188.0,for adults if you're interested. This package is a great value because it bundles everything,positive,0.9482,False,False,False,False,False,4.72,0.073177,0.637207,-22.713,0.18171,1983.864,182.76,85.351,3.178,high,high,medium,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:29,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Travel_1593612,30,agent,channel1,17,188.0,200.8,"you'd need for a seamless experience. Absolutely, that will occur an additional cost,",neutral,0.6055,False,False,False,False,False,12.8,0.074563,0.990936,-22.55,0.149867,1864.0,236.461,136.585,1.016,high,low,high,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Travel_1593612:turn:30,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
