call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Health_1593611,1,agent,channel1,1,0.0,19.8,"Hello, thank you for calling HealthWorks.",positive,0.789,False,False,False,False,False,19.8,0.0195,0.43277,-34.199,0.148286,2052.316,228.126,142.066,0.303,low,low,medium
en_AU_Health_1593611,2,customer,channel2,1,0.0,29.92,Hi Jenny. My name is Ella. I just wanted to schedule an appointment.,neutral,0.827,False,False,False,False,False,29.92,0.017653,0.346313,-35.064,0.085972,1517.19,276.119,139.588,0.434,low,low,high
en_AU_Health_1593611,3,agent,channel1,2,19.8,23.52,"This is Jenny speaking, how can I assist you today?",neutral,0.9291,False,False,True,False,False,3.72,0.063206,0.508972,-23.985,0.250785,2586.97,194.905,69.393,2.688,medium,high,medium
en_AU_Health_1593611,4,customer,channel2,2,29.92,36.0,for my flu vaccination and probably maybe my COVID vaccination. Do you have any availability of the,neutral,0.9326,False,False,False,False,False,6.08,0.061472,0.495819,-24.226,0.125399,1321.799,186.125,94.038,2.796,medium,high,medium
en_AU_Health_1593611,5,agent,channel1,3,30.0,52.92,"Absolutely, and was it just flu and COVID-19 vaccinations as we offer a wide variety of vaccinations?",neutral,0.8811,False,False,True,False,False,22.92,0.043421,0.754669,-27.246,0.160591,1985.385,219.459,125.491,0.742,low,low,medium
en_AU_Health_1593611,6,customer,channel2,3,36.0,51.84,"next couple of days? Oh, what vaccinations do you offer?",neutral,0.9296,False,False,False,False,False,15.84,0.040602,0.686432,-27.829,0.080624,1372.39,278.889,137.22,0.631,low,low,high
en_AU_Health_1593611,7,agent,channel1,4,52.92,68.28,"It's sort of dependent if any sort of situations, if you need catch-ups or if you're behind or if you're travelling based on what your personal circumstances are would be dependent on what you need.",neutral,0.8213,False,False,False,False,False,15.36,0.053894,0.674896,-25.369,0.174797,1934.165,191.846,73.275,2.279,medium,high,medium
en_AU_Health_1593611,8,customer,channel2,4,59.92,75.12,I think I just need flu and COVID to be honest with you. I just thought I could get stabbed,negative,0.8522,False,False,False,False,False,15.2,0.03498,0.569794,-29.124,0.076308,1315.406,273.62,135.234,1.316,low,medium,high
en_AU_Health_1593611,9,customer,channel2,5,75.12,91.04,more times with the shots. But I think flu and COVID would be great.,positive,0.8074,False,False,False,False,False,15.92,0.065786,1.0,-23.637,0.112635,1421.435,237.987,127.671,0.879,medium,low,high
en_AU_Health_1593611,10,agent,channel1,5,83.92,87.92,"Absolutely, we do offer those.",positive,0.563,False,False,False,False,False,4.0,0.089593,0.987732,-20.954,0.188415,2252.461,190.436,106.22,1.25,high,low,medium
en_AU_Health_1593611,11,agent,channel1,6,87.92,90.92,So we've got several openings this week.,neutral,0.6526,False,False,False,False,False,3.0,0.070905,0.782593,-22.986,0.269173,2511.012,168.664,85.01,2.333,high,high,low
en_AU_Health_1593611,12,agent,channel1,7,90.92,102.92,So we have an opening on Wednesday at quarter past 10 or we have 2.30.,neutral,0.9504,False,False,False,False,False,12.0,0.057892,0.547272,-24.748,0.205233,2137.042,186.908,89.26,1.25,medium,low,medium
en_AU_Health_1593611,13,agent,channel1,8,103.92,108.92,"And we've also got appointment times, anything after four till seven.",neutral,0.8561,False,False,False,False,False,5.0,0.080085,0.700806,-21.929,0.203001,2145.362,185.764,67.253,2.2,high,medium,medium
en_AU_Health_1593611,14,customer,channel2,6,105.12,125.52,"Hmm, only thing for a second. I've got a few things going on this week. Let me just check the calendar.",neutral,0.8541,False,False,False,False,False,20.4,0.038662,0.62262,-28.254,0.081991,1300.495,259.429,132.876,1.029,low,low,high
en_AU_Health_1593611,15,agent,channel1,9,108.92,112.92,"Otherwise, we've got some availability Thursday and Friday.",neutral,0.5256,False,False,False,False,False,4.0,0.06472,0.486572,-23.779,0.16593,1703.844,182.435,69.016,2.0,medium,medium,low
en_AU_Health_1593611,16,agent,channel1,10,112.92,115.92,Do any of these times suit you?,neutral,0.8827,False,False,True,False,False,3.0,0.038348,0.2677,-28.325,0.190876,1913.502,204.709,96.477,2.333,low,high,medium
en_AU_Health_1593611,17,agent,channel1,11,115.92,136.92,"Yeah, if you just bear with me, I'll check our system.",neutral,0.6366,False,False,False,False,False,21.0,0.022326,0.431335,-33.024,0.085633,1418.788,286.802,134.715,0.524,low,low,high
en_AU_Health_1593611,18,customer,channel2,7,126.32,131.12,Do you have any like Thursday 4pm?,neutral,0.9445,False,False,False,False,False,4.8,0.128664,0.911926,-17.811,0.123784,1432.878,195.547,106.705,1.458,high,medium,medium
en_AU_Health_1593611,19,agent,channel1,12,136.92,141.92,I could do quarter past four on Thursday.,neutral,0.6287,False,False,False,False,False,5.0,0.100884,0.999969,-19.924,0.169362,1847.36,217.225,97.253,1.6,high,medium,medium
en_AU_Health_1593611,20,customer,channel2,8,143.44,147.68,"Quarter past four on Thursday? Yeah, that sounds good. Does it take long?",positive,0.8492,False,False,False,False,False,4.24,0.076409,0.828461,-22.337,0.124901,1544.567,204.793,74.962,3.066,high,high,medium
en_AU_Health_1593611,21,agent,channel1,13,146.92,154.92,"So because you're receiving two different vaccinations, we will take approximately 20 minutes.",neutral,0.9037,False,False,False,False,False,8.0,0.107062,0.999969,-19.407,0.168251,1931.768,193.519,96.286,1.625,high,medium,medium
en_AU_Health_1593611,22,agent,channel1,14,154.92,160.92,"However, we do have you sit just 15 minutes afterwards just to monitor for any side effects.",neutral,0.9048,False,False,True,False,False,6.0,0.0688,0.731018,-23.248,0.271173,2611.618,168.763,83.08,2.833,medium,high,low
en_AU_Health_1593611,23,customer,channel2,9,156.16,172.16,"Okay, who would have thought being stabbed in the arm by a nurse would get you 15 extra minutes in the",negative,0.8433,False,False,False,False,False,16.0,0.048219,0.632355,-26.336,0.080893,1327.165,237.125,132.923,1.312,medium,medium,medium
