call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Energy_1586372,1,agent,channel1,1,0.0,10.0,"Hi, thanks for contacting Origin Energy. My name is Emily Her. Can I help you today?"
en_AU_Energy_1586372,2,customer,channel2,1,0.0,15.28,"Hi, my name is Jenny and I'm just moving to a new address and I'm looking at getting electricity"
en_AU_Energy_1586372,3,agent,channel1,2,10.0,26.52,"Hi, Jenny. Yeah, sure. I can definitely help you with that. Can I ask if you would like"
en_AU_Energy_1586372,4,customer,channel2,2,15.28,34.28,"into my house. And I was wondering if you could help me with that? Oh no, I'd like to be a"
en_AU_Energy_1586372,5,agent,channel1,3,26.52,35.96,"to transfer to your new home, your existing energy, or you are a new customer? New customer,"
en_AU_Energy_1586372,6,customer,channel2,3,34.28,61.28,"new customer, please. At the moment it's the only one. We're just doing it slowly, yep."
en_AU_Energy_1586372,7,agent,channel1,4,35.96,42.92,"okay. So for new customers, we'll need to set up your account and we have a couple of options here"
en_AU_Energy_1586372,8,agent,channel1,5,42.92,50.36,"that you can choose from. But before I proceed with that, electricity is the only connection that"
en_AU_Energy_1586372,9,agent,channel1,6,50.44,64.04,"you're after today. Okay, no problem. So I will need to receive some information from you. Can"
en_AU_Energy_1586372,10,customer,channel2,4,62.28,86.28,"Yeah, it's Jennifer Carol O'Brien. Oh, it will be yes. Yes."
en_AU_Energy_1586372,11,agent,channel1,7,64.04,73.72,you please come from your full name for me? Yep. And you will be the account holder.
en_AU_Energy_1586372,12,agent,channel1,8,74.12,82.92,The solar. Yep. Okay. Yep. And what is your residential address? Is that a residential
en_AU_Energy_1586372,13,agent,channel1,9,82.92,87.56,"address that you are connecting? I said you knew your home. Yeah. Okay, what's the full address,"
en_AU_Energy_1586372,14,customer,channel2,5,86.28,101.28,"It will be 31 David Street, Sydney. 41225."
en_AU_Energy_1586372,15,agent,channel1,10,87.56,109.32,"please? What's the post coming? Okay, thank you so much. And what's your best contact number, Jenny?"
en_AU_Energy_1586372,16,customer,channel2,6,101.28,118.28,04 419 2514. Yeah.
en_AU_Energy_1586372,17,agent,channel1,11,109.32,126.2,"Yeah. 2514, was it? Okay. And would you like us to put your email address on the account?"
en_AU_Energy_1586372,18,customer,channel2,7,118.28,129.28,"Yeah. Um, yes, please. Yes, yes."
en_AU_Energy_1586372,19,agent,channel1,12,126.2,146.52,"Yeah. Okay, what's your email address? Yep. Yep. Yep. Okay, fantastic. Thank you so much."
en_AU_Energy_1586372,20,customer,channel2,8,129.28,143.28,"It's Jenny, all lower cases, triple one, 2018 at Outlock.com."
en_AU_Energy_1586372,21,agent,channel1,13,147.16,156.92,"And can I also receive, can I also confirm that you wouldn't have any additional"
en_AU_Energy_1586372,22,agent,channel1,14,158.36,170.28,"account holders here? All right, that's not a problem. I will need to also check with you if"
en_AU_Energy_1586372,23,customer,channel2,9,160.28,175.28,"No, yeah, no, it's just me."
en_AU_Energy_1586372,24,agent,channel1,15,170.36,174.68,you have any assisted medical equipment in the house.
en_AU_Energy_1586372,25,customer,channel2,10,175.28,181.28,I do. I have a make alarm. Yeah.
en_AU_Energy_1586372,26,agent,channel1,16,178.76,188.6,Yeah. Okay. All right. So we just need to make a note of that in case of any emergencies and
en_AU_Energy_1586372,27,agent,channel1,17,188.6,200.36,any outages. All right. Okay. The good news is there is service available in your area and we
en_AU_Energy_1586372,28,agent,channel1,18,200.36,210.28,can go ahead with this connection. I just need to get some more details from you. So when would
en_AU_Energy_1586372,29,customer,channel2,11,205.28,234.28,"Um, well, we move in on Wednesday. So I would really like it available the day before, so Tuesday, the next Tuesday, so the fifth of November."
en_AU_Energy_1586372,30,agent,channel1,19,210.36,220.36,you like the electricity to be available at your new address? Sure.
en_AU_Energy_1586372,31,agent,channel1,20,228.12,232.84,That's not a problem at all. We can actually connect them as soon as like this afternoon for
en_AU_Energy_1586372,32,agent,channel1,21,232.84,240.04,"you. So next Tuesday, I will put that as your connection. So your billings will start from the"
en_AU_Energy_1586372,33,customer,channel2,12,234.28,247.28,Okay. Yeah.
en_AU_Energy_1586372,34,agent,channel1,22,240.04,258.12,"fifth and yeah, sure. There is, but it's very minimal. It's about $12 for the installation"
en_AU_Energy_1586372,35,customer,channel2,13,247.28,260.28,"Um, just a question, sorry. Are there any installation charges?"
en_AU_Energy_1586372,36,agent,channel1,23,258.12,267.32,and it's a one-off fee. This will get added to your first bill and then from there on and there
en_AU_Energy_1586372,37,customer,channel2,14,260.28,265.28,"Okay, cool. No, that's all right."
en_AU_Energy_1586372,38,customer,channel2,15,265.28,271.28,"Oh, yeah."
en_AU_Energy_1586372,39,agent,channel1,24,267.32,284.52,won't be any other charges on that. Yes. So our billing services is done on a quarterly basis
en_AU_Energy_1586372,40,customer,channel2,16,271.28,300.28,"Um, just about the billing cycles. How does it present itself like? How does it go?"
