call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Energy_1586372,1,agent,channel1,1,0.0,10.0,"Hi, thanks for contacting Origin Energy. My name is Emily Her. Can I help you today?",positive,0.6995,False,False,True,False,False,10.0,0.045364,0.516174,-26.866,0.06727,1197.963,252.717,116.359,1.6,medium,medium,medium,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Energy_1586372:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,2,customer,channel2,1,0.0,15.28,"Hi, my name is Jenny and I'm just moving to a new address and I'm looking at getting electricity",neutral,0.8434,False,False,False,False,False,15.28,0.025279,0.277771,-31.945,0.086971,1604.128,271.811,123.911,1.243,low,medium,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Energy_1586372:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,3,agent,channel1,2,10.0,26.52,"Hi, Jenny. Yeah, sure. I can definitely help you with that. Can I ask if you would like",positive,0.8009,False,False,False,False,False,16.52,0.049574,0.349945,-26.095,0.057646,1171.167,288.321,117.888,1.09,medium,medium,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Energy_1586372:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,4,customer,channel2,2,15.28,34.28,"into my house. And I was wondering if you could help me with that? Oh no, I'd like to be a",neutral,0.5944,False,False,False,False,False,19.0,0.020134,0.455902,-33.921,0.059577,1352.837,279.0,136.572,1.105,low,medium,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Energy_1586372:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,5,agent,channel1,3,26.52,35.96,"to transfer to your new home, your existing energy, or you are a new customer? New customer,",neutral,0.9251,False,False,True,False,False,9.44,0.060034,0.502228,-24.432,0.087967,1222.77,249.75,108.132,1.801,medium,medium,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Energy_1586372:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,6,customer,channel2,3,34.28,61.28,"new customer, please. At the moment it's the only one. We're just doing it slowly, yep.",neutral,0.4995,False,False,False,False,False,27.0,0.01734,0.34668,-35.219,0.059669,1377.531,282.911,137.187,0.593,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Energy_1586372:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,7,agent,channel1,4,35.96,42.92,"okay. So for new customers, we'll need to set up your account and we have a couple of options here",neutral,0.8436,False,False,False,False,False,6.96,0.080911,0.727386,-21.84,0.142262,1521.087,227.136,73.729,2.874,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Energy_1586372:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,8,agent,channel1,5,42.92,50.36,"that you can choose from. But before I proceed with that, electricity is the only connection that",neutral,0.8481,False,False,False,False,False,7.44,0.082326,0.609467,-21.689,0.123925,1483.859,226.034,72.218,2.285,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Energy_1586372:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,9,agent,channel1,6,50.44,64.04,"you're after today. Okay, no problem. So I will need to receive some information from you. Can",neutral,0.5043,False,False,False,False,False,13.6,0.065871,0.568695,-23.626,0.078664,1250.53,261.106,112.813,1.25,medium,medium,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Energy_1586372:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Energy_1586372,10,customer,channel2,4,62.28,86.28,"Yeah, it's Jennifer Carol O'Brien. Oh, it will be yes. Yes.",positive,0.9195,False,False,False,False,False,24.0,0.013994,0.426178,-37.081,0.057938,1343.244,293.525,139.662,0.458,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Energy_1586372:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
