call_id,channel,segment_id,start_time,end_time,text
en_CA_Insurance_1590855,channel1,1,0.0,24.72,"Good morning, this is Megan speaking Okay, sure, what is do you have your insurance"
en_CA_Insurance_1590855,channel1,2,24.72,40.12,"number handy? Yeah, it'll be on your insurance form in the top left corner and it'll be 12"
en_CA_Insurance_1590855,channel1,3,40.12,60.0,"digits 9008 BXRT to choose your file. Okay, and if you could confirm your first first name"
en_CA_Insurance_1590855,channel1,4,60.0,79.28,"last name and address. Okay, let me just pull up your information here and then we'll go through"
en_CA_Insurance_1590855,channel1,5,79.28,93.6,"this step by step. Okay, so which vehicle is this in regard in regards to? For the cruise. Okay."
en_CA_Insurance_1590855,channel1,6,96.0,105.04,"All right, and you said this occurred yesterday. November 17th at about 4 30 p.m."
en_CA_Insurance_1590855,channel1,7,106.0,117.44,"And where was the location? Okay, okay."
en_CA_Insurance_1590855,channel1,8,122.32,133.52,"Okay, and just confirm which city is that? Okay, right, I figured but I still have to ask."
en_CA_Insurance_1590855,channel1,9,135.04,150.96,"Okay, um, first of all, are you are you injured and have you thought out medical care?"
en_CA_Insurance_1590855,channel1,10,165.52,180.32,"Okay, so we'll put in an injury claim as well. And that way you get up to 30 chiropractic visits"
en_CA_Insurance_1590855,channel1,11,182.0,190.24,"covered. Yeah, or I mean, there's there's other healthcare professionals you could you could see"
en_CA_Insurance_1590855,channel1,12,190.24,198.48,as well. And depending on your if you have a supplementary healthcare plan like between that
en_CA_Insurance_1590855,channel1,13,198.48,205.92,"and the MPI coverage, you could do your claim through the MPI coverage. First,"
en_CA_Insurance_1590855,channel1,14,207.92,213.52,"is what I would suggest. And then if you find that the 30 treatments are not enough,"
en_CA_Insurance_1590855,channel1,15,214.64,218.8,your provider can request additional treatment on your behalf.
en_CA_Insurance_1590855,channel1,16,220.64,226.16,"Okay, so definitely take advantage of that. I will send you"
en_CA_Insurance_1590855,channel1,17,229.52,234.4,some paperwork with regards to that that you can take with you to your your providers.
en_CA_Insurance_1590855,channel1,18,235.44,239.68,And then they'll be able to put the claims through to us automatically.
en_CA_Insurance_1590855,channel1,19,240.0,250.08,"So, okay, so back to the vehicle. Where is the damage primarily?"
en_CA_Insurance_1590855,channel1,20,257.44,264.16,"Okay, door and fender. So the light as the headlight as well. The hood. Okay."
en_CA_Insurance_1590855,channel1,21,264.56,269.36,Is the car still drivable?
en_CA_Insurance_1590855,channel1,22,275.12,284.0,Okay. Do you plan to drive it until it can be fixed? Or do you have other other ways of getting
en_CA_Insurance_1590855,channel1,23,285.12,285.6,to places?
en_CA_Insurance_1590855,channel1,24,285.6,294.96,For sure. Yep.
en_CA_Insurance_1590855,channel1,25,298.56,301.84,"Yeah, we definitely advise you not to, but understand that, you know,"
en_CA_Insurance_1590855,channel1,26,304.0,308.72,sometimes driving can be a necessity. So but it's good to hear you have other means. So
en_CA_Insurance_1590855,channel1,27,308.8,316.16,"what you'll need to do, though, is to get the vehicle to one of our claim centers so that the"
en_CA_Insurance_1590855,channel1,28,316.16,324.0,adjusters can take a look. And we have six different service centers in Winnipeg. So you can
en_CA_Insurance_1590855,channel1,29,324.0,330.8,"choose at your convenience, you can go online and choose which one you want. And you can"
en_CA_Insurance_1590855,channel1,30,330.88,339.12,"make your appointment online. When this call ends, I will be sending you an email with your claim"
en_CA_Insurance_1590855,channel1,31,339.12,345.52,number and claim information. And you'll need that for booking your appointment at the claim center.
en_CA_Insurance_1590855,channel1,32,347.68,351.52,"Okay. And then when you go to the claim center, you're also going to have to discuss"
en_CA_Insurance_1590855,channel1,33,352.8,357.84,the detail of your collision with the adjuster as well.
en_CA_Insurance_1590855,channel1,34,358.8,362.16,They will do sort of like an interview with you to determine
en_CA_Insurance_1590855,channel1,35,364.88,367.92,"what happened, who's at fault, etc."
en_CA_Insurance_1590855,channel1,36,370.16,376.56,And that'll all get taken care of on site. So definitely leave yourself at least an hour of
en_CA_Insurance_1590855,channel1,37,376.56,378.0,time for that appointment.
en_CA_Insurance_1590855,channel1,38,378.16,385.2,"There's also Saturdays now. But they are popular, so it might be a few weeks before you can get in."
en_CA_Insurance_1590855,channel1,39,385.92,393.12,"Whereas if you can get in during the weekday, you'll get a much sooner appointment."
en_CA_Insurance_1590855,channel1,40,394.32,399.28,"So depending on, you know, what your priorities are, you can decide."
en_CA_Insurance_1590855,channel1,41,399.28,403.28,Yep. Okay.
en_CA_Insurance_1590855,channel1,42,406.4,414.56,Yeah. Payment wouldn't be required that day because the adjuster has to kind of go through
en_CA_Insurance_1590855,channel1,43,414.56,419.28,"everything. And while you're doing your job, you're not going to be able to get in."
en_CA_Insurance_1590855,channel1,44,419.28,423.28,"And you're not going to be able to get in, you're not going to be able to get in."
en_CA_Insurance_1590855,channel1,45,423.28,427.28,"You're not going to be able to get in, you're not going to be able to get in."
