call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_DeliveryService_1590992,1,customer,channel2,1,0.0,10.84,"Hi there, yeah, I'm calling about a package that hasn't arrived yet.",neutral,0.5435,False,False,False,False,False,10.84,0.036785,0.369659,-28.687,0.072212,985.26,278.433,118.608,1.107,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_DeliveryService_1590992:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,2,agent,channel1,1,0.0,24.48,"you for calling. This is orange package. How can I help you? Oh, I'm very sorry to hear that.",negative,0.8217,False,False,True,False,False,24.48,0.043632,0.851196,-27.204,0.066282,1257.838,224.214,121.18,0.776,low,low,medium,False,False,True,False,False,negative,low,3,negative agent sentiment | agent probing question detected,low,AGENT_NEGATIVE_SENTIMENT|AGENT_PROBING,en_CA_DeliveryService_1590992:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,3,customer,channel2,2,10.84,16.16,"It was supposed to be here yesterday, and I have some super important documents in there",positive,0.5624,False,False,False,False,False,5.32,0.053553,0.336884,-25.424,0.11867,1305.041,197.229,53.71,3.008,medium,high,low,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_DeliveryService_1590992:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,4,customer,channel2,3,16.16,27.0,"and I'm feeling a little frappled right now, so I'm hoping you can help me.",neutral,0.6162,False,False,False,False,False,10.84,0.046511,0.681763,-26.649,0.074674,1004.168,251.603,124.018,1.384,low,medium,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_DeliveryService_1590992:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,5,agent,channel1,2,25.44,33.36,"Yeah, so have you tried to look at anything outside of your house? Have you looked and seen it?",neutral,0.887,False,False,True,False,False,7.92,0.046856,0.633789,-26.585,0.097156,1126.523,220.142,81.022,2.399,low,medium,medium,False,False,True,False,False,neutral,low,0,agent probing question detected,low,AGENT_PROBING,en_CA_DeliveryService_1590992:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,6,customer,channel2,4,27.0,44.0,"Yeah, yeah. Of course, yeah, but the tracking hasn't, it hasn't been updated since I think Monday, so I'm not sure if it got stuck somewhere or what's happening.",negative,0.6111,False,False,False,False,False,17.0,0.066008,0.907928,-23.608,0.076615,1000.035,239.763,109.768,1.706,high,medium,high,False,False,False,False,False,negative,high,30,negative customer sentiment | high customer vocal intensity,medium,CUST_NEGATIVE_SENTIMENT|CUST_HIGH_VOCAL_INTENSITY,en_CA_DeliveryService_1590992:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,7,agent,channel1,3,34.64,35.04,Okay.,neutral,0.5693,False,False,False,False,False,0.4,0.050578,0.248779,-25.921,0.071815,1045.191,200.26,50.993,2.5,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_DeliveryService_1590992:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,8,agent,channel1,4,45.04,50.72,"Oh, I see. I'm sorry to hear this. I know typically we tell our customers to maybe ask a neighbor,",negative,0.6642,False,False,False,False,False,5.68,0.087433,0.941376,-21.166,0.097003,1085.476,220.465,64.814,3.521,high,high,medium,False,False,False,False,False,negative,high,8,negative agent sentiment,low,AGENT_NEGATIVE_SENTIMENT,en_CA_DeliveryService_1590992:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,9,agent,channel1,5,50.72,59.2,maybe ask them if they've seen a package anywhere or if they've came across any delivery person,neutral,0.9257,False,False,False,False,False,8.48,0.052232,0.724915,-25.641,0.108206,1146.832,180.729,60.577,2.005,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_DeliveryService_1590992:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_DeliveryService_1590992,10,customer,channel2,5,57.0,82.0,"No, but are you able to see like the last location that it was scanned because it would have been scanned if it was delivered?",neutral,0.9137,False,False,False,False,False,25.0,0.043449,0.543182,-27.24,0.051594,831.684,280.418,126.265,1.0,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_DeliveryService_1590992:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
