call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Health_1593611,1,agent,channel1,1,0.0,19.8,"Hello, thank you for calling HealthWorks."
en_AU_Health_1593611,2,customer,channel2,1,0.0,29.92,Hi Jenny. My name is Ella. I just wanted to schedule an appointment.
en_AU_Health_1593611,3,agent,channel1,2,19.8,23.52,"This is Jenny speaking, how can I assist you today?"
en_AU_Health_1593611,4,customer,channel2,2,29.92,36.0,for my flu vaccination and probably maybe my COVID vaccination. Do you have any availability of the
en_AU_Health_1593611,5,agent,channel1,3,30.0,52.92,"Absolutely, and was it just flu and COVID-19 vaccinations as we offer a wide variety of vaccinations?"
en_AU_Health_1593611,6,customer,channel2,3,36.0,51.84,"next couple of days? Oh, what vaccinations do you offer?"
en_AU_Health_1593611,7,agent,channel1,4,52.92,68.28,"It's sort of dependent if any sort of situations, if you need catch-ups or if you're behind or if you're travelling based on what your personal circumstances are would be dependent on what you need."
en_AU_Health_1593611,8,customer,channel2,4,59.92,75.12,I think I just need flu and COVID to be honest with you. I just thought I could get stabbed
en_AU_Health_1593611,9,customer,channel2,5,75.12,91.04,more times with the shots. But I think flu and COVID would be great.
en_AU_Health_1593611,10,agent,channel1,5,83.92,87.92,"Absolutely, we do offer those."
en_AU_Health_1593611,11,agent,channel1,6,87.92,90.92,So we've got several openings this week.
en_AU_Health_1593611,12,agent,channel1,7,90.92,102.92,So we have an opening on Wednesday at quarter past 10 or we have 2.30.
en_AU_Health_1593611,13,agent,channel1,8,103.92,108.92,"And we've also got appointment times, anything after four till seven."
en_AU_Health_1593611,14,customer,channel2,6,105.12,125.52,"Hmm, only thing for a second. I've got a few things going on this week. Let me just check the calendar."
en_AU_Health_1593611,15,agent,channel1,9,108.92,112.92,"Otherwise, we've got some availability Thursday and Friday."
en_AU_Health_1593611,16,agent,channel1,10,112.92,115.92,Do any of these times suit you?
en_AU_Health_1593611,17,agent,channel1,11,115.92,136.92,"Yeah, if you just bear with me, I'll check our system."
en_AU_Health_1593611,18,customer,channel2,7,126.32,131.12,Do you have any like Thursday 4pm?
en_AU_Health_1593611,19,agent,channel1,12,136.92,141.92,I could do quarter past four on Thursday.
en_AU_Health_1593611,20,customer,channel2,8,143.44,147.68,"Quarter past four on Thursday? Yeah, that sounds good. Does it take long?"
en_AU_Health_1593611,21,agent,channel1,13,146.92,154.92,"So because you're receiving two different vaccinations, we will take approximately 20 minutes."
en_AU_Health_1593611,22,agent,channel1,14,154.92,160.92,"However, we do have you sit just 15 minutes afterwards just to monitor for any side effects."
en_AU_Health_1593611,23,customer,channel2,9,156.16,172.16,"Okay, who would have thought being stabbed in the arm by a nurse would get you 15 extra minutes in the"
en_AU_Health_1593611,24,customer,channel2,10,172.16,180.48,"waiting room? Gee, all right, that's all right. So Thursday at 4.15, is that right?"
en_AU_Health_1593611,25,agent,channel1,15,176.92,185.92,"Yes, so you should be out of our clinic by five o'clock."
en_AU_Health_1593611,26,customer,channel2,11,185.52,201.44,"All right, I've got a few friends that also need their flu shots done. I'll walk you in a little bit."
en_AU_Health_1593611,27,agent,channel1,16,185.92,205.92,"For vaccinations, we do recommend prior booking to assure we have enough staff available and enough stock just to ensure that we can order stock in."
en_AU_Health_1593611,28,agent,channel1,17,205.92,210.92,"While we do accept walk-ins in certain situations, appointments are prioritised."
en_AU_Health_1593611,29,agent,channel1,18,210.92,215.92,Booking events guarantee that you'll be seen at the scheduled time as if you are a walk-in.
en_AU_Health_1593611,30,customer,channel2,12,215.52,231.36,"All right, all right, I'll let them know. Okay, and do I need to do anything for this flu shot"
en_AU_Health_1593611,31,agent,channel1,19,215.92,221.92,We could advise that it could be up to a two hour wait for injection.
en_AU_Health_1593611,32,customer,channel2,13,231.36,239.44,"and COVID shot? Like, do I have to like, fast or like, drink something to prepare for it?"
en_AU_Health_1593611,33,agent,channel1,20,235.92,243.92,There is no specific fasting requirements for the flu shot or for COVID.
en_AU_Health_1593611,34,agent,channel1,21,243.92,255.92,"However, I do recommend that you drink plenty of water and eat a light meal beforehand to help prevent any lightheadedness or dizzying, which could be a side effect from receiving the vaccinations."
en_AU_Health_1593611,35,agent,channel1,22,255.92,265.92,It's also a good idea to wear a loose sort of fitting shirt or something where we can easily access your shoulders with the sleeves rolled up for the injection.
en_AU_Health_1593611,36,agent,channel1,23,265.92,272.92,"And if you have any allergies or are on any specific medications, it's always good to inform the healthcare provider."
en_AU_Health_1593611,37,agent,channel1,24,272.92,284.92,So the nurse that will be administering your vaccinations that you do have any sort of medical conditions or advice just so that they can be aware for any adverse side effects.
en_AU_Health_1593611,38,customer,channel2,14,275.52,295.44,"All right, all right, that sounds good. Are there any adverse side effects that I should be concerned about?"
en_AU_Health_1593611,39,agent,channel1,25,285.92,297.92,Because these are sort of your standard injections.
en_AU_Health_1593611,40,agent,channel1,26,297.92,307.92,"No, it might just be a little bit of bruising, a little bit of bleeding arm can be sore for maybe usually the next day, maybe two to three days afterwards."
